PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Albertson, Anders",72.08,72.08
"Alexander, Tyson",71.78,71.78
"Andersen, Mason",73.86,73.86
"Baddeley, Aaron",71.15,71.15
"Barjon, Paul",72.4,72.4
"Barnes, Erik",72.8,72.8
"Berger, Daniel",70.26,69.511
"Bezuidenhout, Christiaan",70.3,70.499
"Bhatia, Akshay",69.34,69.666
"Bjork, Alexander",72.88,72.88
"Blair, Zac",70.42,70.42
"Block, Michael",74.45,74.45
"Boriboonsub, Denwit David",74.52,74.52
"Bradbury, Dan",73.38,73.38
"Bradley, Keegan",69.58,69.58
"Bramlett, Joseph",70.76,70.76
"Brehm, Ryan",72.2,72.2
"Bridgeman, Jacob",70.85,70.247
"Brown, Blades",71.88,71.88
"Brown, Daniel",73.58,73.58
"Browne, Olin",74.89,74.89
"Bryan, Wesley",71.6,71.6
"Buckley, Hayden",70.62,70.62
"Burns, Sam",69.4,69.4
"Campbell, Brian",70.65,70.65
"Campillo, Jorge",72.97,72.97
"Campos, Rafael",71.77,71.77
"Canter, Laurie",72.58,72.58
"Capan III, Frankie",72.12,72.12
"Castillo, Ricky",71.01,71.01
"Catlin, John",72.98,72.98
"Cauley, Bud",70.84,70.441
"Cejka, Alex",74.7,74.7
"Champ, Cameron",71.06,71.06
"Chandler, Will",72.09,72.09
"Chappell, Kevin",71.13,71.13
"Cink, Stewart",71.17,71.17
"Clanton, Luke",69.85,69.85
"Clarke, Darren",74.8,74.8
"Clemons, Dominic",74.48,74.48
"Cole, Eric",72.54,71.151
"Coody, Parker",71.29,71.29
"Coody, Pierceson",70.8,71.064
"Cook, Austin",71.6,71.6
"Crocker, Sean",73.66,73.66
"Crowe, Trace",71.19,71.19
"Cummins, Quade",71.14,71.14
"Daffue, MJ",71.5,71.5
"Dahmen, Joel",70.37,70.37
"Daly, John",78.2,78.2
"Davis, Cam",70.59,71.979
"Davis, Cameron",69.97,69.97
"De la Fuente, Santiago",71.48,71.48
"Dean, Joe",73.77,73.77
"Dickson, Taylor",71.54,71.54
"Dodd-Berry, Matthew",75.3,75.3
"Dougherty, Kevin",71.08,71.08
"Dumont de Chassart, Adrien",71.54,71.54
"Duncan, Tyler",70.85,70.85
"Dunlap, Nick",70.1,70.1
"Echavarria, Nico",70.65,70.68
"Eckroat, Austin",69.78,70.229
"Els, Ernie",73.27,73.27
"Elvira Mijares, Ignacio",73.61,73.61
"English, Harris",69.73,69.891
"Fichardt, Darren",74.44,74.44
"Finau, Tony",69.14,69.14
"Fishburn, Patrick",70.27,70.27
"Fisk, Steven",71.02,71.02
"Fleetwood, Tommy",69.35,70.505
"Ford, David",71.29,71.29
"Fowler, Rickie",72.7,71.387
"Fox, Ryan",72.7,72.7
"Frittelli, Dylan",71.44,71.44
"Frost, David",75.95,75.95
"Furr, Wilson",71.48,71.48
"Garnett, Brice",70.77,70.77
"Gerard, Ryan",70.16,71.339
"Ghim, Doug",69.91,69.766
"Glover, Lucas",72.68,71.501
"Gordon, Will",71.62,71.62
"Gotterup, Chris",71.02,71.329
"Greyserman, Max",70.24,70.843
"Gribble, Cody",72.05,72.05
"Griffin, Ben",69.9,69.732
"Griffin, Lanto",70.82,70.82
"Grillo, Emiliano",70.15,70.15
"Gutschewski, Scott",72.07,72.07
"Haas, Bill",71.63,71.63
"Hadley, Chesson",70.34,70.34
"Hadwin, Adam",69.69,69.69
"Hahn, James",71.64,71.64
"Hale Jr, Blaine",72.2,72.2
"Hall, Harry",70.48,70.154
"Hamilton, Todd",78.8,78.8
"Hardy, Nick",70.76,70.76
"Harman, Brian",70.0,71.052
"Harrington, Padraig",73.75,73.75
"Hendry, Michael",74.62,74.62
"Hidalgo, Angel",73.38,73.38
"Higgo, Garrick",71.49,71.49
"Higgs, Harry",71.64,71.64
"Highsmith, Joe",71.15,70.841
"Hillier, Daniel",73.8,73.8
"Hisatsune, Ryo",70.12,69.817
"Hodges, Lee",70.18,70.256
"Hoey, Rico",70.4,70.703
"Hoffman, Charley",70.59,70.59
"Hoge, Tom",69.46,69.604
"Hojgaard, Nicolai",72.52,72.52
"Horschel, Billy",69.39,69.39
"Horsfield, Sam",73.16,73.16
"Hoshino, Rikuya",73.06,73.06
"Hossler, Beau",70.23,70.23
"Hubbard, Mark",70.57,70.306
"Hughes, Mackenzie",69.98,70.104
"Hutsby, Sam",74.47,74.47
"Iwasaki, Aguri",75.2,75.2
"James, Ben",70.91,70.91
"Johnson, Dustin",72.63,72.63
"Johnson, Zach",70.75,70.75
"Jonsson, Tobias",72.9,72.9
"Kanaya, Takumi",70.53,70.53
"Katsuragawa, Yuto",73.63,73.63
"Kawamura, Masahiro",74.8,74.8
"Kim, Chan",69.97,69.97
"Kim, Michael",70.28,70.461
"Kim, Minkyu",73.62,73.62
"Kim, Seonghyeon",70.55,70.55
"Kim, Si Woo",69.74,69.217
"Kim, Tom",70.63,70.827
"Kinoshita, Ryosuke",74.08,74.08
"Kirk, Chris",72.71,71.121
"Kisner, Kevin",72.4,72.4
"Kitayama, Kurt",69.74,70.051
"Kizzire, Patton",70.57,70.57
"Knapp, Jake",70.6,70.606
"Knox, Russell",71.26,71.26
"Kobori, Kazuma",74.13,74.13
"Koh, Guntaek",73.98,73.98
"Kohles, Ben",70.35,70.35
"Kraft, Kelly",71.34,71.34
"Kuchar, Matt",70.66,70.584
"Laird, Martin",70.68,70.68
"Langasque, Romain",72.72,72.72
"Lashley, Nate",70.56,70.56
"Lawrence, Thriston",70.01,70.01
"Lee, Kyounghoon",70.79,70.79
"Leonard, Justin",75.4,75.4
"Lindh, Charlie",75.2,75.2
"Lindheim, Nicholas",71.22,71.22
"Lipsky, David",70.87,70.87
"List, Luke",70.86,70.86
"Lower, Justin",70.64,70.64
"Luiten, Joost",73.17,73.17
"MacIntyre, Robert",69.93,70.173
"Maccaglia, Anthony",74.5,74.5
"Malnati, Peter",71.26,71.26
"Manassero, Matteo",72.86,72.86
"Markham, Jackson",74.2,74.2
"Masaveu, Luis",75.3,75.3
"Matsuyama, Hideki",69.77,70.519
"McCarty, Matt",70.37,70.769
"McCormick, Ryan",71.53,71.53
"McDonald, Jack",74.77,74.77
"McGirt, William",71.54,71.54
"McGreevy, Max",70.54,70.54
"McNealy, Maverick",69.9,69.901
"Meissner, Mac",69.93,69.93
"Meronk, Adrian",72.64,72.64
"Merritt, Troy",70.8,70.8
"Mickelson, Phil",73.91,73.91
"Migliozzi, Guido",72.72,72.72
"Mitchell, Keith",69.74,70.263
"Molinari, Francesco",73.12,73.12
"Montojo, Jaime",75.6,75.6
"Moore, Ryan",70.46,70.46
"Moore, Taylor",70.49,70.293
"Morrison, Tommy",74.38,74.38
"Mouw, William",71.45,71.45
"Mullinax, Trey",71.38,71.38
"Musselman, Cooper",71.53,71.53
"Nakajima, Keita",72.62,72.62
"NeSmith, Matthew",70.7,70.7
"Noh, Seung-Yul",70.99,70.99
"Nolan, Liam",75.9,75.9
"Norlander, Henrik",70.52,70.421
"Norrman, Vincent",70.85,70.85
"Novak, Andrew",70.19,70.358
"O'Hair, Sean",71.51,71.51
"Ogletree, Andy",74.09,74.09
"Olesen, Jacob Skov",74.48,74.48
"Olesen, Thorbjorn",72.73,71.678
"Pak, John",71.82,71.82
"Palmer, Ryan",72.95,72.95
"Pan, C.T.",72.78,72.78
"Paul, Jeremy",71.54,71.54
"Paul, Yannik",72.86,72.86
"Pavin, Corey",75.47,75.47
"Pendrith, Taylor",69.89,69.89
"Pereda, Raul",72.9,72.9
"Perez, Victor",70.71,70.68
"Phillips, Chandler",70.68,70.549
"Piercy, Scott",71.32,71.32
"Poston, J.T.",69.66,69.499
"Potgieter, Aldrich",72.12,72.12
"Power, Seamus",70.08,70.154
"Puig, David",72.92,72.92
"Putnam, Andrew",70.18,70.18
"Rai, Aaron",69.53,69.287
"Ramey, Chad",70.6,70.6
"Reavie, Chez",70.7,70.7
"Riley, Davis",71.13,70.949
"Rodgers, Patrick",70.02,71.609
"Rose, Justin",72.94,72.94
"Roy, Kevin",71.12,71.12
"Ryder, Sam",70.39,70.39
"Salinda, Isaiah",71.1,71.094
"Sargent, Gordon",73.81,73.81
"Scheffler, Scottie",67.87,66.715
"Schenk, Adam",70.39,70.39
"Schmid, Matthias",70.53,70.53
"Schmid, Matti",71.05,71.149
"Scott, Calum",73.97,73.97
"Sharma, Shubhankar",73.28,73.28
"Shattuck, Braden",73.4,73.4
"Shelton, Robby",70.65,70.65
"Shipley, Neal",70.91,70.834
"Siem, Marcel",73.3,73.3
"Sigg, Greyson",70.6,70.6
"Silverman, Ben",70.18,70.18
"Simpson, Webb",71.33,71.33
"Skinns, David",71.06,71.06
"Sloan, Roger",71.26,71.26
"Smalley, Alex",70.86,70.661
"Smith, Jordan",72.62,72.62
"Smotherman, Austin",71.18,71.18
"Smylie, Elvis",75.1,75.1
"Snedeker, Brandt",71.69,71.69
"Song, Younghan",73.06,73.06
"Sorenson, Jeff",73.5,73.5
"Southgate, Matthew",73.24,73.24
"Spaun, J.J.",70.25,70.165
"Spieth, Jordan",69.74,69.739
"Springer, Hayden",70.99,70.99
"Stenson, Henrik",72.72,72.72
"Stevens, Sam",70.39,70.266
"Stevens, Samuel",69.99,69.99
"Streb, Robert",71.78,71.78
"Streelman, Kevin",71.07,71.07
