PLAYER NAME,STROKES PREDICTION,FINAL PREDICTION,AM,COURSE NAME
"Scheffler, Scottie",67.87,3.149097796,0,Colonial Country Club
"Fleetwood, Tommy",69.35,1.671406647,0,Colonial Country Club
"Berger, Daniel",69.37,1.654092469,0,Colonial Country Club
"Rai, Aaron",69.53,1.494457997,0,Colonial Country Club
"Poston, J.T.",69.70,1.324200073,0,Colonial Country Club
"English, Harris",69.73,1.289743901,0,Colonial Country Club
"McNealy, Maverick",69.74,1.282216825,0,Colonial Country Club
"Kim, Si Woo",69.74,1.277174041,0,Colonial Country Club
"Spieth, Jordan",69.74,1.276853439,0,Colonial Country Club
"Matsuyama, Hideki",69.77,1.247746003,0,Colonial Country Club
"Spaun, J.J.",69.93,1.092302915,0,Colonial Country Club
"MacIntyre, Robert",69.93,1.086318103,0,Colonial Country Club
"Griffin, Ben",69.93,1.086172002,0,Colonial Country Club
"Harman, Brian",70.00,1.023871258,0,Colonial Country Club
"Novak, Andrew",70.07,0.9532733906,0,Colonial Country Club
"Thompson, Davis",70.08,0.9420736156,0,Colonial Country Club
"Olesen, Thorbjorn",70.14,0.8774301699,0,Colonial Country Club
"Gerard, Ryan",70.16,0.8633942864,0,Colonial Country Club
"Hughes, Mackenzie",70.17,0.8522400153,0,Colonial Country Club
"Smalley, Alex",70.18,0.8434845862,0,Colonial Country Club
"Hall, Harry",70.19,0.8331045539,0,Colonial Country Club
"Mitchell, Keith",70.20,0.8224526751,0,Colonial Country Club
"Glover, Lucas",70.21,0.8090747593,0,Colonial Country Club
"Kim, Michael",70.22,0.7965794189,0,Colonial Country Club
"Bhatia, Akshay",70.23,0.7906886117,0,Colonial Country Club
"Moore, Taylor",70.25,0.7676043172,0,Colonial Country Club
"Cauley, Bud",70.26,0.7640264586,0,Colonial Country Club
"Bridgeman, Jacob",70.29,0.7255610361,0,Colonial Country Club
"Bezuidenhout, Christiaan",70.30,0.7176236736,0,Colonial Country Club
"Cole, Eric",70.34,0.6810025004,0,Colonial Country Club
"McCarty, Matt",70.37,0.6493193757,0,Colonial Country Club
"Yu, Kevin",70.37,0.6490789705,0,Colonial Country Club
"Kirk, Chris",70.37,0.6480030423,0,Colonial Country Club
"Hisatsune, Ryo",70.38,0.6418540899,0,Colonial Country Club
"Stevens, Sam",70.39,0.6302794923,0,Colonial Country Club
"Wallace, Matt",70.43,0.5923597898,0,Colonial Country Club
"Putnam, Andrew",70.50,0.5178047289,0,Colonial Country Club
"Riley, Davis",70.52,0.5047637675,0,Colonial Country Club
"Kanaya, Takumi",70.53,0.4882241674,0,Colonial Country Club
"McGreevy, Max",70.54,0.4817607374,0,Colonial Country Club
"Hoge, Tom",70.54,0.4809047259,0,Colonial Country Club
"Ghim, Doug",70.56,0.4640842869,0,Colonial Country Club
"Hubbard, Mark",70.57,0.4490549268,0,Colonial Country Club
"Eckroat, Austin",70.58,0.442884942,0,Colonial Country Club
"Davis, Cam",70.59,0.4256846521,0,Colonial Country Club
"Kitayama, Kurt",70.60,0.4159376892,0,Colonial Country Club
"Rodgers, Patrick",70.61,0.4050081181,0,Colonial Country Club
"Hodges, Lee",70.62,0.3967860782,0,Colonial Country Club
"Fowler, Rickie",70.63,0.394528708,0,Colonial Country Club
"Kim, Tom",70.63,0.3924703581,0,Colonial Country Club
"Greyserman, Max",70.64,0.383390859,0,Colonial Country Club
"Ryder, Sam",70.64,0.3796565941,0,Colonial Country Club
"Echavarria, Nico",70.65,0.3741439024,0,Colonial Country Club
"Campbell, Brian",70.65,0.371985203,0,Colonial Country Club
"Hoey, Rico",70.65,0.3683723178,0,Colonial Country Club
"Highsmith, Joe",70.66,0.3630190901,0,Colonial Country Club
"Norlander, Henrik",70.68,0.3391118707,0,Colonial Country Club
"Power, Seamus",70.69,0.3316861867,0,Colonial Country Club
"Kuchar, Matt",70.69,0.3257401383,0,Colonial Country Club
"Grillo, Emiliano",70.70,0.3194152308,0,Colonial Country Club
"Dahmen, Joel",70.70,0.3187789083,0,Colonial Country Club
"Thorbjornsen, Michael",70.70,0.3151453093,0,Colonial Country Club
"Perez, Victor",70.71,0.3145408504,0,Colonial Country Club
"Lower, Justin",70.76,0.2633337052,0,Colonial Country Club
"Whaley, Vince",70.77,0.2536112445,0,Colonial Country Club
"Knapp, Jake",70.78,0.2364713109,0,Colonial Country Club
"Coody, Pierceson",70.79,0.2312283662,0,Colonial Country Club
"Valimaki, Sami",70.81,0.2136323746,0,Colonial Country Club
"Gotterup, Chris",70.82,0.1962603738,0,Colonial Country Club
"Vegas, Jhonattan",70.82,0.195692638,0,Colonial Country Club
"Svensson, Adam",70.87,0.1471495941,0,Colonial Country Club
"Hossler, Beau",70.88,0.1430556573,0,Colonial Country Club
"Van Rooyen, Erik",70.89,0.1321768264,0,Colonial Country Club
"Woodland, Gary",70.92,0.1016822935,0,Colonial Country Club
"Young, Carson",70.97,0.0451976116,0,Colonial Country Club
"Ramey, Chad",70.98,0.04447504559,0,Colonial Country Club
"Hoffman, Charley",71.00,0.01927059983,0,Colonial Country Club
"Fishburn, Patrick",71.00,0.01914485793,0,Colonial Country Club
"Castillo, Ricky",71.01,0.01249898776,0,Colonial Country Club
"Fisk, Steven",71.02,0.004321201278,0,Colonial Country Club
"Sigg, Greyson",71.02,0.0008188302168,0,Colonial Country Club
"Garnett, Brice",71.03,-0.01259373977,0,Colonial Country Club
"Schmid, Matti",71.05,-0.02742091738,0,Colonial Country Club
"Svensson, Jesper",71.06,-0.03838885639,0,Colonial Country Club
"Kim, Chan",71.06,-0.04306491602,0,Colonial Country Club
"Bramlett, Joseph",71.07,-0.05460996386,0,Colonial Country Club
"Phillips, Chandler",71.08,-0.06467276711,0,Colonial Country Club
"Salinda, Isaiah",71.10,-0.07570883467,0,Colonial Country Club
"Roy, Kevin",71.12,-0.1016245914,0,Colonial Country Club
"Walker, Danny",71.14,-0.1197277778,0,Colonial Country Club
"Cummins, Quade",71.14,-0.1232575995,0,Colonial Country Club
"Wu, Dylan",71.15,-0.1303291325,0,Colonial Country Club
"Tosti, Alejandro",71.20,-0.1760171449,0,Colonial Country Club
"Kohles, Ben",71.24,-0.2207820939,0,Colonial Country Club
"Silverman, Ben",71.25,-0.2313079261,0,Colonial Country Club
"Shelton, Robby",71.29,-0.2685347171,0,Colonial Country Club
"Ford, David",71.29,-0.2692354117,1,Colonial Country Club
"Lashley, Nate",71.32,-0.3012393595,0,Colonial Country Club
"Simpson, Webb",71.33,-0.3073993338,0,Colonial Country Club
"Springer, Hayden",71.36,-0.3381457982,0,Colonial Country Club
"Meissner, Mac",71.37,-0.353893684,0,Colonial Country Club
"Kizzire, Patton",71.38,-0.3598299284,0,Colonial Country Club
"Mullinax, Trey",71.38,-0.3627060419,0,Colonial Country Club
"Schenk, Adam",71.43,-0.4149123569,0,Colonial Country Club
"Mouw, William",71.45,-0.4312077334,0,Colonial Country Club
"Vilips, Karl",71.47,-0.4535799389,0,Colonial Country Club
"Shipley, Neal",71.47,-0.4544540792,0,Colonial Country Club
"Blair, Zac",71.48,-0.4600491797,0,Colonial Country Club
"Lipsky, David",71.53,-0.5065055895,0,Colonial Country Club
"Gordon, Will",71.54,-0.5153713322,0,Colonial Country Club
"Dickson, Taylor",71.54,-0.5169546773,0,Colonial Country Club
"Paul, Jeremy",71.54,-0.5231345558,0,Colonial Country Club
"Snedeker, Brandt",71.55,-0.5328362812,0,Colonial Country Club
"Griffin, Lanto",71.55,-0.5335505326,0,Colonial Country Club
"Buckley, Hayden",71.57,-0.5523379131,0,Colonial Country Club
"Willett, Danny",71.61,-0.5909341358,0,Colonial Country Club
"Higgs, Harry",71.64,-0.6190855253,0,Colonial Country Club
"List, Luke",71.65,-0.6329210686,0,Colonial Country Club
"Ventura, Kris",71.69,-0.6701443818,0,Colonial Country Club
"Hardy, Nick",71.77,-0.74729104,0,Colonial Country Club
"Pak, John",71.82,-0.7965235557,0,Colonial Country Club
"Brown, Blades",71.88,-0.8561822269,0,Colonial Country Club
"Campos, Rafael",71.88,-0.8602213723,0,Colonial Country Club
"Chandler, Will",72.09,-1.068545828,0,Colonial Country Club
"Capan III, Frankie",72.12,-1.095222438,0,Colonial Country Club
"Potgieter, Aldrich",72.12,-1.101788238,0,Colonial Country Club
"Villegas, Camilo",72.13,-1.112803169,0,Colonial Country Club
"Kisner, Kevin",72.23,-1.213658108,0,Colonial Country Club
"Suber, Jackson",72.32,-1.297415168,0,Colonial Country Club
"Malnati, Peter",72.53,-1.505441947,0,Colonial Country Club
"Palmer, Ryan",72.95,-1.930628988,0,Colonial Country Club
"Block, Michael",74.45,-3.425341689,0,Colonial Country Club
"Browne, Olin",74.89,-3.872460085,0,Colonial Country Club
"Pavin, Corey",75.47,-4.449211457,0,Colonial Country Club
"Frost, David",75.95,-4.932160267,0,Colonial Country Club
"Hojgaard, Nicolai",72.52,0.3561496452,0,Royal Troon
"Hisatsune, Ryo",72.54,0.3332251347,0,Royal Troon
"Cole, Eric",72.54,0.3327658509,0,Royal Troon
"Wallace, Matt",72.55,0.329969833,0,Royal Troon
"Hughes, Mackenzie",72.56,0.3123759396,0,Royal Troon
"Zalatoris, Will",72.57,0.3079312187,0,Royal Troon
"Canter, Laurie",72.58,0.2965157954,0,Royal Troon
"Nakajima, Keita",72.62,0.2575604398,0,Royal Troon
"Smith, Jordan",72.62,0.2575336617,0,Royal Troon
"Johnson, Dustin",72.63,0.2406046512,0,Royal Troon
"Meronk, Adrian",72.64,0.2303563191,0,Royal Troon
"Taylor, Nick",72.66,0.2121222669,0,Royal Troon
"Glover, Lucas",72.68,0.1950796627,0,Royal Troon
"Todd, Brendon",72.68,0.1913312978,0,Royal Troon
"Fox, Ryan",72.70,0.1747141259,0,Royal Troon
"Fowler, Rickie",72.70,0.1713208786,0,Royal Troon
"Kirk, Chris",72.71,0.1616059616,0,Royal Troon
"Stenson, Henrik",72.72,0.1576166182,0,Royal Troon
"Migliozzi, Guido",72.72,0.15526543,0,Royal Troon
"Langasque, Romain",72.72,0.1514176178,0,Royal Troon
"Olesen, Thorbjorn",72.73,0.1447455634,0,Royal Troon
"Grillo, Emiliano",72.78,0.0951466954,0,Royal Troon
"Pan, C.T.",72.78,0.09090953635,0,Royal Troon
"Moore, Taylor",72.80,0.07796280776,0,Royal Troon
"Valimaki, Sami",72.83,0.04285401767,0,Royal Troon
"Manassero, Matteo",72.86,0.01703005019,0,Royal Troon
"Paul, Yannik",72.86,0.01115325155,0,Royal Troon
"Bjork, Alexander",72.88,-0.008085511662,0,Royal Troon
"Puig, David",72.92,-0.04465734701,0,Royal Troon
"Lawrence, Thriston",72.92,-0.04625498324,0,Royal Troon
"Rose, Justin",72.94,-0.06081896301,0,Royal Troon
"Campillo, Jorge",72.97,-0.09511449427,0,Royal Troon
"Catlin, John",72.98,-0.1001508915,0,Royal Troon
"Hoshino, Rikuya",73.06,-0.1870718463,0,Royal Troon
"Song, Younghan",73.06,-0.1890350406,0,Royal Troon
"Johnson, Zach",73.09,-0.2126422408,0,Royal Troon
"Svensson, Jesper",73.10,-0.2272633267,0,Royal Troon
"Schenk, Adam",73.11,-0.2371126145,0,Royal Troon
"Molinari, Francesco",73.12,-0.2417611163,0,Royal Troon
"Horsfield, Sam",73.16,-0.2818550725,0,Royal Troon
"Luiten, Joost",73.17,-0.2902388347,0,Royal Troon
"Southgate, Matthew",73.24,-0.3669765433,0,Royal Troon
"Els, Ernie",73.27,-0.3903347449,0,Royal Troon
"Sharma, Shubhankar",73.28,-0.4073282823,0,Royal Troon
"Siem, Marcel",73.30,-0.4267409214,0,Royal Troon
"Norrman, Vincent",73.33,-0.4581743691,0,Royal Troon
"Hidalgo, Angel",73.38,-0.5073011512,0,Royal Troon
"Bradbury, Dan",73.38,-0.5081780717,0,Royal Troon
"Cink, Stewart",73.45,-0.5779197819,0,Royal Troon
"Woodland, Gary",73.46,-0.5842984719,0,Royal Troon
"Sargent, Gordon",73.81,-0.6859771035,1,Royal Troon
"Brown, Daniel",73.58,-0.7095822736,0,Royal Troon
"Elvira Mijares, Ignacio",73.61,-0.7335622234,0,Royal Troon
"Kim, Minkyu",73.62,-0.7424627805,0,Royal Troon
"Katsuragawa, Yuto",73.63,-0.7552381496,0,Royal Troon
"Crocker, Sean",73.66,-0.7829908475,0,Royal Troon
"Scott, Calum",73.97,-0.8452888234,1,Royal Troon
"Harrington, Padraig",73.75,-0.87397207,0,Royal Troon
"Dean, Joe",73.77,-0.8935961139,0,Royal Troon
"Hillier, Daniel",73.80,-0.9274007177,0,Royal Troon
"Andersen, Mason",73.86,-0.9860897462,0,Royal Troon
"Mickelson, Phil",73.91,-1.036272602,0,Royal Troon
"Koh, Guntaek",73.98,-1.103590092,0,Royal Troon
"De la Fuente, Santiago",74.25,-1.123511622,1,Royal Troon
"Kinoshita, Ryosuke",74.08,-1.205711537,0,Royal Troon
"Ogletree, Andy",74.09,-1.216621729,0,Royal Troon
"Van Velzen, Ryan",74.11,-1.231760995,0,Royal Troon
"Woods, Tiger",74.13,-1.250374004,0,Royal Troon
"Morrison, Tommy",74.38,-1.252331937,1,Royal Troon
"Kobori, Kazuma",74.13,-1.257997708,0,Royal Troon
"Clemons, Dominic",74.48,-1.352277816,1,Royal Troon
"Olesen, Jacob Skov",74.48,-1.352573593,1,Royal Troon
"Fichardt, Darren",74.44,-1.562006034,0,Royal Troon
"Hutsby, Sam",74.47,-1.592358014,0,Royal Troon
"Boriboonsub, Denwit David",74.52,-1.647959913,0,Royal Troon
"Hendry, Michael",74.62,-1.743419678,0,Royal Troon
"Wang, Jeunghun",74.65,-1.773119724,0,Royal Troon
"Cejka, Alex",74.70,-1.822651325,0,Royal Troon
"McDonald, Jack",74.77,-1.892925875,0,Royal Troon
"Clarke, Darren",74.8,-1.927650752,0,Royal Troon
"Kawamura, Masahiro",74.8,-1.939885898,0,Royal Troon
"Dodd-Berry, Matthew",75.3,-2.16879365,1,Royal Troon
"Masaveu, Luis",75.3,-2.20870679,1,Royal Troon
"Smylie, Elvis",75.1,-2.210047527,0,Royal Troon
"Iwasaki, Aguri",75.2,-2.297386673,0,Royal Troon
"Lindh, Charlie",75.2,-2.313868343,0,Royal Troon
"Montojo, Jaime",75.6,-2.483696793,1,Royal Troon
"Leonard, Justin",75.4,-2.485287656,0,Royal Troon
"van der Merwe, Altin",75.6,-2.511311869,1,Royal Troon
"Nolan, Liam",75.9,-2.815846131,1,Royal Troon
"Stubbs, Jasper",76.3,-3.173519339,1,Royal Troon
