name_p1,name_p2,fair_prob_p1,fair_prob_p2,fair_odds_p1,fair_odds_p2,betonline_p1,betonline_ev_p1,betcris_p1,betcris_ev_p1,pinnacle_p1,pinnacle_ev_p1,draftkings_p1,draftkings_ev_p1,bet365_p1,bet365_ev_p1,fanduel_p1,fanduel_ev_p1,betmgm_p1,betmgm_ev_p1,pointsbet_p1,pointsbet_ev_p1,bovada_p1,bovada_ev_p1,caesars_p1,caesars_ev_p1,unibet_p1,unibet_ev_p1
"Hoge, Tom","Bhatia, Akshay",0.5041,0.4959,-102,102,,,,,,,,,-110,0.4665,,,,,,,,,,,,
"English, Harris","MacIntyre, Robert",0.5187,0.4813,-108,108,,,,,,,,,-134,0.4246,,,,,,,,,,,,
"Glover, Lucas","Hall, Harry",0.4112,0.5888,143,-143,,,,,,,,,-115,0.1799,,,,,,,,,,,,
"Harman, Brian","Kim, Si Woo",0.3799,0.6201,163,-163,,,,,,,,,-105,0.1215,,,,,,,,,,,,
"Matsuyama, Hideki","McNealy, Maverick",0.459,0.541,118,-118,,,,,,,,,-115,0.3171,,,,,,,,,,,,
"Mitchell, Keith","Griffin, Ben",0.4647,0.5353,115,-115,,,,,,,,,-110,0.352,,,,,,,,,,,,
"Smalley, Alex","Novak, Andrew",0.4799,0.5201,108,-108,,,,,,,,,-105,0.4167,,,,,,,,,,,,
"Olesen, Thorbjorn","Hughes, Mackenzie",0.3965,0.6035,152,-152,,,,,,,,,-110,0.1535,,,,,,,,,,,,
"Rai, Aaron","Poston, J.T.",0.5141,0.4859,-106,106,,,,,,,,,-115,0.4752,,,,,,,,,,,,
"Fleetwood, Tommy","Scheffler, Scottie",0.2638,0.7362,279,-279,,,,,,,,,+300,0.319,,,,,,,,,,,,
"Spaun, J.J.","Thompson, Davis",0.5,0.5,100,100,,,,,,,,,-110,0.4545,,,,,,,,,,,,
"Spieth, Jordan","Berger, Daniel",0.4848,0.5152,106,-106,,,,,,,,,+110,0.503,,,,,,,,,,,,
"Matsuyama, Hideki","Berger, Daniel",0.4333,0.5667,131,-131,+121,0.3909,,,,,,,,,,,,,,,,,,,,
"Spieth, Jordan","McNealy, Maverick",0.5108,0.4892,-104,104,-115,0.4657,,,,,,,,,,,,,,,,,,,,
"English, Harris","Poston, J.T.",0.474,0.526,111,-111,+102,0.4313,,,,,,,,,,,,,,,,,,,,
"Kim, Si Woo","Mitchell, Keith",0.5692,0.4308,-132,132,-147,0.5256,,,,,,,,,,,,,,,,,,,,
"Rai, Aaron","MacIntyre, Robert",0.5587,0.4413,-127,127,-140,0.5165,,,,,,,,,,,,,,,,,,,,
"Kim, Michael","Riley, Davis",0.5324,0.4676,-114,114,-125,0.4908,,,,,,,,,,,,,,,,,,,,
"Novak, Andrew","Griffin, Ben",0.4585,0.5415,118,-118,+109,0.4166,,,,,,,,,,,,,,,,,,,,
"Hughes, Mackenzie","Stevens, Sam",0.5108,0.4892,-104,104,-115,0.4657,,,,,,,,,,,,,,,,,,,,
"Bhatia, Akshay","Hall, Harry",0.5324,0.4676,-114,114,-125,0.4908,,,,,,,,,,,,,,,,,,,,
"Glover, Lucas","Gerard, Ryan",0.4892,0.5108,104,-104,-105,0.4444,,,,,,,,,,,,,,,,,,,,
"Harman, Brian","Olesen, Thorbjorn",0.5415,0.4585,-118,118,-130,0.4997,,,,,,,,,,,,,,,,,,,,
"Bezuidenhout, Christiaan","Smalley, Alex",0.5108,0.4892,-104,104,-115,0.4657,,,,,,,,,,,,,,,,,,,,
"Yu, Kevin","Kitayama, Kurt",0.5108,0.4892,-104,104,-115,0.4657,,,,,,,,,,,,,,,,,,,,
"Moore, Taylor","Kim, Tom",0.5355,0.4645,-115,115,-127,0.4925,,,,,,,,,,,,,,,,,,,,
"Greyserman, Max","Bridgeman, Jacob",0.4604,0.5396,117,-117,+108,0.4181,,,,,,,,,,,,,,,,,,,,
"Cauley, Bud","McCarty, Matt",0.5218,0.4782,-109,109,-120,0.4784,,,,,,,,,,,,,,,,,,,,
"Woodland, Gary","Fowler, Rickie",0.4413,0.5587,127,-127,+117,0.3989,,,,,,,,,,,,,,,,,,,,
"Kirk, Chris","Rodgers, Patrick",0.5324,0.4676,-114,114,-125,0.4908,,,,,,,,,,,,,,,,,,,,
"Power, Seamus","Vegas, Jhonattan",0.5108,0.4892,-104,104,-115,0.4657,,,,,,,,,,,,,,,,,,,,
