name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Rahm, Jon","DeChambeau, Bryson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,+118,+1676
"Rahm, Jon","DeChambeau, Bryson",void,72-hole match,-135,+105,null,-118,-103,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,-114,-114,null,-106,+106,null
"Garcia, Sergio","Burmester, Dean",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+131,+1658
"Reed, Patrick","Gooch, Talor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,+124,+1645
"Reed, Patrick","Gooch, Talor",void,72-hole match,-137,+107,null,-116,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,-125,-103,null,-111,+111,null
"Leishman, Marc","Herbert, Lucas",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+128,-102,+1739
"Johnson, Dustin","Lahiri, Anirban",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+137,-110,+1716
"Watson, Bubba","McKibbin, Tom",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-107,+1694
"Schwartzel, Charl","Meronk, Adrian",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-124,+155,+1708
"Hatton, Tyrrell","Niemann, Joaquin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+115,-130,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+124,+101,+1673
"Hatton, Tyrrell","Niemann, Joaquin",void,72-hole match,+109,-139,null,+119,-144,null,+115,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,+105,-137,null,+112,-112,null
"Ortiz, Carlos","Munoz, Sebastian",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+141,-112,+1694
