SITE,DATE,TIME,MARKET,PLAYER,TM,GAME,OFFICIAL LINEUP,BATTING ORDER,,,,OVER PRICE,UNDER PRICE,IMPLIED PROEJCTION,BatX Projection,,
FanDuel,Jul 5,10:05 PM,Hits,Brett Wisely,SF,SF@ATH,,9,,,,0.5 (-145),,0.85,0.86,1.09%,OVER
Fanatics,Jul 5,10:10 PM,Hits,Spencer Horwitz,PIT,PIT@SEA,,1,,,,0.5 (-155),0.5 (+120),0.88,0.9,2.17%,OVER
BallyBet,Jul 5,2:20 PM,Hits,Ian Happ,CHC,STL@CHC,,1,,,,1.5 (+220),,1.11,1.13,1.41%,OVER
BallyBet,Jul 5,7:15 PM,Hits,Jose Ramirez,CLE,DET@CLE,,3,,,,1.5 (+225),,1.1,1.16,4.97%,OVER
BallyBet,Jul 5,7:15 PM,Hits,Isaac Paredes,HOU,HOU@LAD,,1,,,,0.5 (-175),,0.94,1.01,7.57%,OVER
BallyBet,Jul 5,7:15 PM,Hits,Jose Altuve,HOU,HOU@LAD,,3,,,,0.5 (-200),,1,1.1,9.54%,OVER
BallyBet,Jul 5,4:10 PM,Hits,Ryan O'Hearn,BAL,BAL@ATL,,5,,,,0.5 (-162),,0.9,0.96,6.24%,OVER
BallyBet,Jul 5,9:40 PM,Hits,Corey Seager,TEX,TEX@SD,,2,,,,0.5 (-245),,1.1,1.12,1.61%,OVER
BallyBet,Jul 5,7:15 PM,Hits,Will Smith,LAD,HOU@LAD,,3,,,,0.5 (-220),,1.05,1.05,0.62%,OVER
BallyBet,Jul 5,4:05 PM,Hits,Trea Turner,PHI,CIN@PHI,,1,,,,1.5 (+185),,1.22,1.22,0.24%,OVER
BallyBet,Jul 5,2:10 PM,Hits,Jonathan Aranda,TB,TB@MIN,,4,,,,0.5 (-220),,1.05,1.11,6.05%,OVER
BallyBet,Jul 5,4:10 PM,Hits,Maikel Garcia,KC,KC@ARI,,4,,,,0.5 (-240),,1.09,1.17,6.86%,OVER
BallyBet,Jul 5,2:20 PM,Hits,Alec Burleson,STL,STL@CHC,,4,,,,1.5 (+195),,1.18,1.2,1.80%,OVER
BallyBet,Jul 5,9:40 PM,Hits,Marcus Semien,TEX,TEX@SD,,3,,,,0.5 (-220),,1.05,1.07,2.04%,OVER
BallyBet,Jul 5,9:40 PM,Hits,Jonah Heim,TEX,TEX@SD,,7,,,,0.5 (-130),,0.8,0.85,7.21%,OVER
BallyBet,Jul 5,9:40 PM,Hits,Manny Machado,SD,TEX@SD,,3,,,,1.5 (+220),,1.11,1.15,3.26%,OVER
BallyBet,Jul 5,4:10 PM,Hits,Jurickson Profar,ATL,BAL@ATL,,4,,,,0.5 (-167),,0.92,0.95,3.69%,OVER
