SITE,DATE,TIME,MARKET,PLAYER,TM,GAME,OFFICIAL LINEUP,BATTING ORDER,,,,OVER PRICE,UNDER PRICE,IMPLIED PROEJCTION,BatX Projection,,
BetMGM,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-160),0.5 (+125),0.78,0.66,-15.79%,UNDER
DraftKings,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-175),0.5 (+130),0.8,0.66,-17.67%,UNDER
Bovada,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-190),0.5 (+145),0.85,0.73,-13.81%,UNDER
DraftKings,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-200),0.5 (+145),0.85,0.73,-13.81%,UNDER
Bovada,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-170),0.5 (+130),0.8,0.66,-17.67%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-159),0.5 (+122),0.77,0.66,-14.62%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,0.5 (-400),0.5 (+275),1.18,1.08,-8.63%,UNDER
Fanatics,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-180),0.5 (+135),0.81,0.73,-10.21%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-185),0.5 (+142),0.84,0.73,-12.77%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-165),0.5 (+120),0.76,0.66,-13.70%,UNDER
ESPN BET,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-190),0.5 (+135),0.81,0.73,-10.21%,UNDER
ESPN BET,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-165),0.5 (+120),0.76,0.66,-13.70%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-190),0.5 (+140),0.83,0.73,-12.07%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-190),0.5 (+140),0.83,0.73,-12.07%,UNDER
Bovada,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-200),0.5 (+150),0.86,0.81,-5.86%,UNDER
ESPN BET,Jul 5,10:10 PM,Hits,Luke Raley,SEA,PIT@SEA,,6,,,,0.5 (-135),0.5 (-100),0.69,0.63,-7.84%,UNDER
DraftKings,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-210),0.5 (+155),0.88,0.83,-5.08%,UNDER
Fanatics,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-140),0.5 (+105),0.71,0.66,-6.04%,UNDER
Fanatics,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-180),0.5 (+135),0.81,0.77,-5.12%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Randy Arozarena,SEA,PIT@SEA,,4,,,,0.5 (-185),0.5 (+140),0.83,0.78,-5.50%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Denzel Clarke,ATH,SF@ATH,,9,,,,0.5 (-135),0.5 (+100),0.69,0.63,-7.79%,UNDER
Fanatics,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-145),0.5 (+110),0.72,0.66,-9.48%,UNDER
Bovada,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-210),0.5 (+155),0.88,0.83,-5.08%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-200),0.5 (+155),0.88,0.83,-5.08%,UNDER
Bovada,Jul 5,10:10 PM,Hits,Randy Arozarena,SEA,PIT@SEA,,4,,,,0.5 (-185),0.5 (+140),0.83,0.78,-5.50%,UNDER
Bovada,Jul 5,10:10 PM,Hits,Luke Raley,SEA,PIT@SEA,,6,,,,0.5 (-130),0.5 (-100),0.69,0.63,-7.84%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-135),0.5 (+105),0.71,0.66,-6.04%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-196),0.5 (+148),0.86,0.81,-5.13%,UNDER
Bovada,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+150),1.5 (-200),1.16,1.08,-7.29%,UNDER
Bovada,Jul 5,10:10 PM,Hits,Ben Williamson,SEA,PIT@SEA,,8,,,,0.5 (-160),0.5 (+120),0.76,0.71,-7.01%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Luke Raley,SEA,PIT@SEA,,6,,,,0.5 (-135),0.5 (+105),0.71,0.63,-10.42%,UNDER
DraftKings,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-145),0.5 (+105),0.71,0.66,-6.04%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-180),0.5 (+135),0.81,0.77,-5.12%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-135),0.5 (+105),0.71,0.66,-6.04%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-172),0.5 (+132),0.8,0.77,-3.89%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+170),1.5 (-230),1.09,1.08,-1.16%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-195),0.5 (+145),0.85,0.81,-4.03%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-200),0.5 (+145),0.85,0.81,-4.03%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-132),0.5 (+102),0.69,0.66,-3.33%,UNDER
Fanatics,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-190),0.5 (+145),0.85,0.81,-4.03%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Nick Gonzales,PIT,PIT@SEA,,4,,,,0.5 (-210),0.5 (+160),0.9,0.86,-3.41%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Matt Chapman,SF,SF@ATH,,4,,,,1.5 (+185),1.5 (-255),1.04,1.02,-2.63%,UNDER
BetMGM,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-210),0.5 (+160),0.9,0.87,-2.38%,UNDER
BetMGM,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+175),1.5 (-235),1.08,1.08,-0.28%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Rafael Devers,SF,SF@ATH,,3,,,,1.5 (+155),1.5 (-210),1.13,1.12,-1.07%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-220),0.5 (+160),0.9,0.87,-2.38%,UNDER
Fanatics,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+165),1.5 (-220),1.11,1.08,-3.01%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Andrew McCutchen,PIT,PIT@SEA,,2,,,,0.5 (-175),0.5 (+130),0.8,0.78,-1.58%,UNDER
