team,conference,record,SP+,rk,pctile,Off. SP+,Off_rk,Def. SP+,Def_rk
Montana State,Big Sky,15-1,-0.8,1,99.7%,45.4,1,16.2,2
South Dakota State,MVC,12-3,-1.8,2,99.6%,40.8,3,12.5,1
North Dakota State,MVC,14-2,-3.4,3,99.4%,44.3,2,17.7,6
South Dakota,MVC,11-3,-7.8,4,98.2%,39.9,4,17.7,7
Delaware,CAA,9-2,-13.1,5,94.8%,36.5,13,19.6,13
UC Davis,Big Sky,11-3,-14.7,6,93.1%,36.9,11,21.6,25
Harvard,Ivy League,8-2,-14.8,7,93.0%,39.1,6,23.9,50
Jackson State,SWAC,12-2,-15.2,8,92.5%,37.6,9,22.7,35
Mercer,Southern,11-3,-15.8,9,91.7%,33.1,24,18.8,11
Incarnate Word,Southland,11-3,-16.1,10,91.3%,35.0,15,21.1,19
UT Martin,BSC-OVC,9-5,-16.4,11,90.9%,36.9,12,23.3,42
Richmond,CAA,10-3,-17.9,12,88.5%,28.6,48,16.4,3
Stephen F. Austin,Southland,7-5,-17.9,13,88.5%,30.3,33,18.2,8
Montana,Big Sky,9-5,-18.0,14,88.3%,35.8,14,23.8,48
NC Central,MEAC,8-3,-18.4,15,87.6%,32.0,27,20.4,15
Northern Arizona,Big Sky,8-5,-18.6,16,87.3%,29.7,38,18.2,9
Idaho,Big Sky,10-4,-18.9,17,86.7%,33.5,23,22.4,29
Missouri State,MVC,8-4,-19.0,18,86.5%,39.1,5,28.1,76
Yale,Ivy League,7-3,-19.2,19,86.0%,38.6,7,27.8,73
Tarleton State,UAC,10-4,-19.7,20,85.0%,33.6,22,23.3,43
SE Missouri State,BSC-OVC,9-4,-19.8,21,84.9%,34.5,17,24.3,52
Chattanooga,Southern,7-5,-20.0,22,84.3%,28.8,45,18.9,12
Illinois State,MVC,10-4,-20.6,23,83.2%,32.7,25,23.3,41
Dartmouth,Ivy League,8-2,-21.3,24,81.5%,31.5,30,22.8,37
Villanova,CAA,10-4,-21.5,25,81.0%,25.3,69,16.8,4
Rhode Island,CAA,11-3,-22.5,26,78.4%,26.3,61,18.8,10
SC State,MEAC,9-3,-22.7,27,78.1%,29.8,36,22.5,30
Duquesne,NEC,8-3,-22.7,28,78.0%,29.5,40,22.2,27
William & Mary,CAA,7-5,-22.9,29,77.4%,30.1,35,23.0,40
ETSU,Southern,7-5,-23.0,30,77.3%,28.2,50,21.1,20
Holy Cross,Patriot,6-6,-23.6,31,75.5%,29.3,42,22.9,38
Western Carolina,Southern,7-5,-24.0,32,74.5%,34.0,19,27.9,74
Tennessee State,BSC-OVC,9-4,-24.0,33,74.3%,29.3,41,23.4,44
Stony Brook,CAA,8-4,-24.2,34,73.8%,29.6,39,23.8,49
Butler,Pioneer,9-3,-24.5,35,73.0%,28.0,51,22.5,31
New Hampshire,CAA,8-5,-24.7,36,72.4%,25.6,65,20.3,14
Central Arkansas,UAC,6-6,-24.9,38,71.9%,31.6,28,26.5,62
Columbia,Ivy League,7-3,-24.9,37,71.9%,22.6,83,17.5,5
Abilene Christian,UAC,9-5,-25.1,40,71.1%,33.8,20,28.9,80
Lehigh,Patriot,9-4,-25.1,39,71.2%,26.1,63,21.2,21
Southern Utah,UAC,7-5,-25.7,41,69.3%,31.6,29,27.3,68
Weber State,Big Sky,4-8,-25.9,42,68.8%,30.2,34,26.0,58
Monmouth,CAA,6-6,-26.0,43,68.3%,37.0,10,33.1,108
North Dakota,MVC,5-7,-26.2,44,67.7%,34.7,16,30.9,96
San Diego,Pioneer,8-3,-26.4,45,67.1%,26.4,59,22.8,36
Towson,CAA,7-5,-26.6,46,66.4%,26.9,54,23.5,45
Tennessee Tech,BSC-OVC,7-5,-26.9,47,65.6%,25.8,64,22.7,34
Eastern Washington,Big Sky,4-8,-27.1,48,64.9%,38.1,8,35.2,114
Eastern Kentucky,UAC,8-5,-27.2,49,64.4%,24.1,71,21.3,23
Hampton,CAA,5-7,-27.7,50,62.9%,28.6,47,26.3,61
Elon,CAA,6-6,-28.1,51,61.4%,26.3,60,24.4,53
Penn,Ivy League,4-6,-28.2,52,61.3%,28.8,46,26.9,65
Southeastern Louisiana,Southland,7-5,-28.8,53,59.1%,26.5,57,25.3,57
McNeese State,Southland,6-6,-29.1,54,58.0%,24.6,70,23.7,47
Alabama State,SWAC,7-5,-29.7,55,55.9%,21.5,90,21.2,22
Samford,Southern,4-7,-29.8,56,55.5%,26.4,58,26.3,60
Central Connecticut,NEC,7-6,-30.0,57,55.0%,20.7,99,20.7,17
Lamar,Southland,7-5,-30.0,58,54.9%,22.6,82,22.6,33
Lafayette,Patriot,6-6,-30.1,59,54.6%,23.5,75,23.6,46
Merrimack,Indies,5-6,-30.1,60,54.6%,22.3,86,22.3,28
Youngstown State,MVC,4-8,-30.8,61,52.1%,30.9,31,31.7,101
Sacramento State,Big Sky,3-9,-31.2,62,50.8%,32.7,26,33.8,111
Davidson,Pioneer,6-5,-31.3,63,50.3%,29.8,37,31.1,98
Morgan State,MEAC,6-6,-31.7,64,48.7%,23.1,78,24.9,54
Gardner-Webb,BSC-OVC,4-8,-32.0,65,47.9%,27.1,52,29.0,81
Robert Morris,NEC,7-5,-32.2,66,47.1%,19.2,106,21.4,24
Cornell,Ivy League,4-6,-32.4,67,46.4%,29.2,43,31.6,100
Idaho State,Big Sky,5-7,-32.8,68,44.9%,33.7,21,36.6,119
Drake,Pioneer,8-3,-33.4,69,43.0%,22.8,80,26.2,59
Alabama A&M,SWAC,6-6,-33.4,70,42.8%,29.1,44,32.6,104
Austin Peay,UAC,4-8,-33.8,71,41.4%,21.4,91,25.2,56
Florida A&M,SWAC,7-5,-33.9,72,41.2%,26.6,55,30.5,92
Nicholls State,Southland,4-8,-33.9,73,41.1%,19.0,107,23.0,39
Princeton,Ivy League,3-7,-34.0,74,40.8%,25.4,67,29.4,83
Southern Illinois,MVC,4-8,-34.2,75,40.2%,25.6,66,29.8,85
Lindenwood,BSC-OVC,5-7,-34.2,76,40.0%,27.0,53,31.3,99
Maine,CAA,5-7,-34.4,77,39.5%,23.6,74,28.0,75
Grambling,SWAC,5-7,-34.6,78,38.6%,25.3,68,29.9,87
Bucknell,Patriot,6-6,-34.7,79,38.3%,26.2,62,30.9,95
West Georgia,UAC,4-7,-35.1,80,37.0%,23.0,79,28.2,77
The Citadel,Southern,5-7,-35.2,81,36.8%,18.7,108,23.9,51
Saint Francis-PA,NEC,4-7,-35.3,82,36.5%,15.6,117,20.8,18
Dayton,Pioneer,6-5,-35.3,83,36.4%,15.4,118,20.7,16
Sacred Heart,Indies,5-6,-35.5,84,35.7%,16.6,114,22.1,26
Presbyterian,Pioneer,6-6,-35.5,85,35.7%,23.3,77,28.8,79
Western Illinois,BSC-OVC,4-8,-35.8,86,34.6%,34.2,18,40.0,125
Southern U.,SWAC,8-5,-36.2,87,33.5%,21.5,88,27.7,71
Portland State,Big Sky,3-8,-36.7,89,31.9%,30.7,32,37.4,120
St. Thomas,Pioneer,6-6,-36.6,88,32.0%,20.9,96,27.6,69
Wofford,Southern,5-7,-36.7,90,31.9%,15.9,116,22.6,32
Northern Iowa,MVC,3-9,-36.8,91,31.6%,26.6,56,33.4,109
Alcorn State,SWAC,6-6,-36.8,92,31.5%,24.0,72,30.9,94
Brown,Ivy League,3-7,-37.0,93,30.8%,28.3,49,35.3,116
Furman,Southern,3-8,-37.1,94,30.6%,19.6,103,26.7,63
Albany-NY,CAA,4-8,-37.2,95,30.3%,19.7,102,26.8,64
Long Island,NEC,4-8,-37.7,96,28.9%,19.4,104,27.0,67
Indiana State,MVC,4-8,-37.7,97,28.6%,22.7,81,30.4,91
North Alabama,UAC,3-9,-38.6,98,26.0%,20.9,97,29.5,84
Mercyhurst,NEC,4-7,-38.8,99,25.4%,21.5,89,30.4,89
Houston Christian,Southland,5-7,-39.1,100,24.8%,23.4,76,32.4,103
Norfolk State,MEAC,4-8,-39.1,101,24.6%,21.2,93,30.3,88
Texas Southern,SWAC,5-6,-39.6,102,23.4%,20.8,98,30.4,90
Howard,MEAC,4-8,-39.9,103,22.6%,19.3,105,29.1,82
Cal Poly,Big Sky,3-8,-40.0,104,22.3%,21.8,87,31.8,102
Georgetown,Patriot,5-6,-40.2,105,21.6%,16.7,113,26.9,66
Campbell,CAA,3-9,-40.3,106,21.4%,22.5,84,32.8,106
Prairie View A&M,SWAC,5-7,-40.6,107,20.7%,22.4,85,33.0,107
Wagner,NEC,4-8,-41.0,108,19.6%,14.0,122,25.1,55
Fordham,Patriot,2-10,-42.0,109,17.3%,16.4,115,28.4,78
Eastern Illinois,BSC-OVC,3-9,-42.1,110,17.2%,21.4,92,33.4,110
Texas A&M-Commerce,Southland,3-9,-42.6,111,15.9%,20.1,100,32.8,105
Colgate,Patriot,2-10,-42.8,112,15.6%,17.8,110,30.6,93
Charleston Southern,BSC-OVC,1-11,-43.0,113,15.1%,14.8,119,27.8,72
Morehead State,Pioneer,7-5,-44.1,114,13.0%,13.5,123,27.6,70
Murray State,MVC,1-11,-44.9,115,11.5%,23.7,73,38.6,122
Bryant,CAA,2-10,-45.1,116,11.2%,19.9,101,35.0,113
Bethune-Cookman,SWAC,2-10,-46.6,117,8.8%,21.1,95,37.7,121
Utah Tech,UAC,1-11,-47.4,118,7.7%,18.3,109,35.8,118
VMI,Southern,1-11,-48.3,119,6.6%,12.7,127,31.0,97
UAPB,SWAC,3-9,-49.1,120,5.7%,21.1,94,40.2,127
Valparaiso,Pioneer,4-7,-49.5,121,5.3%,10.3,129,29.8,86
NC A&T,CAA,1-11,-50.4,122,4.6%,14.5,120,34.8,112
Delaware State,MEAC,1-11,-51.7,123,3.5%,17.1,112,38.9,123
Stonehill,NEC,1-10,-52.4,124,3.1%,13.0,124,35.4,117
Northern Colorado,Big Sky,1-11,-52.6,125,3.0%,12.6,128,35.2,115
Stetson,Pioneer,2-9,-54.2,126,2.1%,17.5,111,41.8,129
Northwestern State,Southland,0-12,-56.5,127,1.3%,12.7,126,39.2,124
MVSU,SWAC,1-11,-57.0,128,1.1%,14.4,121,41.4,128
Marist,Pioneer,1-10,-57.2,129,1.1%,12.9,125,40.1,126
