team,SP+
Montana State,-0.8
South Dakota State,-1.8
North Dakota State,-3.4
South Dakota,-7.8
Delaware,-13.1
UC Davis,-14.7
Harvard,-14.8
Jackson State,-15.2
Mercer,-15.8
Incarnate Word,-16.1
UT Martin,-16.4
Richmond,-17.9
Stephen F. Austin,-17.9
Montana,-18.0
NC Central,-18.4
Northern Arizona,-18.6
Idaho,-18.9
Missouri State,-19.0
Yale,-19.2
Tarleton State,-19.7
SE Missouri State,-19.8
Chattanooga,-20.0
Illinois State,-20.6
Dartmouth,-21.3
Villanova,-21.5
Rhode Island,-22.5
SC State,-22.7
Duquesne,-22.7
William & Mary,-22.9
ETSU,-23.0
Holy Cross,-23.6
Western Carolina,-24.0
Tennessee State,-24.0
Stony Brook,-24.2
Butler,-24.5
New Hampshire,-24.7
Central Arkansas,-24.9
Columbia,-24.9
Abilene Christian,-25.1
Lehigh,-25.1
Southern Utah,-25.7
Weber State,-25.9
Monmouth,-26.0
North Dakota,-26.2
San Diego,-26.4
Towson,-26.6
Tennessee Tech,-26.9
Eastern Washington,-27.1
Eastern Kentucky,-27.2
Hampton,-27.7
Elon,-28.1
Penn,-28.2
Southeastern Louisiana,-28.8
McNeese State,-29.1
Alabama State,-29.7
Samford,-29.8
Central Connecticut,-30.0
Lamar,-30.0
Lafayette,-30.1
Merrimack,-30.1
Youngstown State,-30.8
Sacramento State,-31.2
Davidson,-31.3
Morgan State,-31.7
Gardner-Webb,-32.0
Robert Morris,-32.2
Cornell,-32.4
Idaho State,-32.8
Drake,-33.4
Alabama A&M,-33.4
Austin Peay,-33.8
Florida A&M,-33.9
Nicholls State,-33.9
Princeton,-34.0
Southern Illinois,-34.2
Lindenwood,-34.2
Maine,-34.4
Grambling,-34.6
Bucknell,-34.7
West Georgia,-35.1
The Citadel,-35.2
Saint Francis-PA,-35.3
Dayton,-35.3
Sacred Heart,-35.5
Presbyterian,-35.5
Western Illinois,-35.8
Southern U.,-36.2
Portland State,-36.7
St. Thomas,-36.6
Wofford,-36.7
Northern Iowa,-36.8
Alcorn State,-36.8
Brown,-37.0
Furman,-37.1
Albany-NY,-37.2
Long Island,-37.7
Indiana State,-37.7
North Alabama,-38.6
Mercyhurst,-38.8
Houston Christian,-39.1
Norfolk State,-39.1
Texas Southern,-39.6
Howard,-39.9
Cal Poly,-40.0
Georgetown,-40.2
Campbell,-40.3
Prairie View A&M,-40.6
Wagner,-41.0
Fordham,-42.0
Eastern Illinois,-42.1
Texas A&M-Commerce,-42.6
Colgate,-42.8
Charleston Southern,-43.0
Morehead State,-44.1
Murray State,-44.9
Bryant,-45.1
Bethune-Cookman,-46.6
Utah Tech,-47.4
VMI,-48.3
UAPB,-49.1
Valparaiso,-49.5
NC A&T,-50.4
Delaware State,-51.7
Stonehill,-52.4
Northern Colorado,-52.6
Stetson,-54.2
Northwestern State,-56.5
MVSU,-57.0
Marist,-57.2
