tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2021-2024,Detroit Golf Club,1,1,4,,3.8057784911717496,,3,156,425,37,2
2021-2024,Detroit Golf Club,1,2,4,,3.983948635634029,,0,111,426,71,15
2021-2024,Detroit Golf Club,1,3,4,,3.853932584269663,,1,133,445,44,0
2021-2024,Detroit Golf Club,1,4,5,,4.792937399678973,,3,169,406,44,1
2021-2024,Detroit Golf Club,1,5,3,,2.92776886035313,,0,125,424,68,6
2021-2024,Detroit Golf Club,1,6,4,,4.223113964686998,,0,46,403,163,11
2021-2024,Detroit Golf Club,1,7,5,,4.547351524879614,,24,281,276,37,5
2021-2024,Detroit Golf Club,1,8,4,,3.9454253611556984,,1,112,436,68,6
2021-2024,Detroit Golf Club,1,9,3,,3.081861958266453,,0,65,447,106,5
2021-2024,Detroit Golf Club,1,10,4,,3.874799357945425,,2,136,425,58,2
2021-2024,Detroit Golf Club,1,11,3,,3.1219903691813804,,2,65,411,145,0
2021-2024,Detroit Golf Club,1,12,4,,4.166934189406099,,0,68,396,146,13
2021-2024,Detroit Golf Club,1,13,4,,3.9887640449438204,,1,114,404,99,5
2021-2024,Detroit Golf Club,1,14,5,,4.666131621187801,,13,244,316,38,12
2021-2024,Detroit Golf Club,1,15,3,,2.897271268057785,,0,138,412,72,1
2021-2024,Detroit Golf Club,1,16,4,,4.043338683788122,,0,73,455,90,5
2021-2024,Detroit Golf Club,1,17,5,,4.529695024077046,,12,298,285,27,1
2021-2024,Detroit Golf Club,1,18,4,,4.110754414125201,,2,68,419,127,7
