tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2021-2024,Golfclub München Eichenried,1,1,4,458,4.163723916532906,0.16372391653290563,0,62,416,126,19
2021-2024,Golfclub München Eichenried,1,2,3,227,3.142857142857143,0.1428571428571428,0,57,431,124,11
2021-2024,Golfclub München Eichenried,1,3,4,489,4.166934189406099,0.16693418940609916,0,73,388,147,15
2021-2024,Golfclub München Eichenried,1,4,4,397,3.9887640449438204,-0.01123595505617958,3,105,428,70,17
2021-2024,Golfclub München Eichenried,1,5,4,340,3.6853932584269664,-0.3146067415730336,4,231,351,31,6
2021-2024,Golfclub München Eichenried,1,6,5,546,4.67255216693419,-0.3274478330658104,16,249,296,47,15
2021-2024,Golfclub München Eichenried,1,7,4,441,4.121990369181381,0.12199036918138084,1,51,447,119,5
2021-2024,Golfclub München Eichenried,1,8,3,210,3.1364365971107544,0.1364365971107544,0,63,417,138,5
2021-2024,Golfclub München Eichenried,1,9,5,557,4.664526484751204,-0.335473515248796,10,245,321,38,9
2021-2024,Golfclub München Eichenried,1,10,4,472,4.210272873194222,0.2102728731942216,0,50,410,145,18
2021-2024,Golfclub München Eichenried,1,11,5,555,4.632423756019262,-0.3675762439807384,22,269,260,60,12
2021-2024,Golfclub München Eichenried,1,12,3,162,2.954983922829582,-0.045016077170418,2,85,478,53,4
2021-2024,Golfclub München Eichenried,1,13,4,434,3.945337620578778,-0.054662379421221985,1,115,430,69,7
2021-2024,Golfclub München Eichenried,1,14,4,490,4.223472668810289,0.22347266881028904,0,56,395,147,24
2021-2024,Golfclub München Eichenried,1,15,4,470,4.062700964630225,0.06270096463022501,1,69,448,98,6
2021-2024,Golfclub München Eichenried,1,16,4,319,3.9935691318327975,-0.006430868167202508,1,153,364,57,47
2021-2024,Golfclub München Eichenried,1,17,3,212,3.0868167202572345,0.08681672025723453,0,76,423,116,7
2021-2024,Golfclub München Eichenried,1,18,5,568,4.581993569131833,-0.418006430868167,21,291,242,63,5
