tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2022-2024,The Renaissance Club,1,1,4,456,4.045729076790336,0.04572907679033644,2,188,742,209,18
2022-2024,The Renaissance Club,1,2,4,494,4.250215703192407,0.25021570319240727,1,78,741,308,31
2022-2024,The Renaissance Club,1,3,5,583,4.558239861949957,-0.4417601380500429,27,530,534,64,4
2022-2024,The Renaissance Club,1,4,4,410,4.0465918895599655,0.046591889559965516,1,181,761,195,21
2022-2024,The Renaissance Club,1,5,4,329,3.750647109577222,-0.2493528904227782,10,368,684,95,2
2022-2024,The Renaissance Club,1,6,3,157,3.019844693701467,0.01984469370146691,0,188,778,175,18
2022-2024,The Renaissance Club,1,7,4,494,4.163071613459879,0.16307161345987886,1,100,781,263,14
2022-2024,The Renaissance Club,1,8,4,444,4.227782571182053,0.22778257118205314,0,101,726,299,33
2022-2024,The Renaissance Club,1,9,3,228,3.183779119930975,0.18377911993097484,0,85,785,280,9
2022-2024,The Renaissance Club,1,10,5,590,4.723037100949094,-0.2769628990509059,17,413,612,108,9
2022-2024,The Renaissance Club,1,11,4,483,4.0569456427955135,0.05694564279551351,1,180,747,214,17
2022-2024,The Renaissance Club,1,12,3,194,2.989646246764452,-0.010353753235547991,0,150,873,134,2
2022-2024,The Renaissance Club,1,13,4,418,3.8628127696289907,-0.13718723037100933,3,263,797,82,14
2022-2024,The Renaissance Club,1,14,3,157,2.9283865401207936,-0.07161345987920642,1,223,798,132,5
2022-2024,The Renaissance Club,1,15,4,483,4.0353753235547885,0.03537532355478845,1,181,770,190,17
2022-2024,The Renaissance Club,1,16,5,584,4.710094909404659,-0.2899050905953411,17,419,615,99,9
2022-2024,The Renaissance Club,1,17,3,192,3.1182053494391715,0.11820534943917149,1,99,828,224,7
2022-2024,The Renaissance Club,1,18,4,488,4.3347713546160485,0.33477135461604846,0,66,692,348,53
