player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Rahm, Jon",150,1.927,0.000,30,0.008,-0.033,-0.009,0.148,0.029,-0.089,0.007,0.000,-0.082,1.989,2.856,"LIV Chicago","Bolingbrook Golf Club"
"DeChambeau, Bryson",150,1.747,0.000,31,0.003,-0.006,-0.022,0.350,0.001,-0.167,-0.008,0.000,-0.175,1.897,2.921,"LIV Chicago","Bolingbrook Golf Club"
"Niemann, Joaquin",150,1.480,0.000,26,0.026,-0.010,-0.004,0.183,0.021,-0.120,-0.011,0.000,-0.131,1.565,2.906,"LIV Chicago","Bolingbrook Golf Club"
"Hatton, Tyrrell",150,1.332,0.000,33,-0.005,-0.010,-0.023,0.110,0.017,-0.026,0.007,0.000,-0.018,1.402,2.862,"LIV Chicago","Bolingbrook Golf Club"
"Munoz, Sebastian",150,0.670,0.000,32,0.000,-0.001,0.055,0.043,-0.003,0.023,0.049,0.000,0.072,0.836,2.862,"LIV Chicago","Bolingbrook Golf Club"
"Reed, Patrick",150,0.879,0.000,35,-0.011,-0.014,0.002,-0.034,-0.023,0.021,-0.000,0.000,0.021,0.821,2.848,"LIV Chicago","Bolingbrook Golf Club"
"Gooch, Talor",150,0.527,0.000,33,-0.005,0.012,0.152,-0.088,0.000,0.037,0.037,0.000,0.074,0.672,2.898,"LIV Chicago","Bolingbrook Golf Club"
"McKibbin, Tom",150,0.425,-0.004,22,0.044,-0.012,-0.000,0.145,-0.060,-0.050,0.010,0.000,-0.040,0.497,2.837,"LIV Chicago","Bolingbrook Golf Club"
"Puig, David",150,0.639,-0.018,23,0.039,-0.013,-0.034,0.015,0.005,-0.101,-0.049,0.000,-0.150,0.483,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Ortiz, Carlos",150,0.527,0.000,34,-0.007,-0.014,-0.062,0.068,-0.004,-0.033,-0.008,0.000,-0.042,0.466,2.926,"LIV Chicago","Bolingbrook Golf Club"
"Ancer, Abraham",150,0.330,0.000,34,-0.008,0.001,-0.010,-0.038,0.015,0.056,0.067,0.000,0.123,0.413,2.873,"LIV Chicago","Bolingbrook Golf Club"
"Casey, Paul",150,0.394,0.000,48,-0.068,-0.001,0.000,-0.036,0.007,0.011,0.036,0.000,0.047,0.344,2.859,"LIV Chicago","Bolingbrook Golf Club"
"Tringale, Cameron",150,0.433,0.000,37,-0.023,0.000,0.008,-0.124,-0.025,0.022,0.015,0.000,0.037,0.307,2.853,"LIV Chicago","Bolingbrook Golf Club"
"Garcia, Sergio",150,0.331,0.000,45,-0.057,-0.022,-0.101,0.067,0.033,0.002,0.045,0.000,0.047,0.298,2.887,"LIV Chicago","Bolingbrook Golf Club"
"Smith, Cameron",150,0.515,0.000,31,0.003,0.006,0.037,-0.138,-0.085,0.004,-0.058,0.000,-0.055,0.283,2.903,"LIV Chicago","Bolingbrook Golf Club"
"Herbert, Lucas",150,0.218,0.000,29,0.013,0.003,-0.082,0.144,0.029,-0.052,-0.030,0.000,-0.082,0.244,2.946,"LIV Chicago","Bolingbrook Golf Club"
"Watson, Bubba",150,0.108,0.000,46,-0.062,-0.008,0.252,-0.013,-0.009,-0.048,0.008,0.000,-0.039,0.228,2.899,"LIV Chicago","Bolingbrook Golf Club"
"Oosthuizen, Louis",150,0.215,0.000,42,-0.045,-0.004,-0.093,0.064,-0.030,0.059,0.057,0.000,0.116,0.224,2.893,"LIV Chicago","Bolingbrook Golf Club"
"Lahiri, Anirban",150,0.110,0.000,38,-0.024,0.001,0.033,-0.043,0.034,0.034,0.018,0.000,0.053,0.164,2.886,"LIV Chicago","Bolingbrook Golf Club"
"Pieters, Thomas",150,0.091,0.000,33,-0.004,-0.016,0.034,0.083,0.028,-0.036,-0.029,0.000,-0.065,0.151,2.874,"LIV Chicago","Bolingbrook Golf Club"
"Varner III, Harold",150,-0.146,0.000,34,-0.010,-0.000,0.070,0.252,0.026,-0.042,-0.004,0.000,-0.046,0.146,2.893,"LIV Chicago","Bolingbrook Golf Club"
"Howell III, Charles",150,0.137,0.000,46,-0.059,-0.003,0.105,-0.015,-0.024,-0.006,-0.013,0.000,-0.019,0.122,2.896,"LIV Chicago","Bolingbrook Golf Club"
"Burmester, Dean",150,0.253,0.000,36,-0.016,-0.013,-0.047,0.092,-0.040,-0.115,-0.061,0.000,-0.176,0.053,2.875,"LIV Chicago","Bolingbrook Golf Club"
"Schwartzel, Charl",150,0.231,0.000,40,-0.036,-0.029,0.033,-0.171,-0.017,0.023,-0.017,0.000,0.006,0.017,2.883,"LIV Chicago","Bolingbrook Golf Club"
"Leishman, Marc",150,0.284,0.000,41,-0.040,-0.011,-0.072,-0.108,-0.028,0.016,-0.026,0.000,-0.010,0.015,2.881,"LIV Chicago","Bolingbrook Golf Club"
"Koepka, Brooks",150,0.118,0.000,35,-0.012,-0.049,-0.161,0.110,0.015,-0.037,-0.018,0.000,-0.055,-0.033,2.928,"LIV Chicago","Bolingbrook Golf Club"
"Grace, Branden",150,-0.249,0.000,37,-0.020,-0.013,0.086,0.031,-0.001,0.039,0.012,0.000,0.051,-0.115,2.901,"LIV Chicago","Bolingbrook Golf Club"
"Johnson, Dustin",150,-0.046,0.000,41,-0.037,-0.025,0.032,-0.029,-0.020,-0.033,-0.014,0.000,-0.048,-0.172,2.949,"LIV Chicago","Bolingbrook Golf Club"
"Bland, Richard",150,0.059,0.000,52,-0.087,0.019,-0.077,-0.208,-0.002,0.086,0.034,0.000,0.120,-0.177,2.861,"LIV Chicago","Bolingbrook Golf Club"
"Steele, Brendan",150,-0.242,0.000,42,-0.043,-0.003,0.032,0.065,-0.005,-0.026,0.013,0.000,-0.013,-0.209,2.890,"LIV Chicago","Bolingbrook Golf Club"
"Kokrak, Jason",150,-0.166,0.000,40,-0.033,0.002,0.059,-0.070,-0.042,-0.014,-0.004,0.000,-0.018,-0.268,2.902,"LIV Chicago","Bolingbrook Golf Club"
"Kozuma, Jinichiro",150,-0.325,-0.018,31,0.007,0.014,0.071,-0.067,0.024,0.014,-0.033,0.000,-0.019,-0.313,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Stenson, Henrik",150,-0.650,0.000,49,-0.073,-0.004,-0.029,0.162,0.045,0.066,0.088,0.000,0.153,-0.397,2.864,"LIV Chicago","Bolingbrook Golf Club"
"Horsfield, Sam",150,-0.519,-0.010,28,0.016,0.000,0.041,0.089,-0.004,-0.016,-0.024,0.000,-0.039,-0.424,2.902,"LIV Chicago","Bolingbrook Golf Club"
"Surratt, Caleb",150,-0.331,0.000,21,0.049,-0.001,0.052,0.007,-0.122,-0.074,-0.037,0.000,-0.111,-0.458,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Meronk, Adrian",150,-0.286,-0.040,32,0.002,-0.007,0.050,-0.128,-0.002,-0.040,-0.052,0.000,-0.092,-0.504,2.932,"LIV Chicago","Bolingbrook Golf Club"
"Kaymer, Martin",150,-0.675,0.000,40,-0.035,-0.008,0.142,-0.200,0.002,0.073,-0.015,0.000,0.058,-0.716,2.926,"LIV Chicago","Bolingbrook Golf Club"
"Mickelson, Phil",150,-0.558,0.000,55,-0.099,-0.018,0.067,-0.134,0.026,0.027,-0.027,0.000,-0.001,-0.717,2.916,"LIV Chicago","Bolingbrook Golf Club"
"Uihlein, Peter",150,-0.358,0.000,35,-0.015,-0.008,-0.096,-0.133,0.012,-0.072,-0.133,0.000,-0.206,-0.804,2.907,"LIV Chicago","Bolingbrook Golf Club"
"Na, Kevin",150,-0.746,0.000,41,-0.040,-0.003,-0.139,-0.032,0.011,0.107,0.032,0.000,0.139,-0.810,2.895,"LIV Chicago","Bolingbrook Golf Club"
"McDowell, Graeme",150,-0.716,0.000,46,-0.059,-0.001,-0.021,-0.147,0.018,0.092,0.021,0.000,0.113,-0.813,2.889,"LIV Chicago","Bolingbrook Golf Club"
"Campbell, Ben",150,-0.582,-0.020,33,-0.006,-0.000,-0.114,-0.194,-0.060,0.128,0.027,0.000,0.155,-0.821,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Westwood, Lee",150,-0.889,0.000,52,-0.086,-0.002,0.112,-0.005,-0.012,0.044,-0.004,0.000,0.041,-0.841,2.877,"LIV Chicago","Bolingbrook Golf Club"
"Ballester, Jose Luis",150,-0.827,0.000,21,0.047,0.012,-0.010,0.039,-0.060,-0.088,-0.056,0.000,-0.145,-0.944,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Jones, Matt",150,-0.731,0.000,45,-0.055,0.001,-0.043,-0.119,0.009,0.008,-0.055,0.000,-0.047,-0.987,2.867,"LIV Chicago","Bolingbrook Golf Club"
"Wolff, Matthew",150,-0.943,0.000,26,0.028,0.004,-0.227,0.285,-0.041,-0.097,-0.043,0.000,-0.140,-1.034,2.993,"LIV Chicago","Bolingbrook Golf Club"
"Ogletree, Andy",150,-1.066,0.000,27,0.023,-0.003,-0.026,-0.019,-0.003,0.006,-0.021,0.000,-0.015,-1.108,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Lee, Chieh-Po",150,-1.124,-0.050,30,0.008,0.000,-0.107,-0.018,-0.060,0.059,0.008,0.000,0.067,-1.284,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Poulter, Ian",150,-1.157,0.000,49,-0.074,-0.002,-0.105,-0.149,0.065,0.099,0.007,0.000,0.106,-1.315,2.857,"LIV Chicago","Bolingbrook Golf Club"
"Jang, Yubin",150,-1.336,-0.050,23,0.042,0.006,-0.119,0.140,-0.060,-0.047,-0.045,0.000,-0.092,-1.469,2.927,"LIV Chicago","Bolingbrook Golf Club"
"Lee, Danny",150,-1.633,0.000,35,-0.011,-0.001,-0.030,-0.046,0.018,0.070,-0.004,0.000,0.066,-1.636,2.946,"LIV Chicago","Bolingbrook Golf Club"
"Pereira, Mito",150,-1.547,0.000,30,0.010,0.002,-0.142,-0.084,-0.029,-0.003,-0.074,0.000,-0.077,-1.867,2.919,"LIV Chicago","Bolingbrook Golf Club"
