player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,-142,-189,-0.101,,0.00,-200,-0.119,,0.00,-200,-0.119,-227,-0.154,-185,-0.095,-200,-0.119,,0.00,-333,-0.237,,0.00,,0.00
"DeChambeau, Bryson",150,-131,-208,-0.162,,0.00,-200,-0.151,,0.00,-208,-0.162,-227,-0.184,-185,-0.127,-200,-0.151,,0.00,-303,-0.247,,0.00,,0.00
"Niemann, Joaquin",150,+101,-175,-0.220,,0.00,-170,-0.211,,0.00,-175,-0.220,-189,-0.240,-175,-0.220,-149,-0.171,,0.00,-250,-0.305,,0.00,,0.00
"Hatton, Tyrrell",150,+117,-135,-0.199,,0.00,-145,-0.222,,0.00,-141,-0.213,-149,-0.231,-135,-0.199,-130,-0.185,,0.00,-175,-0.277,,0.00,,0.00
"Munoz, Sebastian",150,+199,+125,-0.247,,0.00,+140,-0.196,,0.00,+160,-0.129,+150,-0.163,+125,-0.247,+165,-0.113,,0.00,+130,-0.230,,0.00,,0.00
"Reed, Patrick",150,+201,+125,-0.253,,0.00,+150,-0.170,,0.00,+120,-0.270,+120,-0.270,+100,-0.336,+150,-0.170,,0.00,+100,-0.336,,0.00,,0.00
"Gooch, Talor",150,+229,+115,-0.346,,0.00,+140,-0.270,,0.00,+115,-0.346,+110,-0.361,+100,-0.392,+150,-0.240,,0.00,+115,-0.346,,0.00,,0.00
"Ortiz, Carlos",150,+275,+190,-0.226,,0.00,+210,-0.173,,0.00,+185,-0.240,+175,-0.266,+180,-0.253,+200,-0.200,,0.00,+180,-0.253,,0.00,,0.00
"Puig, David",150,+271,+175,-0.258,,0.00,+160,-0.298,,0.00,+170,-0.271,+162,-0.293,+145,-0.339,+200,-0.190,,0.00,+138,-0.358,,0.00,,0.00
"McKibbin, Tom",150,+277,+210,-0.177,,0.00,+210,-0.177,,0.00,+200,-0.203,+200,-0.203,+180,-0.257,+225,-0.137,,0.00,+188,-0.235,,0.00,,0.00
"Ancer, Abraham",150,+287,+190,-0.250,,0.00,+150,-0.354,,0.00,+190,-0.250,+175,-0.289,+180,-0.276,+225,-0.160,,0.00,+150,-0.354,,0.00,,0.00
"Smith, Cameron",150,+325,+175,-0.352,,0.00,+190,-0.317,,0.00,+160,-0.388,+138,-0.440,+145,-0.423,+185,-0.329,,0.00,+140,-0.435,,0.00,,0.00
"Casey, Paul",150,+313,+210,-0.249,,0.00,+190,-0.298,,0.00,+210,-0.249,+225,-0.213,+200,-0.273,+225,-0.213,,0.00,+225,-0.213,,0.00,,0.00
"Garcia, Sergio",150,+327,+210,-0.274,,0.00,+190,-0.321,,0.00,+195,-0.309,+200,-0.297,+180,-0.344,+225,-0.239,,0.00,+180,-0.344,,0.00,,0.00
"Herbert, Lucas",150,+338,+250,-0.202,,0.00,+260,-0.179,,0.00,+250,-0.202,+250,-0.202,+230,-0.247,+275,-0.145,,0.00,+220,-0.270,,0.00,,0.00
"Tringale, Cameron",150,+330,+250,-0.187,,0.00,+260,-0.163,,0.00,+250,-0.187,+250,-0.187,+200,-0.303,+250,-0.187,,0.00,+225,-0.245,,0.00,,0.00
"Watson, Bubba",150,+345,+270,-0.168,,0.00,+275,-0.157,,0.00,+225,-0.269,+250,-0.213,+200,-0.326,+275,-0.157,,0.00,+250,-0.213,,0.00,,0.00
"Oosthuizen, Louis",150,+348,+290,-0.130,,0.00,+300,-0.108,,0.00,+260,-0.197,+250,-0.219,+210,-0.309,+275,-0.164,,0.00,+250,-0.219,,0.00,,0.00
"Varner III, Harold",150,+373,+270,-0.218,,0.00,+275,-0.208,,0.00,+300,-0.155,+300,-0.155,+290,-0.176,+300,-0.155,,0.00,+275,-0.208,,0.00,,0.00
"Lahiri, Anirban",150,+370,+270,-0.212,,0.00,+210,-0.340,,0.00,+260,-0.233,+250,-0.255,+230,-0.297,+300,-0.148,,0.00,+250,-0.255,,0.00,,0.00
"Howell III, Charles",150,+381,+333,-0.099,,0.00,+350,-0.064,,0.00,+325,-0.116,+350,-0.064,+340,-0.085,+350,-0.064,,0.00,+275,-0.220,,0.00,,0.00
"Pieters, Thomas",150,+375,+310,-0.137,,0.00,+275,-0.210,,0.00,+375,0.000,+300,-0.158,+290,-0.179,+350,-0.052,,0.00,+300,-0.158,,0.00,,0.00
"Leishman, Marc",150,+426,+220,-0.392,,0.00,+230,-0.373,,0.00,+250,-0.335,+240,-0.354,+200,-0.430,+300,-0.240,,0.00,+220,-0.392,,0.00,,0.00
"Burmester, Dean",150,+414,+220,-0.377,,0.00,+230,-0.358,,0.00,+210,-0.397,+225,-0.367,+200,-0.416,+300,-0.221,,0.00,+230,-0.358,,0.00,,0.00
"Schwartzel, Charl",150,+432,+333,-0.185,,0.00,+275,-0.295,,0.00,+300,-0.247,+300,-0.247,+290,-0.266,+350,-0.153,,0.00,+275,-0.295,,0.00,,0.00
"Koepka, Brooks",150,+447,+290,-0.288,,0.00,+300,-0.269,,0.00,+280,-0.306,+275,-0.315,+165,-0.516,+300,-0.269,,0.00,+250,-0.361,,0.00,,0.00
"Johnson, Dustin",150,+498,+270,-0.381,,0.00,+275,-0.373,,0.00,+260,-0.398,+250,-0.415,+230,-0.448,+350,-0.247,,0.00,+350,-0.247,,0.00,,0.00
"Grace, Branden",150,+486,+480,-0.010,,0.00,+500,0.024,,0.00,+400,-0.147,+450,-0.061,+400,-0.147,+400,-0.147,,0.00,+400,-0.147,,0.00,,0.00
"Steele, Brendan",150,+537,+500,-0.058,,0.00,+400,-0.215,,0.00,+550,0.021,+500,-0.058,+450,-0.136,+500,-0.058,,0.00,+400,-0.215,,0.00,,0.00
"Bland, Richard",150,+525,+410,-0.184,,0.00,+300,-0.360,,0.00,+390,-0.216,+400,-0.200,+340,-0.296,+450,-0.120,,0.00,+333,-0.308,,0.00,,0.00
"Kokrak, Jason",150,+562,+480,-0.124,,0.00,+500,-0.093,,0.00,+450,-0.169,+450,-0.169,+400,-0.245,+500,-0.093,,0.00,+400,-0.245,,0.00,,0.00
"Kozuma, Jinichiro",150,+581,+410,-0.251,,0.00,+450,-0.192,,0.00,+375,-0.302,+400,-0.266,+340,-0.354,+500,-0.119,,0.00,+375,-0.302,,0.00,,0.00
"Stenson, Henrik",150,+649,+600,-0.065,,0.00,+650,0.001,,0.00,+650,0.001,+650,0.001,+700,0.068,+600,-0.065,,0.00,+650,0.001,,0.00,,0.00
"Horsfield, Sam",150,+665,+500,-0.216,,0.00,+550,-0.150,,0.00,+450,-0.281,+500,-0.216,+400,-0.346,+550,-0.150,,0.00,+500,-0.216,,0.00,,0.00
"Surratt, Caleb",150,+684,+360,-0.413,,0.00,+450,-0.298,,0.00,+350,-0.426,+400,-0.362,+340,-0.438,+500,-0.234,,0.00,+350,-0.426,,0.00,,0.00
"Meronk, Adrian",150,+720,+333,-0.472,,0.00,+350,-0.451,,0.00,+300,-0.512,+300,-0.512,+290,-0.524,+450,-0.329,,0.00,+333,-0.472,,0.00,,0.00
"Mickelson, Phil",150,+888,+600,-0.291,,0.00,+550,-0.342,,0.00,+650,-0.241,+550,-0.342,+450,-0.443,+600,-0.291,,0.00,+500,-0.392,,0.00,,0.00
"Kaymer, Martin",150,+878,+600,-0.285,,0.00,+800,-0.080,,0.00,+550,-0.336,+600,-0.285,+450,-0.438,+600,-0.285,,0.00,+550,-0.336,,0.00,,0.00
"Campbell, Ben",150,+1020,+825,-0.174,,0.00,+650,-0.330,,0.00,+800,-0.196,+750,-0.241,+700,-0.286,+900,-0.107,,0.00,+850,-0.152,,0.00,,0.00
"Uihlein, Peter",150,+1025,+725,-0.267,,0.00,+400,-0.556,,0.00,+650,-0.334,+650,-0.334,+500,-0.467,+900,-0.111,,0.00,+550,-0.422,,0.00,,0.00
"Na, Kevin",150,+1022,+950,-0.064,,0.00,+1200,0.159,,0.00,+1200,0.159,+1200,0.159,+1400,0.337,+900,-0.109,,0.00,+1200,0.159,,0.00,,0.00
"McDowell, Graeme",150,+1035,+825,-0.185,,0.00,+800,-0.207,,0.00,+800,-0.207,+750,-0.251,+700,-0.295,+900,-0.119,,0.00,+850,-0.163,,0.00,,0.00
"Wolff, Matthew",150,+1191,+1200,0.007,,0.00,+1200,0.007,,0.00,+1200,0.007,+1200,0.007,+900,-0.225,+1000,-0.148,,0.00,+800,-0.303,,0.00,,0.00
"Westwood, Lee",150,+1072,+725,-0.296,,0.00,+650,-0.360,,0.00,+550,-0.446,+500,-0.488,+400,-0.574,+800,-0.232,,0.00,+600,-0.403,,0.00,,0.00
"Ogletree, Andy",150,+1342,+950,-0.272,,0.00,+1400,0.041,,0.00,+850,-0.341,+900,-0.306,+850,-0.341,+1100,-0.168,,0.00,+800,-0.376,,0.00,,0.00
"Ballester, Jose Luis",150,+1174,+725,-0.353,,0.00,+650,-0.411,,0.00,+600,-0.451,+700,-0.372,+500,-0.529,+900,-0.215,,0.00,+650,-0.411,,0.00,,0.00
"Jones, Matt",150,+1305,+950,-0.252,,0.00,+1200,-0.074,,0.00,+850,-0.324,+900,-0.288,+850,-0.324,+1100,-0.146,,0.00,+750,-0.395,,0.00,,0.00
"Lee, Chieh-Po",150,+1719,+1550,-0.093,,0.00,+1400,-0.176,,0.00,+1300,-0.231,+1600,-0.066,+1400,-0.176,+1600,-0.066,,0.00,+1200,-0.286,,0.00,,0.00
"Jang, Yubin",150,+2289,+1300,-0.414,,0.00,+1400,-0.372,,0.00,+1200,-0.456,+1400,-0.372,+1200,-0.456,+1600,-0.288,,0.00,+1200,-0.456,,0.00,,0.00
"Poulter, Ian",150,+1966,+1550,-0.201,,0.00,+1200,-0.371,,0.00,+1200,-0.371,+1600,-0.177,+1400,-0.274,+1600,-0.177,,0.00,+1200,-0.371,,0.00,,0.00
"Lee, Danny",150,+2542,+1550,-0.376,,0.00,+1400,-0.432,,0.00,+1500,-0.394,+1600,-0.357,+1400,-0.432,+1800,-0.281,,0.00,+1200,-0.508,,0.00,,0.00
"Pereira, Mito",150,+3663,+2500,-0.309,,0.00,+2500,-0.309,,0.00,+2400,-0.336,+2500,-0.309,+1400,-0.601,+2500,-0.309,,0.00,+1600,-0.548,,0.00,,0.00
"Kim, Anthony",75,+9462,+4600,-0.508,,0.00,+2500,-0.728,,0.00,+3500,-0.623,+4000,-0.571,+5500,-0.414,+4000,-0.571,,0.00,+3000,-0.676,,0.00,,0.00
"Kjettrup, Frederik",150,+8087,+4200,-0.475,,0.00,+2500,-0.682,,0.00,+2500,-0.682,+3300,-0.585,+2500,-0.682,+3500,-0.560,,0.00,+3000,-0.621,,0.00,,0.00
