player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,+668,+550,-0.154,+600,-0.088,+500,-0.219,+505,-0.212,+525,-0.186,+550,-0.154,+575,-0.121,+400,-0.349,+550,-0.154,+550,-0.154,,0.00,+543,-0.163
"DeChambeau, Bryson",150,+712,+500,-0.261,+550,-0.199,+500,-0.261,+585,-0.156,+500,-0.261,+500,-0.261,+550,-0.199,+600,-0.137,+550,-0.199,+550,-0.199,,0.00,+556,-0.192
"Niemann, Joaquin",150,+1029,+650,-0.336,+700,-0.291,+750,-0.247,+850,-0.158,+600,-0.380,+650,-0.336,+600,-0.380,+750,-0.247,+700,-0.291,+700,-0.291,,0.00,+682,-0.307
"Hatton, Tyrrell",150,+1316,+900,-0.294,+1000,-0.223,+1000,-0.223,+1125,-0.135,+750,-0.400,+900,-0.294,+900,-0.294,+1100,-0.153,+900,-0.294,+900,-0.294,,0.00,+1049,-0.189
"Munoz, Sebastian",150,+2575,+1600,-0.364,+2000,-0.215,+2000,-0.215,+2250,-0.121,+1800,-0.290,+2000,-0.215,+2500,-0.028,+2200,-0.140,+2500,-0.028,+2200,-0.140,,0.00,+2372,-0.076
"Reed, Patrick",150,+2797,+1600,-0.413,+1800,-0.344,+2200,-0.206,+2050,-0.258,+1500,-0.448,+1600,-0.413,+1800,-0.344,+1600,-0.413,+1800,-0.344,+1600,-0.413,,0.00,+2050,-0.258
"Gooch, Talor",150,+3038,+1400,-0.522,+2000,-0.331,+2000,-0.331,+2050,-0.315,+1800,-0.395,+1600,-0.458,+1600,-0.458,+1800,-0.395,+1600,-0.458,+1600,-0.458,,0.00,+1978,-0.338
"Ortiz, Carlos",150,+3712,+2800,-0.239,+3100,-0.161,+3500,-0.056,+3750,0.010,+2800,-0.239,+2800,-0.239,+3500,-0.056,+4000,0.076,+2800,-0.239,+3300,-0.108,,0.00,+3345,-0.096
"Puig, David",150,+3719,+2500,-0.319,+2900,-0.215,+2500,-0.319,+2925,-0.208,+2500,-0.319,+2500,-0.319,+2500,-0.319,+3300,-0.110,+1800,-0.503,+2200,-0.398,,0.00,+3393,-0.085
"McKibbin, Tom",150,+4223,+3300,-0.213,+3100,-0.260,+3500,-0.167,+3250,-0.225,+3300,-0.213,+3300,-0.213,+3500,-0.167,+3500,-0.167,+2500,-0.399,+2800,-0.329,,0.00,+3561,-0.153
"Ancer, Abraham",150,+4394,+2800,-0.355,+2900,-0.333,+2200,-0.488,+4050,-0.077,+2800,-0.355,+2800,-0.355,+3000,-0.310,+3500,-0.199,+3300,-0.244,+2500,-0.421,,0.00,+4121,-0.061
"Smith, Cameron",150,+4802,+2500,-0.470,+2700,-0.429,+3000,-0.368,+3050,-0.357,+2200,-0.531,+2200,-0.531,+2500,-0.470,+3000,-0.368,+2500,-0.470,+2500,-0.470,,0.00,+4211,-0.121
"Casey, Paul",150,+5050,+3300,-0.340,+3700,-0.262,+3000,-0.398,+3650,-0.272,+3500,-0.301,+3300,-0.340,+4500,-0.107,+3500,-0.301,+4000,-0.204,+3300,-0.340,,0.00,+4180,-0.169
"Garcia, Sergio",150,+5077,+3300,-0.343,+3100,-0.382,+3000,-0.401,+3550,-0.295,+2800,-0.440,+3300,-0.343,+3500,-0.305,+3500,-0.305,+3300,-0.343,+2800,-0.440,,0.00,+4108,-0.187
"Herbert, Lucas",150,+5081,+4000,-0.209,+5000,-0.016,+4500,-0.112,+4750,-0.064,+4500,-0.112,+4000,-0.209,+5000,-0.016,+5000,-0.016,+3300,-0.344,+4500,-0.112,,0.00,+4670,-0.079
"Tringale, Cameron",150,+5272,+4000,-0.237,+3700,-0.293,+4500,-0.144,+5050,-0.041,+4000,-0.237,+4000,-0.237,+5000,-0.051,+5500,0.043,+3300,-0.367,+3300,-0.367,,0.00,+4853,-0.078
"Watson, Bubba",150,+5340,+4500,-0.154,+3700,-0.301,+5000,-0.062,+5550,0.039,+3300,-0.375,+4000,-0.246,+4000,-0.246,+4000,-0.246,+3300,-0.375,+4000,-0.246,,0.00,+4070,-0.233
"Oosthuizen, Louis",150,+5642,+5000,-0.112,,0.00,+6000,0.062,+5050,-0.103,+4500,-0.199,+4000,-0.286,+5000,-0.112,+6000,0.062,+5000,-0.112,+4500,-0.199,,0.00,+5094,-0.095
"Varner III, Harold",150,+5870,+4500,-0.229,+5500,-0.062,+5000,-0.146,+5850,-0.003,+5500,-0.062,+5000,-0.146,+5000,-0.146,+4500,-0.229,+5000,-0.146,+5000,-0.146,,0.00,+4599,-0.213
"Lahiri, Anirban",150,+5924,+4500,-0.236,+4000,-0.319,+3500,-0.402,+6350,0.071,+3500,-0.402,+4000,-0.319,+5000,-0.153,+5500,-0.070,+4500,-0.236,+5000,-0.153,,0.00,+5661,-0.044
"Howell III, Charles",150,+6086,+6000,-0.014,+5000,-0.175,+7000,0.148,+6350,0.043,+6000,-0.014,+6000,-0.014,+5000,-0.175,+6000,-0.014,+5000,-0.175,+5000,-0.175,,0.00,+6046,-0.006
"Pieters, Thomas",150,+6189,+5500,-0.110,+5000,-0.189,+5000,-0.189,+5850,-0.054,+6000,-0.030,+5000,-0.189,+6500,0.049,+5000,-0.189,+5000,-0.189,+5000,-0.189,,0.00,+6318,0.020
"Leishman, Marc",150,+7298,+3500,-0.513,+4100,-0.432,+4000,-0.446,+4050,-0.439,+3500,-0.513,+3300,-0.540,+4500,-0.378,+3300,-0.540,+4000,-0.446,+3300,-0.540,,0.00,+4836,-0.333
"Burmester, Dean",150,+7335,+3500,-0.516,+3100,-0.570,+4000,-0.449,+4850,-0.334,+3500,-0.516,+3300,-0.543,+4000,-0.449,+4500,-0.381,+3300,-0.543,+3300,-0.543,,0.00,+4650,-0.361
"Schwartzel, Charl",150,+7476,+6000,-0.195,+7000,-0.063,+5000,-0.327,+7050,-0.056,+5500,-0.261,+6000,-0.195,+6500,-0.129,+7500,0.003,+4500,-0.393,+5000,-0.327,,0.00,+7111,-0.048
