player_name,dg_id,dg_pred,my_pred,import_advice
jon rahm,19195,1.989,null,1) import file must include at least one of player_name or dg_id columns
bryson dechambeau,19841,1.897,null,2) import file must include my_pred column
joaquin niemann,18079,1.565,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
tyrrell hatton,14796,1.402,null,
sebastian munoz,20770,0.836,null,
patrick reed,14838,0.821,null,
talor gooch,18580,0.672,null,
tom mckibbin,22322,0.497,null,
david puig,28984,0.483,null,
carlos ortiz,14735,0.466,null,
abraham ancer,18238,0.413,null,
paul casey,7108,0.344,null,
cameron tringale,14013,0.307,null,
sergio garcia,5689,0.298,null,
cameron smith,15856,0.283,null,
lucas herbert,17064,0.244,null,
bubba watson,7334,0.228,null,
louis oosthuizen,7672,0.224,null,
anirban lahiri,12669,0.164,null,
thomas pieters,13944,0.151,null,
harold varner iii,16602,0.146,null,
charles howell iii,6892,0.122,null,
dean burmester,14424,0.053,null,
charl schwartzel,7398,0.017,null,
marc leishman,7649,0.015,null,
brooks koepka,16243,-0.033,null,
branden grace,11952,-0.115,null,
dustin johnson,12422,-0.172,null,
richard bland,6516,-0.177,null,
brendan steele,11019,-0.209,null,
jason kokrak,12337,-0.268,null,
jinichiro kozuma,14209,-0.313,null,
henrik stenson,5994,-0.397,null,
sam horsfield,19866,-0.424,null,
caleb surratt,30463,-0.458,null,
adrian meronk,14196,-0.504,null,
martin kaymer,8117,-0.716,null,
phil mickelson,1547,-0.717,null,
peter uihlein,11357,-0.804,null,
kevin na,7452,-0.81,null,
graeme mcdowell,7548,-0.813,null,
ben campbell,14373,-0.821,null,
lee westwood,4052,-0.841,null,
jose luis ballester,28473,-0.944,null,
matt jones,8605,-0.987,null,
matthew wolff,25919,-1.034,null,
andy ogletree,27597,-1.108,null,
chieh-po lee,16563,-1.284,null,
ian poulter,1435,-1.315,null,
yubin jang,28276,-1.469,null,
danny lee,11826,-1.636,null,
mito pereira,19455,-1.867,null,
frederik kjettrup,24660,-2.428,null,
anthony kim,11641,-2.638,null,
