name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Hatton, Tyrrell","DeChambeau, Bryson",void,r1 match-up,+113,-143,null,+113,-138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,+110,-148,null,+125,-125,null
"Niemann, Joaquin","Rahm, Jon",void,r1 match-up,+106,-136,null,+107,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,+106,-139,null,+119,-119,null
"Reed, Patrick","Munoz, Sebastian",void,r1 match-up,-122,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+101,-101,null
"Smith, Cameron","Gooch, Talor",void,r1 match-up,+100,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+117,-117,null
"Ortiz, Carlos","Puig, David",void,r1 match-up,-109,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+102,-102,null
"Ancer, Abraham","McKibbin, Tom",void,r1 match-up,-108,-122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+103,-103,null
"Garcia, Sergio","Burmester, Dean",void,r1 match-up,-131,+101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-111,+111,null
"Watson, Bubba","Leishman, Marc",void,r1 match-up,-116,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-110,+110,null
"Casey, Paul","Lahiri, Anirban",void,r1 match-up,-135,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-109,+109,null
"Oosthuizen, Louis","Herbert, Lucas",void,r1 match-up,-123,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+100,-100,null
