Team,Rec,SP+,Rk,SOS,Rk
Georgia,11-3,24.3,6,76.3%,1
Mississippi State,2-10,-4.1,88,77.8%,2
Florida,8-5,13.8,20,77.8%,3
Kentucky,4-8,5.5,45,77.8%,4
Michigan,8-5,10.6,26,77.9%,5
Oklahoma,6-7,9.5,33,78.9%,6
Ohio State,14-2,31.2,1,79.2%,7
Purdue,1-11,-16.2,121,79.4%,8
LSU,9-4,15.9,15,80.6%,9
UCLA,5-7,-1.3,75,80.9%,10
Michigan State,4-7,-4.6,90,81.7%,11
Wisconsin,5-7,3.0,60,82.2%,12
Vanderbilt,7-6,4.9,52,82.3%,13
Texas,13-3,24.1,7,82.4%,14
Arkansas,7-6,11.0,24,82.7%,15
Tennessee,10-3,22.0,9,82.8%,16
South Carolina,9-4,16.9,14,82.9%,17
Notre Dame,14-2,23.9,8,82.9%,18
Washington,6-7,3.1,58,83.3%,19
Maryland,4-8,-3.9,86,83.3%,20
Texas A&M,8-5,17.0,13,83.4%,21
Oregon,13-1,26.0,3,83.5%,22
Penn State,13-3,24.6,5,83.9%,23
Florida State,2-10,-3.2,83,84.5%,24
Alabama,9-4,25.0,4,84.7%,25
Auburn,5-7,9.5,34,84.9%,26
USC,7-6,11.9,23,85.2%,27
Northwestern,4-8,-8.2,101,85.5%,28
Georgia Tech,7-6,1.9,66,85.7%,29
Nebraska,7-6,5.5,47,85.8%,30
Missouri,10-3,14.0,19,86.0%,31
Wake Forest,4-8,-5.7,93,86.3%,32
Stanford,3-9,-8.2,103,86.7%,33
Illinois,10-3,9.6,31,86.9%,34
Clemson,10-4,13.3,22,87.0%,35
Duke,9-4,5.6,44,87.1%,36
Louisville,9-4,13.6,21,87.2%,37
Kansas,5-7,4.9,50,87.4%,38
Oklahoma State,3-9,-2.6,81,87.5%,39
SMU,10-3,17.5,12,87.5%,40
Houston,4-8,-8.2,102,87.6%,41
Ole Miss,10-3,27.9,2,87.8%,42
Iowa State,11-3,10.3,28,88.0%,43
West Virginia,6-7,2.1,65,88.3%,44
Minnesota,8-5,10.4,27,88.3%,45
Virginia,5-7,-5.1,91,88.6%,46
Arizona State,11-3,9.4,35,88.9%,47
Iowa,8-5,15.8,16,89.3%,48
Arizona,4-8,-2.8,82,89.3%,49
UCF,4-8,2.8,62,89.4%,50
Indiana,11-2,20.1,11,89.4%,51
BYU,11-2,15.3,17,89.6%,52
California,6-7,4.0,55,89.7%,53
Cincinnati,5-7,-0.1,72,89.9%,54
Virginia Tech,6-7,10.0,30,90.0%,55
Syracuse,10-3,5.5,46,90.1%,56
Utah,5-7,7.7,40,90.4%,57
Boise State,12-2,10.1,29,90.5%,58
Colorado,9-4,8.1,39,90.6%,59
Baylor,8-5,8.4,38,90.6%,60
USF,7-6,-2.3,79,90.7%,61
Kent State,0-12,-33.0,134,90.8%,62
Rutgers,7-6,6.4,42,90.8%,63
Texas Tech,8-5,4.3,54,90.8%,64
Boston College,7-6,1.2,70,91.0%,65
Akron,4-8,-17.9,124,91.0%,66
UL-Monroe,5-7,-16.7,122,91.3%,67
Pittsburgh,7-6,4.9,51,91.6%,68
Georgia Southern,8-5,-1.7,76,91.8%,69
Oregon State,5-7,-6.7,97,91.9%,70
Kansas State,9-4,14.1,18,91.9%,71
Miami-FL,10-3,21.6,10,91.9%,72
NC State,6-7,3.9,56,92.0%,73
Marshall,10-3,3.1,59,92.3%,74
TCU,9-4,10.8,25,92.3%,75
Middle Tennessee,3-9,-24.4,131,92.6%,76
Tulane,9-5,5.7,43,92.8%,77
Charlotte,5-7,-15.3,118,92.9%,78
Ball State,3-9,-19.8,126,93.1%,79
Massachusetts,2-10,-21.9,129,93.2%,80
Western Michigan,6-7,-10.2,105,93.2%,81
Nevada,3-10,-15.2,117,93.4%,82
Navy,10-3,3.5,57,93.5%,83
Bowling Green,7-6,-1.8,77,93.6%,84
UTSA,6-6,2.2,64,93.7%,85
Western Kentucky,8-6,-2.2,78,93.9%,86
North Carolina,6-7,5.0,49,93.9%,87
Old Dominion,5-7,-6.0,95,93.9%,88
Utah State,4-8,-10.4,106,94.2%,89
Appalachian State,5-6,-8.1,100,94.3%,90
Wyoming,3-9,-13.6,115,94.4%,91
Colorado State,8-5,-5.7,94,94.6%,92
UAB,3-9,-11.3,108,94.6%,93
UTEP,3-9,-22.7,130,94.9%,94
Troy,4-8,-6.6,96,95.0%,95
Southern Miss,1-11,-25.6,133,95.0%,96
UNLV,11-3,9.3,36,95.0%,97
Miami-OH,9-5,1.3,69,95.0%,98
