Team,Conference,Record,SP+,Rk,Level
Ohio State,Big Ten,14-2,81.2,1,FBS
Ole Miss,SEC,10-3,77.9,2,FBS
Oregon,Big Ten,13-1,76.1,3,FBS
Alabama,SEC,9-4,75.1,4,FBS
Penn State,Big Ten,13-3,74.7,5,FBS
Georgia,SEC,11-3,74.4,6,FBS
Texas,SEC,13-3,74.2,7,FBS
Notre Dame,Indies (FBS),14-2,74.0,8,FBS
Tennessee,SEC,10-3,72.0,9,FBS
Miami-FL,ACC,10-3,71.7,10,FBS
Indiana,Big Ten,11-2,70.2,11,FBS
SMU,ACC,11-3,67.6,12,FBS
Texas A&M,SEC,8-5,67.1,13,FBS
South Carolina,SEC,9-4,67.0,14,FBS
LSU,SEC,9-4,66.0,15,FBS
Iowa,Big Ten,8-5,65.8,16,FBS
BYU,Big 12,11-2,65.3,17,FBS
Kansas State,Big 12,9-4,64.2,18,FBS
Missouri,SEC,10-3,64.1,19,FBS
Florida,SEC,8-5,63.9,20,FBS
Louisville,ACC,9-4,63.7,21,FBS
Clemson,ACC,10-4,63.4,22,FBS
USC,Big Ten,7-6,62.0,23,FBS
Arkansas,SEC,7-6,61.1,24,FBS
TCU,Big 12,9-4,60.9,25,FBS
Michigan,Big Ten,8-5,60.7,26,FBS
Minnesota,Big Ten,8-5,60.5,27,FBS
Iowa State,Big 12,11-3,60.4,28,FBS
Boise State,MWC,12-2,60.2,29,FBS
Virginia Tech,ACC,6-7,60.1,30,FBS
Illinois,Big Ten,10-3,59.7,31,FBS
Memphis,AAC,11-2,59.7,32,FBS
Oklahoma,SEC,6-7,59.6,33,FBS
Auburn,SEC,5-7,59.6,34,FBS
Arizona State,Big 12,11-3,59.5,35,FBS
UNLV,MWC,11-3,59.3,36,FBS
Army,AAC,12-2,59.3,37,FBS
Baylor,Big 12,8-5,58.5,38,FBS
Colorado,Big 12,9-4,58.2,39,FBS
Utah,Big 12,5-7,57.8,40,FBS
James Madison,Sun Belt,9-4,57.5,41,FBS
Rutgers,Big Ten,7-6,56.5,42,FBS
