Team,Group,Country
Palmeiras,A,Brazil
Porto,A,Portugal
Al Ahly,A,Egypt
Inter Miami,A,United States
Paris Saint-Germain,B,France
Atletico Madrid,B,Spain
Botafogo,B,Brazil
Seattle Sounders,B,United States
Bayern Munich,C,Germany
Benfica,C,Portugal
Boca Juniors,C,Argentina
Auckland City,C,New Zealand
Flamengo,D,Brazil
Chelsea,D,England
Esperance Sportive de Tunis,D,Tunisia
Los Angeles FC,D,United States
River Plate,E,Argentina
Inter Milan,E,Italy
Urawa Red Diamonds,E,Japan
Fluminense,F,Brazil
Borussia Dortmund,F,Germany
Ulsan HD,F,South Korea
Mamelodi Sundowns,F,South Africa
Manchester City,G,England
Juventus,G,Italy
Wydad AC,G,Morocco
Al Ain,G,United Arab Emirates
Real Madrid,H,Spain
FC Salzburg,H,Austria
Al Hilal,H,Saudi Arabia
CF Pachuca,H,Mexico
