name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"McNealy, Maverick","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+120,+2296
"McNealy, Maverick","Burns, Sam",void,72-hole match,-118,-112,null,-112,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,-115,-105,null,-110,-120,null,null,null,null,-110,+110,null
"Yu, Kevin","Clanton, Luke",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,+154,+2171
"Yu, Kevin","Clanton, Luke",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-145,+110,null,null,null,null,null,null,null,null,null,null,-143,+143,null
"Greyserman, Max","Clark, Wyndham",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+115,-138,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,-100,+2305
"Greyserman, Max","Clark, Wyndham",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-145,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Finau, Tony","Fowler, Rickie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+129,-108,+2193
"Finau, Tony","Fowler, Rickie",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,+105,-137,null,+119,-119,null
"Grillo, Emiliano","Mitchell, Keith",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+120,+2106
"Grillo, Emiliano","Mitchell, Keith",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Im, Sungjae","Homa, Max",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-127,+151,+2239
"Im, Sungjae","Homa, Max",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,-159,+120,null,-140,+140,null
"Kim, Si Woo","Thorbjornsen, Michael",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-131,+157,+2200
"Kim, Si Woo","Thorbjornsen, Michael",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,null,null,null,-146,+146,null
"Pendrith, Taylor","Thompson, Davis",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+122,+2174
"Pendrith, Taylor","Thompson, Davis",void,72-hole match,null,null,null,-123,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-112,+112,null
"Whaley, Vince","Coody, Pierceson",void,72-hole match,-128,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,null,null,null,-116,+116,null
"Putnam, Andrew","Champ, Cameron",void,72-hole match,-154,+123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,-161,+161,null
"Noren, Alex","Schmid, Matti",void,72-hole match,-118,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-111,+111,null
"Greyserman, Max","Thorbjornsen, Michael",void,72-hole match,-124,-106,null,-112,-108,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-102,+102,null
"Li, Haotong","Stevens, Sam",void,72-hole match,+134,-168,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+137,-165,null,null,null,null,null,null,null,+146,-146,null
"Vegas, Jhonattan","Hossler, Beau",void,72-hole match,+100,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,+122,-122,null
"Grillo, Emiliano","Homa, Max",void,72-hole match,-151,+121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-145,+121,null,null,null,null,null,null,null,-123,+123,null
"An, Byeong Hun","Theegala, Sahith",void,72-hole match,-125,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-115,+115,null
"Pendrith, Taylor","Knapp, Jake",void,72-hole match,-173,+137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-160,+133,null,null,null,null,null,null,null,-134,+134,null
"Kim, Si Woo","Kitayama, Kurt",void,72-hole match,-141,+111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-143,+119,null,null,null,null,null,null,null,-142,+142,null
"Fowler, Rickie","Bhatia, Akshay",void,72-hole match,+111,-141,null,+108,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+120,-120,null
"Finau, Tony","Thompson, Davis",void,72-hole match,-110,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+118,-118,null
"Hoge, Tom","Moore, Taylor",void,72-hole match,-133,+103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,null,null,null,-111,+111,null
"Mitchell, Keith","Im, Sungjae",void,72-hole match,+116,-146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+126,-126,null
"Scott, Adam","Yu, Kevin",void,72-hole match,-116,-114,null,-108,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+107,-107,null
"McGreevy, Max","Kim, Tom",void,72-hole match,-105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-110,+110,null
"Van Rooyen, Erik","Roy, Kevin",void,72-hole match,-120,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+105,-105,null
"Woodland, Gary","Svensson, Jesper",void,72-hole match,-101,-129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+129,-129,null
"Smalley, Alex","Ghim, Doug",void,72-hole match,+108,-138,null,+105,-127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+109,-109,null
"Rosenmueller, Thomas","Hisatsune, Ryo",void,72-hole match,+105,-135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+118,-118,null
"Cole, Eric","Mouw, William",void,72-hole match,-106,-124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-105,+105,null
"Bezuidenhout, Christiaan","Bridgeman, Jacob",void,72-hole match,-152,+121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-131,+131,null
"Hodges, Lee","Clanton, Luke",void,72-hole match,-111,-119,null,-108,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,-108,null,null,null,null,null,null,null,-112,+112,null
"Rozner, Antoine","Suber, Jackson",void,72-hole match,-141,+111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,null,null,null,-121,+121,null
"Olesen, Thorbjorn","Norgaard, Niklas",void,72-hole match,-140,+110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-128,+128,null
"Wallace, Matt","Hoey, Rico",void,72-hole match,-125,-105,null,-105,-115,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+101,-101,null
"Hubbard, Mark","Riley, Davis",void,72-hole match,-177,+140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-180,+149,null,null,null,null,null,null,null,-155,+155,null
"Clark, Wyndham","Gotterup, Chris",void,72-hole match,-110,-120,null,+104,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+128,-128,null
"Eckroat, Austin","McCarty, Matt",void,72-hole match,-118,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+117,-117,null
"Davis, Cam","Fishburn, Patrick",void,72-hole match,+125,-157,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-160,null,null,null,null,null,null,null,+133,-133,null
"Hughes, Mackenzie","Springer, Hayden",void,72-hole match,-126,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-118,-102,null,null,null,null,null,null,null,-117,+117,null
"Kirk, Chris","Perez, Victor",void,72-hole match,-119,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-102,+102,null
"Ryder, Sam","Lawrence, Thriston",void,72-hole match,-118,-112,null,-114,-106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,-110,-110,null,null,null,null,null,null,null,-106,+106,null
"Kanaya, Takumi","Valimaki, Sami",void,72-hole match,-130,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,null,null,null,-129,+129,null
"Roy, Kevin","Whaley, Vince",void,72-hole match,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Theegala, Sahith","Champ, Cameron",void,72-hole match,null,null,null,+105,-127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Rodgers, Patrick","Cole, Eric",void,72-hole match,null,null,null,-109,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Scott, Adam","Greyserman, Max",void,72-hole match,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Stevens, Sam","Svensson, Jesper",void,72-hole match,null,null,null,-124,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,+117,null
"Noren, Alex","Hossler, Beau",void,72-hole match,null,null,null,-103,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Mitchell, Keith","Homa, Max",void,72-hole match,null,null,null,-131,+108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+105,null,null,null,null,-111,+111,null
"Olesen, Thorbjorn","An, Byeong Hun",void,72-hole match,null,null,null,-111,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"McNealy, Maverick","Gotterup, Chris",void,72-hole match,null,null,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-122,+122,null
"Homa, Max","Clanton, Luke",void,72-hole match,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Kirk, Chris","Hoge, Tom",void,72-hole match,null,null,null,-103,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Pendrith, Taylor","Thorbjornsen, Michael",void,72-hole match,null,null,null,-125,+103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-121,+121,null
"Grillo, Emiliano","Kitayama, Kurt",void,72-hole match,null,null,null,+111,-135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Finau, Tony","Knapp, Jake",void,72-hole match,null,null,null,-104,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-100,null
"Fowler, Rickie","Im, Sungjae",void,72-hole match,null,null,null,-124,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-100,null
"Vegas, Jhonattan","Kim, Tom",void,72-hole match,null,null,null,-103,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Yu, Kevin","Thompson, Davis",void,72-hole match,null,null,null,-104,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,-114,null,+101,-101,null
"Kim, Si Woo","Im, Sungjae",void,72-hole match,null,null,null,-139,+114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+120,null,null,null,null,-132,+132,null
"Van Rooyen, Erik","Coody, Pierceson",void,72-hole match,null,null,null,-130,+107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Woodland, Gary","Moore, Taylor",void,72-hole match,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Kim, Si Woo","Bhatia, Akshay",void,72-hole match,null,null,null,-117,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Perez, Victor","Hisatsune, Ryo",void,72-hole match,null,null,null,-119,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Schmid, Matti","Bridgeman, Jacob",void,72-hole match,null,null,null,-122,+101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Kanaya, Takumi","Castillo, Ricky",void,72-hole match,null,null,null,-116,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-116,+116,null
"Norgaard, Niklas","Davis, Cam",void,72-hole match,null,null,null,-144,+119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Putnam, Andrew","Bezuidenhout, Christiaan",void,72-hole match,null,null,null,-107,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Mitchell, Keith","Knapp, Jake",void,72-hole match,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Dahmen, Joel","Hubbard, Mark",void,72-hole match,null,null,null,+108,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-135,null,null,null,null,null,null,null,null,null,null,+122,-122,null
"Burns, Sam","Clark, Wyndham",void,72-hole match,null,null,null,-169,+137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-142,+142,null
"Hughes, Mackenzie","Eckroat, Austin",void,72-hole match,null,null,null,+106,-129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-135,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Li, Haotong","Fishburn, Patrick",void,72-hole match,null,null,null,+106,-129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"McGreevy, Max","McCarty, Matt",void,72-hole match,null,null,null,-103,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Grillo, Emiliano","Thompson, Davis",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Kim, Si Woo","McNealy, Maverick",void,72-hole match,null,null,null,null,null,null,+110,-140,null,null,null,null,+115,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+123,-123,null
"Fowler, Rickie","Kitayama, Kurt",void,72-hole match,null,null,null,null,null,null,-115,-110,null,null,null,null,-110,-110,null,-118,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Hoge, Tom","Norgaard, Niklas",void,72-hole match,null,null,null,null,null,null,-115,-110,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-127,+127,null
"Svensson, Jesper","Bridgeman, Jacob",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,-108,+108,null
"Clark, Wyndham","Bhatia, Akshay",void,72-hole match,null,null,null,null,null,null,-125,-105,null,null,null,null,-125,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Smalley, Alex","Clanton, Luke",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-124,+124,null
"Homa, Max","Yu, Kevin",void,72-hole match,null,null,null,null,null,null,+100,-125,null,null,null,null,-105,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+136,-136,null
"Pendrith, Taylor","Greyserman, Max",void,72-hole match,null,null,null,null,null,null,-115,-120,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,-118,+118,null
"Stevens, Sam","Whaley, Vince",void,72-hole match,null,null,null,null,null,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-113,+113,null
"Burns, Sam","Gotterup, Chris",void,72-hole match,null,null,null,null,null,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,-111,+111,null
"Finau, Tony","Thorbjornsen, Michael",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Putnam, Andrew","Mitchell, Keith",void,72-hole match,null,null,null,null,null,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+120,null
"Scott, Adam","Knapp, Jake",void,72-hole match,null,null,null,null,null,null,+100,-130,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Im, Sungjae","Champ, Cameron",void,72-hole match,null,null,null,null,null,null,-150,+115,null,null,null,null,-155,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-169,+169,null
"Li, Haotong","Roy, Kevin",void,72-hole match,null,null,null,null,null,null,-115,-110,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+123,-123,null
"McNealy, Maverick","Thorbjornsen, Michael",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-200,+150,null,-178,+178,null
"Kim, Si Woo","Greyserman, Max",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-159,+120,null,-143,+143,null
"Pendrith, Taylor","Kitayama, Kurt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-137,+105,null,-116,+116,null
"Grillo, Emiliano","Champ, Cameron",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-167,+125,null,-148,+148,null
"Smalley, Alex","Stevens, Sam",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-135,null,-105,-125,null,+109,-109,null
"Knapp, Jake","Clark, Wyndham",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-143,null,+122,-122,null
"Scott, Adam","Bhatia, Akshay",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-150,null,+132,-132,null
"Mitchell, Keith","Hoey, Rico",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-130,null,+113,-113,null
"Bezuidenhout, Christiaan","Wallace, Matt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,-108,+108,null
"Putnam, Andrew","Hodges, Lee",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-143,+110,null,-126,+126,null
"Finau, Tony","Clark, Wyndham",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-150,null,null,null,null,+123,-123,null
