name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Ancer, Abraham","Gooch, Talor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+128,-101,+1630
"Ancer, Abraham","Gooch, Talor",void,72-hole match,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Bland, Richard","Pieters, Thomas",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+151,-120,+1687
"Bland, Richard","Pieters, Thomas",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+137,-137,null
"Burmester, Dean","Herbert, Lucas",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+126,-100,+1683
"Burmester, Dean","Herbert, Lucas",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Casey, Paul","McKibbin, Tom",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-106,+1681
"Casey, Paul","McKibbin, Tom",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+120,-120,null
"Rahm, Jon","DeChambeau, Bryson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+119,+105,+1671
"Rahm, Jon","DeChambeau, Bryson",void,72-hole match,-121,-109,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,-110,-110,null,null,null,null,-110,-120,null,+107,-107,null
"Hatton, Tyrrell","Niemann, Joaquin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-130,+115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+112,+111,+1700
