name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Grillo, Emiliano","Young, Cameron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,+141,+1940
"Grillo, Emiliano","Young, Cameron",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,-129,+129,null
"Scott, Adam","Kim, Si Woo",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+115,-138,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+171,-142,+2116
"Scott, Adam","Kim, Si Woo",void,72-hole match,+124,-155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-150,null,+125,-150,null,null,null,null,null,null,null,+159,-159,null
"Matsuyama, Hideki","Bhatia, Akshay",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-134,+110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,+115,+2081
"Matsuyama, Hideki","Bhatia, Akshay",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Spieth, Jordan","Rai, Aaron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+125,-150,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+155,-129,+2125
"Spieth, Jordan","Rai, Aaron",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-155,null,null,null,null,null,null,null,null,null,null,+144,-144,null
"Stevens, Sam","Gerard, Ryan",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+128,-106,+2001
"Stevens, Sam","Gerard, Ryan",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+117,-117,null
"Glover, Lucas","Kitayama, Kurt",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-134,+110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-113,+136,+2091
"Glover, Lucas","Kitayama, Kurt",void,72-hole match,-132,+102,null,-132,+109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-125,+125,null
"Knapp, Jake","Hall, Harry",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-101,+2079
"Knapp, Jake","Hall, Harry",void,72-hole match,+118,-148,null,+118,-144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Thorbjornsen, Michael","Coody, Pierceson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+119,+102,+1980
"Thorbjornsen, Michael","Coody, Pierceson",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Poston, J.T.","Hojgaard, Nicolai",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-138,+115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,+139,+1988
"Poston, J.T.","Hojgaard, Nicolai",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-127,+127,null
"MacIntyre, Robert","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,+115,+1983
"MacIntyre, Robert","Griffin, Ben",void,72-hole match,-116,-114,null,-114,-106,null,-105,-120,null,null,null,null,-110,-115,null,null,null,null,null,null,null,-110,-120,null,-115,-105,null,null,null,null,null,null,null,-104,+104,null
"Bradley, Keegan","Fitzpatrick, Matt",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,+106,+2061
"Bradley, Keegan","Fitzpatrick, Matt",void,72-hole match,-113,-117,null,-105,-115,null,+100,-125,null,null,null,null,+100,-125,null,null,null,null,null,null,null,+100,-130,null,-102,-118,null,null,null,null,-110,-120,null,+103,-103,null
"McCarthy, Denny","Greyserman, Max",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-113,+138,+1985
"McCarthy, Denny","Greyserman, Max",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,-145,+115,null,null,null,null,-126,+126,null
"Woodland, Gary","Perez, Victor",void,72-hole match,+101,-131,null,-101,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+112,-112,null
"Cauley, Bud","Yu, Kevin",void,72-hole match,-112,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,-113,null,null,null,null,null,null,null,+105,-105,null
"Putnam, Andrew","Cole, Eric",void,72-hole match,-155,+124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-153,+127,null,null,null,null,null,null,null,-154,+154,null
"Hossler, Beau","Hisatsune, Ryo",void,72-hole match,-107,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,-113,null,null,null,null,null,null,null,+103,-103,null
"Young, Cameron","Gerard, Ryan",void,72-hole match,+121,-151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+127,-153,null,null,null,null,null,null,null,+168,-168,null
"An, Byeong Hun","Hoey, Rico",void,72-hole match,-101,-129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-129,null,null,null,null,null,null,null,+137,-137,null
"Fishburn, Patrick","Bridgeman, Jacob",void,72-hole match,+102,-132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+117,-117,null
"Mitchell, Keith","Svensson, Jesper",void,72-hole match,-117,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-103,+103,null
"Roy, Kevin","Whaley, Vince",void,72-hole match,-117,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-109,+109,null
"Jaeger, Stephan","Schmid, Matti",void,72-hole match,+112,-142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+116,-139,null,null,null,null,null,null,null,+144,-144,null
