PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aberg, Ludvig",67.48,67.597
"Albertson, Anders",72.08,72.08
"Alexander, Tyson",71.78,71.78
"An, Byeong Hun",68.5,69.11
"Andersen, Mason",73.86,73.86
"Anderson, Matthew",69.94,69.94
"Baddeley, Aaron",71.15,71.15
"Barjon, Paul",72.4,72.4
"Barnes, Erik",72.8,72.8
"Berger, Daniel",70.26,70.26
"Bhatia, Akshay",69.34,69.34
"Bjork, Alexander",72.88,72.88
"Blair, Zac",70.42,70.42
"Boriboonsub, Denwit David",74.52,74.52
"Botha, Barend",70.31,70.31
"Bradbury, Dan",73.38,73.38
"Bradley, Keegan",69.58,69.58
"Bramlett, Joseph",70.76,70.285
"Brehm, Ryan",72.2,72.2
"Bridgeman, Jacob",70.85,70.85
"Brown, Daniel",73.58,73.58
"Bryan, Wesley",71.6,71.6
"Buckley, Hayden",70.62,70.62
"Burns, Sam",69.4,68.95
"Campillo, Jorge",72.97,72.97
"Campos, Rafael",71.77,71.77
"Cao, Yi",70.81,70.81
"Capan III, Frankie",69.91,69.91
"Castillo, Ricky",68.63,68.461
"Catlin, John",72.98,72.98
"Cauley, Bud",70.84,70.84
"Cejka, Alex",74.7,74.7
"Champ, Cameron",71.06,71.06
"Chandler, Will",69.98,69.98
"Chappell, Kevin",71.13,71.13
"Cink, Stewart",71.17,71.17
"Clanton, Luke",69.85,69.332
"Clark, Wyndham",68.28,69.042
"Clarke, Darren",74.8,74.8
"Clemons, Dominic",74.48,74.48
"Cole, Eric",68.26,68.846
"Collins, Cougar",73.0,73.0
"Cone, Trevor",69.98,69.98
"Conners, Corey",67.34,67.51
"Coody, Parker",71.29,71.29
"Coody, Pierceson",70.8,70.8
"Cook, Austin",71.6,71.6
"Covello, Vince",72.1,72.1
"Creighton, Myles",69.87,69.87
"Crocker, Sean",73.66,73.66
"Crowe, Trace",71.19,71.19
"Cummins, Quade",68.87,68.875
"Daffue, MJ",71.5,71.5
"Dahmen, Joel",70.37,70.456
"Daly, John",78.2,78.2
