PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aberg, Ludvig",72.46,72.485
"An, Byeong Hun",73.236,73.081
"Berger, Daniel",72.056,72.221
"Bezuidenhout, Christiaan",72.811,72.741
"Bhatia, Akshay",72.774,72.774
"Bradley, Keegan",72.074,72.172
"Bridgeman, Jacob",73.304,73.339
"Burns, Sam",72.666,72.751
"Campbell, Brian",73.586,73.586
"Cantlay, Patrick",71.989,71.941
"Cauley, Bud",72.684,72.643
"Clark, Wyndham",73.11,73.249
"Cole, Eric",72.774,72.802
"Conners, Corey",72.153,72.13
"Davis, Cam",73.688,73.73
"Detry, Thomas",73.416,73.461
"Dunlap, Nick",75.844,75.844
"Eckroat, Austin",73.211,73.213
"English, Harris",72.678,72.598
"Finau, Tony",72.569,72.571
"Fitzpatrick, Matt",72.897,72.941
"Fleetwood, Tommy",71.907,71.706
"Fowler, Rickie",72.98,72.977
"Fox, Ryan",73.399,73.451
"Gerard, Ryan",73.085,73.165
"Glover, Lucas",72.946,73.024
"Greyserman, Max",73.149,73.206
"Griffin, Ben",72.369,72.364
"Hadwin, Adam",73.844,73.844
"Harman, Brian",72.734,72.919
"Henley, Russell",72.418,72.369
"Higgs, Harry",74.204,74.204
"Highsmith, Joe",73.669,73.641
"Hoge, Tom",73.426,73.423
"Homa, Max",73.639,73.366
"Hovland, Viktor",72.357,72.381
"Hughes, Mackenzie",73.054,72.991
"Im, Sungjae",72.695,72.69
"Jaeger, Stephan",73.281,73.26
"Kim, Michael",72.761,72.897
"Kim, Si Woo",72.192,72.019
"Kirk, Chris",73.228,73.308
"Kuchar, Matt",73.1,73.133
"Lee, Min Woo",73.261,73.244
"Lowry, Shane",72.149,72.053
"MacIntyre, Robert",72.598,72.46
"Matsuyama, Hideki",72.161,72.257
"McCarthy, Denny",72.351,72.357
"McNealy, Maverick",72.587,72.541
"Morikawa, Collin",71.88,71.688
"Noren, Alex",72.621,72.618
"Novak, Andrew",72.621,72.522
"Pavon, Matthieu",73.636,73.636
"Pendrith, Taylor",72.885,72.799
"Poston, J.T.",72.445,72.389
"Rai, Aaron",72.275,72.393
"Rose, Justin",73.627,73.669
"Schauffele, Xander",72.034,72.226
"Scheffler, Scottie",69.916,70.148
"Schmid, Matti",73.368,73.397
"Scott, Adam",72.779,72.903
"Snedeker, Brandt",74.436,74.436
"Spaun, J.J.",72.369,72.355
"Spieth, Jordan",72.364,72.293
"Stevens, Sam",72.988,72.963
"Straka, Sepp",72.355,72.301
"Taylor, Nick",73.181,73.037
"Theegala, Sahith",73.454,73.385
"Thomas, Justin",72.093,72.225
"Thompson, Davis",72.936,73.091
"Vegas, Jhonattan",73.426,73.397
"Young, Cameron",73.613,73.641
