name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Schneider, Marcel","Ayora, Angel",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,+108,+2266
"Nakajima, Keita","Couvra, Martin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+110,+2234
"Laporta, Francesco","Reitan, Kristoffer",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+125,+2241
"Laporta, Francesco","Reitan, Kristoffer",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-106,null,-116,+116,null
"Li, Haotong","Schmid, Matti",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+121,-102,+2318
"Smith, Jordan","Penge, Marco",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+130,+2396
"Smith, Jordan","Penge, Marco",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+120,null,null,null,null,-121,+121,null
"Garcia, Sergio","Puig, David",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+125,-140,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+153,-129,+2304
"Garcia, Sergio","Puig, David",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+130,-160,null,null,null,null,+143,-143,null
"Reed, Patrick","Neergaard-Petersen, Rasmus",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-130,+105,+1600,null,null,null,-118,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-106,+125,+2273
