player_name,dg_id,proj,my_proj,import_advice
patrick reed,14838,81.3,null,1) import file must include at least one of player_name or dg_id columns
rasmus neergaard-petersen,23841,79.6,null,2) import file must include my_proj column
david puig,28984,78.6,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
haotong li,15310,69.1,null,
jordan smith,18586,75.9,null,
sergio garcia,5689,68.7,null,
matti schmid,20722,71,null,
marco penge,22465,72.1,null,
eugenio chacarra,26745,70.2,null,
martin couvra,27811,67.7,null,
jayden schaper,26991,71,null,
laurie canter,14795,65.4,null,
keita nakajima,21074,66.6,null,
ewen ferguson,21646,70,null,
francesco laporta,14987,68.5,null,
joost luiten,10158,64.9,null,
adrien saddier,14792,67.4,null,
nicolai von dellingshausen,22231,64.5,null,
marcel schneider,12522,66.1,null,
angel ayora,30445,65.8,null,
kristoffer reitan,21407,65.8,null,
jorge campillo,14016,62,null,
calum hill,25131,61.3,null,
daniel hillier,21362,62.4,null,
oliver lindell,20085,61,null,
matthew jordan,25601,60.6,null,
alex fitzpatrick,25362,63.7,null,
andy sullivan,15326,61.3,null,
dan bradbury,29971,59,null,
john parry,13764,62.9,null,
julien guerrier,10201,60.4,null,
sam bairstow,28615,60,null,
connor syme,22089,56.1,null,
brandon stone,15229,63.1,null,
richard mansell,24185,61.6,null,
sean crocker,23610,61.4,null,
johannes veerman,20522,58.2,null,
fabrizio zanotti,9842,61.6,null,
frederic lacroix,23733,61.3,null,
shaun norris,7677,59.9,null,
romain langasque,16652,58,null,
brandon robinson-thompson,24497,57.6,null,
edoardo molinari,7033,60.6,null,
jacques kruyswijk,16896,59.1,null,
jacob skov olesen,25611,58.5,null,
wenyi ding,26193,57.6,null,
kiradech aphibarnrat,12321,57.4,null,
maximilian kieffer,12317,57.5,null,
yannik paul,19898,56.2,null,
marcel siem,6950,54.1,null,
daniel brown,20766,53.9,null,
martin kaymer,8117,52.2,null,
gavin green,12530,52.1,null,
todd clements,22608,58,null,
marcus armitage,17813,55.2,null,
alejandro del rey,22259,54.6,null,
andrea pavan,12177,54.6,null,
nathan kimsey,18027,54.3,null,
kazuma kobori,24369,52.9,null,
jens dantorp,14018,55.2,null,
bernd wiesberger,9531,55.2,null,
ivan cantero gutierrez,19635,54.8,null,
darius van driel,13374,54.6,null,
ricardo gouveia,18722,54.3,null,
jeff winther,15680,53.7,null,
wesley bryan,21236,52.3,null,
wilco nienaber,25889,56.1,null,
yuto katsuragawa,20448,54.2,null,
ugo coussaud,20727,53.6,null,
manuel elvira,26008,53.3,null,
grant forrest,16475,52.2,null,
guido migliozzi,17357,52,null,
jason scrivener,12734,50.9,null,
david ravetto,23416,54.4,null,
niklas lemke,10418,53.7,null,
andreas halvorsen,17747,52.8,null,
pablo larrazabal,9133,52,null,
richie ramsay,11396,51.4,null,
joe dean,16497,51.2,null,
rafa cabrera bello,7457,50.7,null,
davis bryant,32550,49.1,null,
tom vaillant,28157,53.3,null,
aaron cockerill,15596,52.9,null,
ignacio elvira mijares,12988,52.1,null,
joakim lagergren,14780,50.8,null,
taiga semikawa,19681,49.8,null,
matthew southgate,15191,49.4,null,
adrian otaegui,14975,48.7,null,
david micheluzzi,19224,47.4,null,
freddy schott,27588,52.7,null,
scott jamieson,11397,51.3,null,
angel hidalgo,24127,50.8,null,
clement sordet,17718,50.1,null,
robin williams,24093,49.7,null,
andrew wilson,25588,49.4,null,
jack senior,15115,48.7,null,
ashun wu,11763,46.6,null,
troy merritt,13367,46.4,null,
casey jarvis,26947,48.8,null,
ben schmidt,27258,48.6,null,
elvis smylie,24200,48.5,null,
benjamin hebert,12213,47.9,null,
hamish brown,22168,47.3,null,
nicolas colsaerts,6893,47.1,null,
jannik de bruyn,23112,46.1,null,
brandon wu,25213,44.9,null,
lucas bjerregaard,11619,43.5,null,
simon forsstrom,19806,48.8,null,
minkyu kim,20780,48.7,null,
conor purcell,25963,48.7,null,
darren fichardt,5754,48.7,null,
tapio pulkkanen,13139,46.8,null,
gregorio de leo,26506,45.7,null,
david horsey,11230,45.4,null,
zander lombard,16897,45.2,null,
hurly long,25138,40.8,null,
mikael lindberg,20084,45.6,null,
jordan gumberg,23892,45.3,null,
jacopo vecchi fossa,17362,43.5,null,
richard sterne,7049,42.9,null,
ryggs johnston,32449,42.8,null,
kevin chappell,13305,41.6,null,
matthew baldwin,13344,40.9,null,
shubhankar sharma,17081,40,null,
tiger christensen,31123,39.8,null,
joel girrbach,15592,46.4,null,
alexander levy,14973,45.4,null,
dale whitnell,13821,42.9,null,
daniel gale,19212,42,null,
dylan naidoo,19429,41.7,null,
ross fisher,9396,41.1,null,
thomas aiken,7679,41.1,null,
alfredo garcia-heredia,7887,41,null,
tadeáš tetak,27808,40.6,null,
wolfgang glawe,28181,39.4,null,
veer ahlawat,22897,42,null,
ryan van velzen,27960,40.6,null,
deon germishuys,25888,40.4,null,
dan erickson,29520,40,null,
jeong weon ko,26213,39.6,null,
bjorn akesson,11530,38.2,null,
joel moscatel,27815,37.8,null,
corey shaun,24599,37.2,null,
luke donald,4163,36.7,null,
tim wiedemeyer,29973,36.4,null,
zihao jin,31187,40,null,
alexander george frances,25183,38.5,null,
matthias schwab,15016,36.6,null,
pierre pineau,20900,36,null,
michael hirmer,20713,32.5,null,
ockie strydom,13731,32.3,null,
george bryan,23054,27.8,null,
nicolas horder,28723,24,null,
martin trainer,15634,22.3,null,
erik barnes,14799,19.1,null,
