player_name,dg_id,dg_pred,my_pred,import_advice
patrick reed,14838,1.042,null,1) import file must include at least one of player_name or dg_id columns
rasmus neergaard-petersen,23841,0.88,null,2) import file must include my_pred column
david puig,28984,0.778,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
jordan smith,18586,0.68,null,
marco penge,22465,0.455,null,
jayden schaper,26991,0.405,null,
matti schmid,20722,0.402,null,
ewen ferguson,21646,0.374,null,
eugenio chacarra,26745,0.345,null,
francesco laporta,14987,0.305,null,
sergio garcia,5689,0.291,null,
haotong li,15310,0.244,null,
adrien saddier,14792,0.236,null,
martin couvra,27811,0.173,null,
keita nakajima,21074,0.131,null,
marcel schneider,12522,0.116,null,
joost luiten,10158,0.104,null,
laurie canter,14795,0.087,null,
kristoffer reitan,21407,0.076,null,
angel ayora,30445,0.06,null,
nicolai von dellingshausen,22231,0.045,null,
john parry,13764,-0.041,null,
alex fitzpatrick,25362,-0.074,null,
brandon stone,15229,-0.082,null,
jorge campillo,14016,-0.122,null,
daniel hillier,21362,-0.126,null,
fabrizio zanotti,9842,-0.132,null,
richard mansell,24185,-0.162,null,
andy sullivan,15326,-0.189,null,
calum hill,25131,-0.19,null,
sean crocker,23610,-0.203,null,
frederic lacroix,23733,-0.211,null,
oliver lindell,20085,-0.211,null,
edoardo molinari,7033,-0.22,null,
matthew jordan,25601,-0.222,null,
julien guerrier,10201,-0.231,null,
shaun norris,7677,-0.278,null,
sam bairstow,28615,-0.297,null,
jacques kruyswijk,16896,-0.308,null,
dan bradbury,29971,-0.35,null,
johannes veerman,20522,-0.356,null,
romain langasque,16652,-0.375,null,
todd clements,22608,-0.39,null,
jacob skov olesen,25611,-0.412,null,
maximilian kieffer,12317,-0.422,null,
wenyi ding,26193,-0.435,null,
brandon robinson-thompson,24497,-0.441,null,
kiradech aphibarnrat,12321,-0.46,null,
yannik paul,19898,-0.506,null,
connor syme,22089,-0.508,null,
bernd wiesberger,9531,-0.516,null,
jens dantorp,14018,-0.543,null,
wilco nienaber,25889,-0.55,null,
andrea pavan,12177,-0.552,null,
marcus armitage,17813,-0.604,null,
darius van driel,13374,-0.622,null,
ivan cantero gutierrez,19635,-0.643,null,
marcel siem,6950,-0.663,null,
nathan kimsey,18027,-0.669,null,
alejandro del rey,22259,-0.674,null,
ricardo gouveia,18722,-0.681,null,
david ravetto,23416,-0.685,null,
daniel brown,20766,-0.693,null,
aaron cockerill,15596,-0.699,null,
