player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"patrick reed",14838,usa,1.027,2.8499,-377,+111,+220,+413,+1701
"rasmus neergaard-petersen",23841,den,0.941,2.927,-322,+126,+246,+452,+1822
"jordan smith",18586,eng,0.823,2.8803,-322,+134,+269,+512,+2162
"david puig",28984,esp,0.755,2.927,-297,+145,+281,+533,+2221
"jayden schaper",26991,rsa,0.521,2.8915,-229,+196,+397,+780,+3567
"marco penge",22465,eng,0.52,2.927,-237,+189,+377,+720,+3090
"eugenio chacarra",26745,esp,0.406,2.927,-227,+206,+412,+795,+3615
"ewen ferguson",21646,sco,0.38,2.8694,-231,+209,+434,+856,+3993
"francesco laporta",14987,ita,0.348,2.8938,-210,+231,+484,+965,+4639
"matti schmid",20722,ger,0.262,2.9156,-195,+247,+513,+1022,+5050
"sergio garcia",5689,esp,0.256,2.8904,-196,+247,+513,+1010,+4955
"kristoffer reitan",21407,nor,0.219,2.927,-188,+256,+525,+1042,+4896
"adrien saddier",14792,fra,0.195,2.8693,-186,+272,+574,+1171,+5936
"haotong li",15310,chn,0.138,2.9851,-177,+269,+550,+1085,+4938
"joost luiten",10158,ned,0.129,2.8552,-194,+275,+595,+1249,+6634
"laurie canter",14795,eng,0.113,2.8797,-182,+280,+594,+1195,+5998
"keita nakajima",21074,jpn,0.102,2.927,-179,+280,+594,+1211,+6324
"martin couvra",27811,fra,0.093,2.927,-171,+297,+620,+1252,+6283
"marcel schneider",12522,ger,0.06,2.9199,-170,+299,+631,+1284,+6582
"angel ayora",30445,esp,0.048,2.927,-173,+300,+642,+1305,+6523
"nicolai von dellingshausen",22231,ger,0.025,2.8848,-170,+308,+664,+1389,+6984
"john parry",13764,eng,0.018,2.8473,-169,+323,+701,+1475,+7847
"alex fitzpatrick",25362,eng,0.003,2.927,-174,+305,+643,+1322,+6619
"jorge campillo",14016,esp,-0.058,2.8941,-164,+337,+739,+1553,+9231
"brandon stone",15229,rsa,-0.069,2.9155,-161,+341,+732,+1530,+7965
"richard mansell",24185,eng,-0.094,2.9059,-156,+348,+764,+1631,+8571
"daniel hillier",21362,nzl,-0.107,2.8864,-148,+381,+839,+1780,+10069
"calum hill",25131,sco,-0.14,2.9057,-143,+386,+845,+1791,+9984
"frederic lacroix",23733,fra,-0.175,2.927,-150,+367,+795,+1646,+8659
"edoardo molinari",7033,ita,-0.176,2.8943,-139,+398,+873,+1892,+10192
"matthew jordan",25601,eng,-0.199,2.896,-148,+389,+870,+1835,+9850
"sean crocker",23610,usa,-0.226,2.9332,-131,+431,+945,+1964,+10730
"oliver lindell",20085,fin,-0.226,2.927,-143,+400,+876,+1869,+10156
"jacques kruyswijk",16896,rsa,-0.245,2.8825,-143,+407,+896,+1950,+10335
"fabrizio zanotti",9842,par,-0.255,2.8846,-132,+441,+990,+2179,+12693
"andy sullivan",15326,eng,-0.295,2.9181,-127,+465,+1050,+2284,+14084
"maximilian kieffer",12317,ger,-0.3,2.9198,-137,+427,+958,+2037,+11948
"julien guerrier",10201,fra,-0.306,2.9202,-130,+449,+1002,+2171,+11438
"sam bairstow",28615,eng,-0.347,2.927,-131,+452,+1002,+2120,+12170
"johannes veerman",20522,usa,-0.37,2.9096,-124,+490,+1093,+2310,+13536
"shaun norris",7677,rsa,-0.39,2.9136,-118,+518,+1196,+2638,+16384
"todd clements",22608,eng,-0.39,2.927,-119,+508,+1135,+2436,+15128
"romain langasque",16652,fra,-0.391,2.8979,-123,+502,+1162,+2573,+14358
"jacob skov olesen",25611,den,-0.397,2.927,-126,+470,+1053,+2242,+13116
"wenyi ding",26193,chn,-0.42,2.927,-126,+488,+1100,+2392,+13536
"andrea pavan",12177,ita,-0.43,2.8791,-114,+552,+1283,+2923,+16029
"brandon robinson-thompson",24497,eng,-0.465,2.927,-123,+508,+1151,+2551,+15404
"connor syme",22089,sco,-0.475,2.8976,-114,+546,+1270,+2910,+17141
"bernd wiesberger",9531,aut,-0.506,2.8361,-118,+555,+1300,+2963,+19900
"dan bradbury",29971,eng,-0.519,2.927,-115,+552,+1257,+2733,+16613
"yannik paul",19898,ger,-0.539,2.8721,-106,+621,+1430,+3135,+19900
"jens dantorp",14018,swe,-0.543,2.896,-114,+575,+1357,+3060,+18948
"wilco nienaber",25889,rsa,-0.55,2.9267,-103,+626,+1463,+3368,+20448
"marcus armitage",17813,eng,-0.562,2.8985,-114,+574,+1312,+2864,+17393
"kiradech aphibarnrat",12321,tha,-0.565,2.9467,-102,+615,+1411,+3100,+19637
"ugo coussaud",20727,fra,-0.591,2.927,-111,+588,+1396,+3113,+17757
"darius van driel",13374,ned,-0.622,2.8567,-108,+633,+1488,+3491,+23429
"jeff winther",15680,den,-0.639,2.9323,-105,+635,+1449,+3291,+20239
"ivan cantero gutierrez",19635,esp,-0.643,2.927,+105,+691,+1594,+3635,+23246
"niklas lemke",10418,swe,-0.659,2.8891,+104,+711,+1694,+3941,+24591
"yuto katsuragawa",20448,jpn,-0.67,2.927,-103,+651,+1505,+3404,+19768
"martin kaymer",8117,ger,-0.676,2.9313,+100,+649,+1495,+3333,+20034
"ricardo gouveia",18722,por,-0.681,2.9221,+106,+713,+1655,+3691,+23710
"david ravetto",23416,fra,-0.685,2.927,-104,+646,+1500,+3332,+20661
