name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Smalley, Alex","Ghim, Doug",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-138,+115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,+119,+2153
"Smalley, Alex","Ghim, Doug",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+115,null,null,null,null,null,null,null,null,null,null,-109,+109,null
"Im, Sungjae","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,+107,+2147
"Im, Sungjae","Burns, Sam",void,72-hole match,-105,-125,null,-104,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Noren, Alex","Woodland, Gary",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-131,+156,+2272
"Noren, Alex","Woodland, Gary",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-145,+110,null,null,null,null,null,null,null,null,null,null,-145,+145,null
"Taylor, Nick","Hall, Harry",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+123,-103,+2143
"Taylor, Nick","Hall, Harry",void,72-hole match,-104,-126,null,-105,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Hughes, Mackenzie","Mitchell, Keith",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+124,-103,+2076
"Hughes, Mackenzie","Mitchell, Keith",void,72-hole match,+105,-135,null,+100,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,+105,-125,null,null,null,null,null,null,null,+114,-114,null
"Pendrith, Taylor","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-103,+2203
"Pendrith, Taylor","MacIntyre, Robert",void,72-hole match,-106,-124,null,-107,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Olesen, Thorbjorn","Clanton, Luke",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+123,+2136
"Olesen, Thorbjorn","Clanton, Luke",void,72-hole match,-114,-116,null,-111,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,-113,+113,null
"McIlroy, Rory","Aberg, Ludvig",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-225,+180,+1800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-145,+172,+2330
"McIlroy, Rory","Aberg, Ludvig",void,72-hole match,-170,+135,null,-178,+144,null,-215,+170,null,null,null,null,-200,+160,null,null,null,null,null,null,null,-200,+150,null,-169,+140,null,null,null,null,-200,+150,null,-161,+161,null
"Kitayama, Kurt","Keefer, Johnny",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+111,+2140
"Kitayama, Kurt","Keefer, Johnny",void,72-hole match,-123,-107,null,-118,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Moore, Taylor","Hisatsune, Ryo",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,+105,+2121
"Moore, Taylor","Hisatsune, Ryo",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Fox, Ryan","Wallace, Matt",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,+109,+2176
"Fox, Ryan","Wallace, Matt",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Lowry, Shane","Conners, Corey",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+119,+101,+2069
"Lowry, Shane","Conners, Corey",void,72-hole match,-118,-112,null,-108,-112,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,-110,-120,null,+109,-109,null
"Van Rooyen, Erik","Hojgaard, Nicolai",void,72-hole match,-128,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-103,+103,null
"Putnam, Andrew","Hossler, Beau",void,72-hole match,-118,-112,null,-118,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-104,+104,null
"Hubbard, Mark","Moore, Taylor",void,72-hole match,-117,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+110,-110,null
"Ryder, Sam","Ghim, Doug",void,72-hole match,+128,-161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-160,null,null,null,null,null,null,null,+128,-128,null
"Hoey, Rico","McCarty, Matt",void,72-hole match,-113,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,-108,null,null,null,null,null,null,null,+105,-105,null
"Lowry, Shane","Im, Sungjae",void,72-hole match,-158,+126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-144,+120,null,null,null,null,null,null,null,-128,+128,null
"Im, Sungjae","Pendrith, Taylor",void,72-hole match,+100,-130,null,-103,-118,null,null,null,null,null,null,null,-105,-120,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+107,-107,null
