name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Olesen, Thorbjorn","Clanton, Luke",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,121,2256
"Olesen, Thorbjorn","Clanton, Luke",void,72-hole match,null,null,null,-115,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,-112,112,null
"Lowry, Shane","Conners, Corey",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,105,-125,1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,119,101,2082
"Lowry, Shane","Conners, Corey",void,72-hole match,null,null,null,-101,-122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,109,-109,null
"Taylor, Nick","Hall, Harry",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,105,-125,1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,126,-105,2141
"Taylor, Nick","Hall, Harry",void,72-hole match,null,null,null,-107,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,116,-116,null
"Hughes, Mackenzie","Mitchell, Keith",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,123,-105,2343
"Hughes, Mackenzie","Mitchell, Keith",void,72-hole match,101,-131,null,-104,-119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,105,-125,null,null,null,null,null,null,null,114,-114,null
"Im, Sungjae","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,109,2076
"Im, Sungjae","Burns, Sam",void,72-hole match,null,null,null,-105,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,101,-101,null
