PLAYER NAME,STROKES PREDICTION,FINAL PREDICTION,AM,COURSE NAME
"McIlroy, Rory",66.83,2.047297545,0,TPC Toronto at Osprey Valley (North Course)
"Conners, Corey",67.34,1.538594691,0,TPC Toronto at Osprey Valley (North Course)
"Lowry, Shane",67.45,1.428188007,0,TPC Toronto at Osprey Valley (North Course)
"Aberg, Ludvig",67.48,1.402441034,0,TPC Toronto at Osprey Valley (North Course)
"MacIntyre, Robert",67.53,1.349738089,0,TPC Toronto at Osprey Valley (North Course)
"Pendrith, Taylor",67.68,1.195169333,0,TPC Toronto at Osprey Valley (North Course)
"Burns, Sam",67.75,1.13066666,0,TPC Toronto at Osprey Valley (North Course)
"Im, Sungjae",67.76,1.123535255,0,TPC Toronto at Osprey Valley (North Course)
"Mitchell, Keith",67.96,0.921394029,0,TPC Toronto at Osprey Valley (North Course)
"Hall, Harry",67.97,0.909452081,0,TPC Toronto at Osprey Valley (North Course)
"Noren, Alex",68.04,0.842226535,0,TPC Toronto at Osprey Valley (North Course)
"Olesen, Thorbjorn",68.06,0.816042284,0,TPC Toronto at Osprey Valley (North Course)
"Hughes, Mackenzie",68.14,0.735296822,0,TPC Toronto at Osprey Valley (North Course)
"Taylor, Nick",68.17,0.708101635,0,TPC Toronto at Osprey Valley (North Course)
"Smalley, Alex",68.18,0.700980328,0,TPC Toronto at Osprey Valley (North Course)
"Fox, Ryan",68.21,0.667533948,0,TPC Toronto at Osprey Valley (North Course)
"Wallace, Matt",68.22,0.657440525,0,TPC Toronto at Osprey Valley (North Course)
"Clanton, Luke",68.22,0.656507065,0,TPC Toronto at Osprey Valley (North Course)
"Young, Cameron",68.25,0.627313407,0,TPC Toronto at Osprey Valley (North Course)
"Cole, Eric",68.26,0.623361604,0,TPC Toronto at Osprey Valley (North Course)
"Hisatsune, Ryo",68.26,0.616679403,0,TPC Toronto at Osprey Valley (North Course)
"Clark, Wyndham",68.28,0.599812065,0,TPC Toronto at Osprey Valley (North Course)
"Kitayama, Kurt",68.3,0.578805564,0,TPC Toronto at Osprey Valley (North Course)
"Gotterup, Chris",68.31,0.569203255,0,TPC Toronto at Osprey Valley (North Course)
"Keefer, Johnny",68.31,0.566399369,0,TPC Toronto at Osprey Valley (North Course)
"Yu, Kevin",68.32,0.561977011,0,TPC Toronto at Osprey Valley (North Course)
"Moore, Taylor",68.33,0.553384947,0,TPC Toronto at Osprey Valley (North Course)
"Ghim, Doug",68.33,0.549819498,0,TPC Toronto at Osprey Valley (North Course)
"Hojgaard, Rasmus",68.36,0.515869671,0,TPC Toronto at Osprey Valley (North Course)
"Whaley, Vince",68.38,0.504986375,0,TPC Toronto at Osprey Valley (North Course)
"Schmid, Matti",68.38,0.500175967,0,TPC Toronto at Osprey Valley (North Course)
"McCarty, Matt",68.43,0.44529012,0,TPC Toronto at Osprey Valley (North Course)
"Detry, Thomas",68.45,0.433871535,0,TPC Toronto at Osprey Valley (North Course)
"Hubbard, Mark",68.47,0.409044177,0,TPC Toronto at Osprey Valley (North Course)
"An, Byeong Hun",68.5,0.380059963,0,TPC Toronto at Osprey Valley (North Course)
"Hoey, Rico",68.5,0.379686267,0,TPC Toronto at Osprey Valley (North Course)
"Thorbjornsen, Michael",68.52,0.362185319,0,TPC Toronto at Osprey Valley (North Course)
"Norgaard, Niklas",68.52,0.35629417,0,TPC Toronto at Osprey Valley (North Course)
"Rodgers, Patrick",68.52,0.355641044,0,TPC Toronto at Osprey Valley (North Course)
"Woodland, Gary",68.55,0.330373487,0,TPC Toronto at Osprey Valley (North Course)
"Kim, Tom",68.56,0.316519768,0,TPC Toronto at Osprey Valley (North Course)
"Hodges, Lee",68.58,0.300765252,0,TPC Toronto at Osprey Valley (North Course)
"Svensson, Jesper",68.58,0.300009446,0,TPC Toronto at Osprey Valley (North Course)
