name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Moore, Taylor","Hojgaard, Nicolai",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-113,+113,null
"Woodland, Gary","Hubbard, Mark",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Svensson, Adam","Ghim, Doug",void,r1 match-up,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+124,-124,null
"Burns, Sam","Aberg, Ludvig",void,r1 match-up,null,null,null,null,null,null,+110,-140,null,+105,-125,null,+110,-140,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Taylor, Nick","Im, Sungjae",void,r1 match-up,null,null,null,+105,-127,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,-105,-115,null,+113,-135,null,null,null,null,null,null,null,+120,-120,null
"Hughes, Mackenzie","Clanton, Luke",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"McIlroy, Rory","Pendrith, Taylor",void,r1 match-up,null,null,null,null,null,null,-190,+150,null,-160,+135,null,-190,+150,null,null,null,null,null,null,null,-160,+135,null,null,null,null,null,null,null,null,null,null,-149,+149,null
"Detry, Thomas","Keefer, Johnny",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Mitchell, Keith","Hall, Harry",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Smalley, Alex","Kitayama, Kurt",void,r1 match-up,null,null,null,-112,-108,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Hojgaard, Rasmus","Young, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Noren, Alex","Lowry, Shane",void,r1 match-up,null,null,null,null,null,null,+120,-150,null,+120,-140,null,+115,-150,null,null,null,null,null,null,null,+120,-145,null,null,null,null,null,null,null,null,null,null,+132,-132,null
"Olesen, Thorbjorn","Conners, Corey",void,r1 match-up,null,null,null,null,null,null,+120,-150,null,+125,-150,null,+120,-150,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,null,null,null,+139,-139,null
"Fox, Ryan","MacIntyre, Robert",void,r1 match-up,null,null,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,null,null,null,+135,-135,null
"Wallace, Matt","Clark, Wyndham",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Rose, Justin","Gotterup, Chris",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+120,-120,null
"Hubbard, Mark","Hojgaard, Nicolai",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-105,+105,null
"Riley, Davis","Hoey, Rico",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+108,-108,null
"Putnam, Andrew","Ryder, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+102,-102,null
"Pendrith, Taylor","Burns, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-101,+101,null
"Woodland, Gary","Homa, Max",void,r1 match-up,null,null,null,-112,-108,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-108,+108,null
"Hughes, Mackenzie","Mitchell, Keith",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+109,-109,null
"McIlroy, Rory","Aberg, Ludvig",void,r1 match-up,-146,+116,null,-147,+120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,-162,+126,null,-134,+134,null
"Hall, Harry","Clanton, Luke",void,r1 match-up,-116,-114,null,-114,-106,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-111,+111,null
"Detry, Thomas","Kitayama, Kurt",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+105,-105,null
"An, Byeong Hun","Moore, Taylor",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+108,-108,null
"Smalley, Alex","Keefer, Johnny",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-108,+108,null
"Rodgers, Patrick","Perez, Victor",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-108,+108,null
"Olesen, Thorbjorn","Cole, Eric",void,r1 match-up,-117,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-109,+109,null
"Hadwin, Adam","Walker, Danny",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+104,-104,null
"Kim, Tom","Whaley, Vince",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+109,-109,null
"Fox, Ryan","Young, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,-114,-114,null,-102,+102,null
"Rose, Justin","Clark, Wyndham",void,r1 match-up,null,null,null,+109,-132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,-107,-120,null,+123,-123,null
"Knapp, Jake","Wallace, Matt",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,null,null,null,+118,-118,null
"Lowry, Shane","Conners, Corey",void,r1 match-up,-118,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,-107,-120,null,+105,-105,null
"Van Rooyen, Erik","Gotterup, Chris",void,r1 match-up,-110,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+114,-114,null
"Yu, Kevin","Hisatsune, Ryo",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+102,-102,null
"Vilips, Karl","McCarty, Matt",void,r1 match-up,null,null,null,+108,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,null,null,null,+126,-126,null
"Power, Seamus","Fisk, Steven",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-101,+101,null
"Hossler, Beau","Hojgaard, Nicolai",void,r1 match-up,null,null,null,-103,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Hubbard, Mark","Ghim, Doug",void,r1 match-up,null,null,null,-107,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Putnam, Andrew","Hoey, Rico",void,r1 match-up,null,null,null,-103,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-107,null,+110,-110,null
"Mitchell, Keith","Burns, Sam",void,r1 match-up,null,null,null,+100,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Riley, Davis","Hodges, Lee",void,r1 match-up,-105,-125,null,-114,-106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Hughes, Mackenzie","Pendrith, Taylor",void,r1 match-up,null,null,null,+110,-133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-122,null
"Detry, Thomas","An, Byeong Hun",void,r1 match-up,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Moore, Taylor","Keefer, Johnny",void,r1 match-up,null,null,null,-116,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Dahmen, Joel","Rodgers, Patrick",void,r1 match-up,null,null,null,+103,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Schmid, Matti","Cole, Eric",void,r1 match-up,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Noren, Alex","Hojgaard, Rasmus",void,r1 match-up,-126,-104,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-103,null,-115,+115,null
"Olesen, Thorbjorn","Young, Cameron",void,r1 match-up,null,null,null,-111,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Fox, Ryan","Kim, Tom",void,r1 match-up,null,null,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,+117,null
"Hadwin, Adam","Knapp, Jake",void,r1 match-up,null,null,null,+102,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,-118,null
"Lowry, Shane","MacIntyre, Robert",void,r1 match-up,null,null,null,-118,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Van Rooyen, Erik","Wallace, Matt",void,r1 match-up,null,null,null,-103,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,-132,null,+117,-117,null
"Yu, Kevin","Gotterup, Chris",void,r1 match-up,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Power, Seamus","Hisatsune, Ryo",void,r1 match-up,null,null,null,+113,-137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+123,-123,null
"Fishburn, Patrick","Svensson, Jesper",void,r1 match-up,null,null,null,+104,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Hughes, Mackenzie","Kitayama, Kurt",void,r1 match-up,null,null,null,null,null,null,-120,-105,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Rose, Justin","Fox, Ryan",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+126,-126,null
"Wallace, Matt","Schmid, Matti",void,r1 match-up,null,null,null,null,null,null,-120,-105,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Young, Cameron","Gotterup, Chris",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"MacIntyre, Robert","Clark, Wyndham",void,r1 match-up,null,null,null,null,null,null,-140,+110,null,null,null,null,-140,+110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+138,null
"Mitchell, Keith","Im, Sungjae",void,r1 match-up,null,null,null,null,null,null,+100,-130,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-110,null
