name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Norlander, Henrik","Hossler, Beau",void,r2 match-up,-123,-107,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Lower, Justin","Hojgaard, Nicolai",void,r2 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+117,-117,null
"Pendrith, Taylor","Burns, Sam",void,r2 match-up,null,null,null,-110,-110,null,-110,-115,null,-110,-110,null,-110,-115,null,null,null,null,null,null,null,-110,-110,null,-114,-106,null,null,null,null,null,null,null,-105,+105,null
"Riley, Davis","Hall, Harry",void,r2 match-up,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+130,-130,null
"Im, Sungjae","Homa, Max",void,r2 match-up,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,null,null,null,-134,+134,null
"Taylor, Nick","Hughes, Mackenzie",void,r2 match-up,-127,-103,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"McIlroy, Rory","Aberg, Ludvig",void,r2 match-up,-137,+107,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,-130,+110,null,-135,+113,null,null,null,null,-148,+116,null,-120,+120,null
"Detry, Thomas","Mitchell, Keith",void,r2 match-up,+100,-130,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+102,-129,null,+113,-113,null
"Hubbard, Mark","Hojgaard, Nicolai",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+103,-103,null
"Riley, Davis","Hoey, Rico",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+104,-104,null
