name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Hoge, Tom","Bhatia, Akshay",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+137,-114,+2076
"Hoge, Tom","Bhatia, Akshay",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-130,null,null,null,null,null,null,null,null,null,null,+126,-126,null
"English, Harris","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-134,+110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+126,+2125
"English, Harris","MacIntyre, Robert",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+105,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Glover, Lucas","Hall, Harry",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+109,+2087
"Glover, Lucas","Hall, Harry",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Harman, Brian","Kim, Si Woo",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+132,-110,+2112
"Harman, Brian","Kim, Si Woo",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-125,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+121,-121,null
"Matsuyama, Hideki","McNealy, Maverick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+112,+107,+2141
"Matsuyama, Hideki","McNealy, Maverick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Mitchell, Keith","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+134,-112,+2165
"Mitchell, Keith","Griffin, Ben",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+123,-123,null
"Smalley, Alex","Novak, Andrew",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,+102,+2086
"Smalley, Alex","Novak, Andrew",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-135,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Olesen, Thorbjorn","Hughes, Mackenzie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+111,+2168
"Olesen, Thorbjorn","Hughes, Mackenzie",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Rai, Aaron","Poston, J.T.",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+124,+2121
"Rai, Aaron","Poston, J.T.",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,null,null,null,-114,+114,null
"Fleetwood, Tommy","Scheffler, Scottie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+300,-400,+1800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+339,-279,+2655
"Fleetwood, Tommy","Scheffler, Scottie",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+300,-450,null,+265,-325,null,null,null,null,null,null,null,+323,-323,null
"Spaun, J.J.","Thompson, Davis",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+122,+2072
"Spaun, J.J.","Thompson, Davis",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,-110,-110,null,null,null,null,null,null,null,-111,+111,null
"Spieth, Jordan","Berger, Daniel",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+142,-118,+2147
"Spieth, Jordan","Berger, Daniel",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+131,-131,null
"Matsuyama, Hideki","Berger, Daniel",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+121,-145,null,null,null,null,null,null,null,+132,-132,null
"Spieth, Jordan","McNealy, Maverick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-100,+100,null
"English, Harris","Poston, J.T.",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,+103,-103,null
"Kim, Si Woo","Mitchell, Keith",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-147,+122,null,null,null,null,null,null,null,-141,+141,null
"Rai, Aaron","MacIntyre, Robert",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-136,+136,null
"Kim, Michael","Riley, Davis",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-124,+124,null
"Novak, Andrew","Griffin, Ben",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,-110,-120,null,null,null,null,+111,-111,null
"Hughes, Mackenzie","Stevens, Sam",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-117,+117,null
"Bhatia, Akshay","Hall, Harry",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,+103,-103,null
"Glover, Lucas","Gerard, Ryan",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+103,-103,null
"Harman, Brian","Olesen, Thorbjorn",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,null,null,null,-111,+111,null
"Bezuidenhout, Christiaan","Smalley, Alex",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+109,-109,null
"Yu, Kevin","Kitayama, Kurt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-116,+116,null
"Moore, Taylor","Kim, Tom",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-127,+106,null,null,null,null,null,null,null,-127,+127,null
"Greyserman, Max","Bridgeman, Jacob",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-129,null,null,null,null,null,null,null,+126,-126,null
"Cauley, Bud","McCarty, Matt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-109,+109,null
"Woodland, Gary","Fowler, Rickie",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+122,-122,null
"Kirk, Chris","Rodgers, Patrick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-120,+120,null
"Power, Seamus","Vegas, Jhonattan",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-109,+109,null
"Thorbjornsen, Michael","Eckroat, Austin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+108,-108,null
"Hisatsune, Ryo","Hoey, Rico",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-119,+119,null
"Hubbard, Mark","Coody, Pierceson",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+113,null,null,null,null,null,null,null,-117,+117,null
"Davis, Cam","Cole, Eric",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+120,-120,null
"Hoge, Tom","Ghim, Doug",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-101,+101,null
"Kuchar, Matt","Hodges, Lee",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+106,-106,null
"Gotterup, Chris","Highsmith, Joe",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+112,-112,null
"Perez, Victor","Echavarria, Nico",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+104,-104,null
"Knapp, Jake","Salinda, Isaiah",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-121,+121,null
"Norlander, Henrik","Schmid, Matti",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-134,+112,null,null,null,null,null,null,null,-128,+128,null
"Tosti, Alejandro","Valimaki, Sami",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+128,-128,null
"Van Rooyen, Erik","Phillips, Chandler",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-115,+115,null
"Svensson, Adam","Shipley, Neal",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+115,null,null,null,null,null,null,null,-149,+149,null
"McNealy, Maverick","Poston, J.T.",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,+105,-105,null
"Kitayama, Kurt","Hoey, Rico",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,-104,+104,null
"English, Harris","Rai, Aaron",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-130,null,null,null,null,+118,-118,null
"Harman, Brian","Spaun, J.J.",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,+105,-105,null
"Hughes, Mackenzie","Mitchell, Keith",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-130,null,null,null,null,-104,+104,null
"MacIntyre, Robert","Hall, Harry",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+110,null,null,null,null,-121,+121,null
