PLAYER NAME,STROKES PREDICTION,FINAL PREDICTION,AM,COURSE NAME
"Scheffler, Scottie",70.29,3.454257577,0,Muirfield Village Golf Club
"Morikawa, Collin",71.73,2.013663175,0,Muirfield Village Golf Club
"Fleetwood, Tommy",71.8,1.942269817,0,Muirfield Village Golf Club
"Conners, Corey",71.95,1.792180075,0,Muirfield Village Golf Club
"Thomas, Justin",71.99,1.746969975,0,Muirfield Village Golf Club
"Cantlay, Patrick",72.03,1.711354051,0,Muirfield Village Golf Club
"Schauffele, Xander",72.04,1.698086378,0,Muirfield Village Golf Club
"Berger, Daniel",72.13,1.613898488,0,Muirfield Village Golf Club
"Lowry, Shane",72.17,1.572477256,0,Muirfield Village Golf Club
"Kim, Si Woo",72.17,1.570572974,0,Muirfield Village Golf Club
"Rai, Aaron",72.2,1.535380301,0,Muirfield Village Golf Club
"Matsuyama, Hideki",72.23,1.509653151,0,Muirfield Village Golf Club
"Straka, Sepp",72.25,1.486084861,0,Muirfield Village Golf Club
"Spaun, J.J.",72.33,1.408817086,0,Muirfield Village Golf Club
"Spieth, Jordan",72.36,1.381997565,0,Muirfield Village Golf Club
"Bradley, Keegan",72.37,1.370780167,0,Muirfield Village Golf Club
"Henley, Russell",72.39,1.350036955,0,Muirfield Village Golf Club
"Griffin, Ben",72.42,1.321212158,0,Muirfield Village Golf Club
"Poston, J.T.",72.42,1.315419359,0,Muirfield Village Golf Club
"McCarthy, Denny",72.47,1.274473071,0,Muirfield Village Golf Club
"MacIntyre, Robert",72.49,1.247775038,0,Muirfield Village Golf Club
"Hovland, Viktor",72.5,1.242928688,0,Muirfield Village Golf Club
"English, Harris",72.57,1.17134471,0,Muirfield Village Golf Club
"Finau, Tony",72.57,1.166496809,0,Muirfield Village Golf Club
"Novak, Andrew",72.58,1.160199509,0,Muirfield Village Golf Club
"Aberg, Ludvig",72.61,1.132008919,0,Muirfield Village Golf Club
"Im, Sungjae",72.65,1.086899485,0,Muirfield Village Golf Club
"Noren, Alex",72.67,1.073112675,0,Muirfield Village Golf Club
"McNealy, Maverick",72.69,1.046076824,0,Muirfield Village Golf Club
"Cauley, Bud",72.72,1.021939368,0,Muirfield Village Golf Club
"Bhatia, Akshay",72.75,0.986677236,0,Muirfield Village Golf Club
"Kim, Michael",72.76,0.984762609,0,Muirfield Village Golf Club
"Thompson, Davis",72.78,0.955066089,0,Muirfield Village Golf Club
"Burns, Sam",72.82,0.923288647,0,Muirfield Village Golf Club
"Fitzpatrick, Matt",72.84,0.898668216,0,Muirfield Village Golf Club
"Pendrith, Taylor",72.85,0.892486078,0,Muirfield Village Golf Club
"Bezuidenhout, Christiaan",72.86,0.875903881,0,Muirfield Village Golf Club
"Glover, Lucas",72.91,0.831700762,0,Muirfield Village Golf Club
"Harman, Brian",72.92,0.824443067,0,Muirfield Village Golf Club
"Hughes, Mackenzie",72.93,0.808304089,0,Muirfield Village Golf Club
"Gerard, Ryan",72.94,0.800965731,0,Muirfield Village Golf Club
"Scott, Adam",72.95,0.793127148,0,Muirfield Village Golf Club
"Cole, Eric",72.99,0.752965378,0,Muirfield Village Golf Club
"Fowler, Rickie",73.03,0.711095509,0,Muirfield Village Golf Club
"Stevens, Sam",73.07,0.665071963,0,Muirfield Village Golf Club
"Lee, Min Woo",73.08,0.662633963,0,Muirfield Village Golf Club
"Kuchar, Matt",73.12,0.6183248,0,Muirfield Village Golf Club
"Eckroat, Austin",73.15,0.587403135,0,Muirfield Village Golf Club
"Taylor, Nick",73.16,0.57788266,0,Muirfield Village Golf Club
"Clark, Wyndham",73.18,0.561215352,0,Muirfield Village Golf Club
"Greyserman, Max",73.24,0.500717792,0,Muirfield Village Golf Club
"Kirk, Chris",73.26,0.478323612,0,Muirfield Village Golf Club
"Bridgeman, Jacob",73.28,0.460618404,0,Muirfield Village Golf Club
"An, Byeong Hun",73.28,0.455836735,0,Muirfield Village Golf Club
"Schmid, Matti",73.34,0.395529221,0,Muirfield Village Golf Club
"Hoge, Tom",73.35,0.38592671,0,Muirfield Village Golf Club
"Jaeger, Stephan",73.36,0.382365672,0,Muirfield Village Golf Club
"Fox, Ryan",73.36,0.376624646,0,Muirfield Village Golf Club
"Rose, Justin",73.38,0.361495667,0,Muirfield Village Golf Club
"Detry, Thomas",73.46,0.280142829,0,Muirfield Village Golf Club
"Homa, Max",73.47,0.270595652,0,Muirfield Village Golf Club
"Campbell, Brian",73.49,0.254010907,0,Muirfield Village Golf Club
"Theegala, Sahith",73.49,0.253837793,0,Muirfield Village Golf Club
"Highsmith, Joe",73.53,0.211959288,0,Muirfield Village Golf Club
"Vegas, Jhonattan",73.53,0.20673058,0,Muirfield Village Golf Club
"Young, Cameron",73.57,0.171639564,0,Muirfield Village Golf Club
"Davis, Cam",73.63,0.111244967,0,Muirfield Village Golf Club
"Hadwin, Adam",73.94,-0.19939019,0,Muirfield Village Golf Club
"Pavon, Matthieu",74.05,-0.30851492,0,Muirfield Village Golf Club
"Higgs, Harry",74.24,-0.502038956,0,Muirfield Village Golf Club
"Snedeker, Brandt",74.4,-0.66273124,0,Muirfield Village Golf Club
"Dunlap, Nick",75.43,-1.687398533,0,Muirfield Village Golf Club
