player_name,dg_id,proj,my_proj,import_advice
scottie scheffler,18417,106.3,null,1) import file must include at least one of player_name or dg_id columns
rory mcilroy,10091,85.5,null,2) import file must include my_proj column
xander schauffele,19895,85.8,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
collin morikawa,22085,90.7,null,
patrick cantlay,15466,85.1,null,
ludvig aberg,23950,81.6,null,
justin thomas,14139,82.5,null,
sepp straka,17511,85.7,null,
sam burns,19483,80,null,
viktor hovland,18841,82.1,null,
tommy fleetwood,12294,84.6,null,
russell henley,14578,84.2,null,
j.j. spaun,17536,82.1,null,
keegan bradley,13872,84.7,null,
robert macintyre,23323,82.2,null,
shane lowry,13900,81.8,null,
jordan spieth,14636,79.2,null,
ben griffin,24968,81.6,null,
hideki matsuyama,13562,78.8,null,
sungjae im,17488,77.7,null,
taylor pendrith,17780,76.7,null,
si woo kim,14609,81.6,null,
cameron young,26651,75,null,
harris english,14577,78.2,null,
tony finau,11676,76.6,null,
maverick mcnealy,18634,80.3,null,
adam scott,6430,76.4,null,
aaron rai,18554,83,null,
daniel berger,17606,82.1,null,
akshay bhatia,26096,76.9,null,
luke clanton,32330,71.7,null,
j.t. poston,21554,77.6,null,
min woo lee,16841,72,null,
brian harman,8825,76.3,null,
rickie fowler,12965,73.3,null,
mackenzie hughes,15556,74.6,null,
tom kim,24766,73.3,null,
harry hall,27194,72.2,null,
jason day,9771,77.5,null,
denny mccarthy,19870,74,null,
ryan fox,11889,72.4,null,
nick taylor,13126,76.5,null,
matt fitzpatrick,17646,75.1,null,
max greyserman,23465,73.8,null,
bud cauley,14502,74.3,null,
tom hoge,15575,73.7,null,
thomas detry,14181,73.1,null,
wyndham clark,23604,70.8,null,
ryan gerard,29767,76.4,null,
andrew novak,23475,76.2,null,
sam stevens,25569,73.1,null,
michael kim,17543,72.7,null,
christiaan bezuidenhout,18103,72.6,null,
alex noren,10419,72,null,
stephan jaeger,16394,69.5,null,
max homa,17538,65.8,null,
davis thompson,27364,75.1,null,
kevin yu,17881,73.5,null,
jacob bridgeman,29433,70.6,null,
byeong hun an,14459,69.9,null,
matti schmid,20722,68.5,null,
gary woodland,12577,68.3,null,
lucas glover,7399,73.3,null,
eric cole,21756,68.4,null,
cam davis,17786,66.5,null,
austin eckroat,26653,68.6,null,
adam hadwin,13965,64.6,null,
matthieu pavon,19960,64.2,null,
joe highsmith,28469,65.8,null,
brian campbell,18628,64.3,null,
nick dunlap,28270,54.4,null,
