,Elo
Liverpool,1993
Arsenal,1993
Paris SG,1975
Man City,1960
Barcelona,1945
Real Madrid,1936
Inter,1933
Bayern,1919
Chelsea,1903
Aston Villa,1873
Newcastle,1869
Atlético,1855
Leverkusen,1849
Atalanta,1842
Napoli,1838
Crystal Palace,1835
Brighton,1827
Roma,1820
Dortmund,1818
Brentford,1811
Bournemouth,1808
Juventus,1806
Forest,1803
Man United,1799
PSV,1797
Everton,1794
Benfica,1791
Bilbao,1789
Sporting,1789
Milan,1787
Villarreal,1786
Lille,1782
Fulham,1782
Tottenham,1774
Lazio,1770
Monaco,1762
Fiorentina,1757
Marseille,1757
Bologna,1751
West Ham,1750
Brugge,1747
Frankfurt,1746
Lyon,1745
Betis,1742
Feyenoord,1738
Wolves,1736
St Gillis,1731
Burnley,1730
Leeds,1722
Nice,1721
Stuttgart,1719
RB Leipzig,1716
Strasbourg,1707
Mainz,1706
Galatasaray,1701
Osasuna,1697
Slavia Praha,1695
Lens,1693
Celta,1689
Freiburg,1684
Valencia,1679
Brest,1679
Porto,1678
Werder,1677
Torino,1675
Fenerbahçe,1674
Ολυμπιακός,1670
Real Sociedad,1667
Genoa,1664
Ajax,1664
Rennes,1663
Celtic,1662
Rayo Vallecano,1658
Зенит,1655
Toulouse,1654
Braga,1651
Como,1648
Wolfsburg,1646
Alavés,1644
Mallorca,1641
Sevilla,1637
Girona,1637
Genk,1635
Espanyol,1635
Gladbach,1632
Auxerre,1629
Alkmaar,1626
Getafe,1626
Sheffield United,1622
FC København,1622
Udinese,1620
Augsburg,1619
Leicester,1619
Union Berlin,1617
Bodø/Glimt,1617
Viktoria Plzeň,1617
Краснодар,1614
Levante,1610
Hoffenheim,1606
