Rank,Club / Country,Club,Country,ELO
1,Paris Saint-GermainFrance,Paris Saint-Germain,France,2054
2,Bayern MunchenGermany,Bayern Munchen,Germany,1984
3,BarcelonaSpain,Barcelona,Spain,1973
4,Liverpool FCEngland,Liverpool FC,England,1959
5,ArsenalEngland,Arsenal,England,1954
6,Inter MilanItaly,Inter Milan,Italy,1947
7,Real MadridSpain,Real Madrid,Spain,1936
8,Manchester CityEngland,Manchester City,England,1912
9,Borussia DortmundGermany,Borussia Dortmund,Germany,1887
10,Atletico MadridSpain,Atletico Madrid,Spain,1872
11,Aston VillaEngland,Aston Villa,England,1871
12,Chelsea FCEngland,Chelsea FC,England,1853
13,SSC NapoliItaly,SSC Napoli,Italy,1849
14,AS RomaItaly,AS Roma,Italy,1846
15,Bayer LeverkusenGermany,Bayer Leverkusen,Germany,1841
16,AtalantaItaly,Atalanta,Italy,1838
17,BenficaPortugal,Benfica,Portugal,1825
18,PSV EindhovenNetherlands,PSV Eindhoven,Netherlands,1823
19,VillarrealSpain,Villarreal,Spain,1820
20,SportingPortugal,Sporting,Portugal,1812
21,Newcastle UnitedEngland,Newcastle United,England,1805
22,JuventusItaly,Juventus,Italy,1796
23,Crystal PalaceEngland,Crystal Palace,England,1794
24,PalmeirasBrazil,Palmeiras,Brazil,1793
25,Brighton & Hove AlbionEngland,Brighton & Hove Albion,England,1785
26,AC MilanItaly,AC Milan,Italy,1777
27,FlamengoBrazil,Flamengo,Brazil,1772
28,Athletic BilbaoSpain,Athletic Bilbao,Spain,1770
29,GalatasarayTurkey,Galatasaray,Turkey,1769
30,Eintracht FrankfurtGermany,Eintracht Frankfurt,Germany,1766
31,LazioItaly,Lazio,Italy,1758
32,FeyenoordNetherlands,Feyenoord,Netherlands,1753
33,Slavia PragueCzech Republic,Slavia Prague,Czech Republic,1749
34,FiorentinaItaly,Fiorentina,Italy,1749
35,Brentford FCEngland,Brentford FC,England,1748
36,OlympiakosGreece,Olympiakos,Greece,1746
37,AFC BournemouthEngland,AFC Bournemouth,England,1746
38,LilleFrance,Lille,France,1743
39,Nottingham ForestEngland,Nottingham Forest,England,1743
40,Everton FCEngland,Everton FC,England,1735
41,Real BetisSpain,Real Betis,Spain,1733
42,Racing ClubArgentina,Racing Club,Argentina,1731
43,FenerbahçeTurkey,Fenerbahçe,Turkey,1730
44,Club BruggeBelgium,Club Brugge,Belgium,1730
45,AS MonacoFrance,AS Monaco,France,1729
46,Union St.GilloiseBelgium,Union St.Gilloise,Belgium,1723
47,FC PortoPortugal,FC Porto,Portugal,1722
48,FK Red Star BelgradeSerbia,FK Red Star Belgrade,Serbia,1720
49,BolognaItaly,Bologna,Italy,1719
50,CelticScotland,Celtic,Scotland,1719
51,River PlateArgentina,River Plate,Argentina,1716
52,Mainz 05Germany,Mainz 05,Germany,1715
53,VfB StuttgartGermany,VfB Stuttgart,Germany,1715
54,LyonFrance,Lyon,France,1713
55,Al AhlyEgypt,Al Ahly,Egypt,1712
56,Manchester UnitedEngland,Manchester United,England,1709
57,MarseilleFrance,Marseille,France,1706
58,Botafogo FRBrazil,Botafogo FR,Brazil,1702
59,OsasunaSpain,Osasuna,Spain,1701
60,FulhamEngland,Fulham,England,1696
61,RB LeipzigGermany,RB Leipzig,Germany,1694
62,NiceFrance,Nice,France,1692
63,Celta VigoSpain,Celta Vigo,Spain,1687
64,Werder BremenGermany,Werder Bremen,Germany,1686
65,Ajax AmsterdamNetherlands,Ajax Amsterdam,Netherlands,1686
66,Zenit St. PetersburgRussia,Zenit St. Petersburg,Russia,1685
67,Al HilalSaudi Arabia,Al Hilal,Saudi Arabia,1684
68,The New SaintsWales,The New Saints,Wales,1683
69,Flora TallinnEstonia,Flora Tallinn,Estonia,1681
70,Cruz AzulMexico,Cruz Azul,Mexico,1681
71,Fluminense FCBrazil,Fluminense FC,Brazil,1677
72,Tottenham HotspurEngland,Tottenham Hotspur,England,1676
73,FreiburgGermany,Freiburg,Germany,1675
74,BragaPortugal,Braga,Portugal,1672
75,ValenciaSpain,Valencia,Spain,1670
76,CorinthiansBrazil,Corinthians,Brazil,1666
77,RC StrasbourgFrance,RC Strasbourg,France,1665
78,FCI Levadia TallinnEstonia,FCI Levadia Tallinn,Estonia,1663
79,PFC Ludogorets 1945 RazgradBulgaria,PFC Ludogorets 1945 Razgrad,Bulgaria,1661
80,Como 1907Italy,Como 1907,Italy,1658
81,Viktoria PlzeňCzech Republic,Viktoria Plzeň,Czech Republic,1657
82,InternacionalBrazil,Internacional,Brazil,1656
83,São PauloBrazil,São Paulo,Brazil,1653
84,Shakhtar DonetskUkraine,Shakhtar Donetsk,Ukraine,1651
85,West Ham UnitedEngland,West Ham United,England,1651
86,Toluca FCMexico,Toluca FC,Mexico,1649
87,Red Bull Bragantino SPBrazil,Red Bull Bragantino SP,Brazil,1647
88,Dinamo ZagrebCroatia,Dinamo Zagreb,Croatia,1647
89,CruzeiroBrazil,Cruzeiro,Brazil,1647
90,AméricaMexico,América,Mexico,1647
91,Wolverhampton WanderersEngland,Wolverhampton Wanderers,England,1645
92,Rayo VallecanoSpain,Rayo Vallecano,Spain,1645
93,PeñarolUruguay,Peñarol,Uruguay,1644
94,AZ AlkmaarNetherlands,AZ Alkmaar,Netherlands,1644
95,RangersScotland,Rangers,Scotland,1643
96,Boca JuniorsArgentina,Boca Juniors,Argentina,1643
97,Dynamo KyivUkraine,Dynamo Kyiv,Ukraine,1642
98,Mamelodi Sundowns FCSouth Africa,Mamelodi Sundowns FC,South Africa,1641
99,IndependienteEcuador,Independiente,Ecuador,1640
100,Pyramids FCEgypt,Pyramids FC,Egypt,1640
101,Maccabi Tel AvivIsrael,Maccabi Tel Aviv,Israel,1635
102,Esperance de TunisTunisia,Esperance de Tunis,Tunisia,1634
103,GenoaItaly,Genoa,Italy,1632
104,Al NassrSaudi Arabia,Al Nassr,Saudi Arabia,1631
105,Zrinjski MostarBosnia and Herzegovina,Zrinjski MostarBosnia and,Herzegovina,1631
106,LensFrance,Lens,France,1629
107,Rosario CentralArgentina,Rosario Central,Argentina,1629
108,IndependienteArgentina,Independiente,Argentina,1627
109,PAOK FCGreece,PAOK FC,Greece,1625
110,BrestFrance,Brest,France,1624
111,LDU de QuitoEcuador,LDU de Quito,Ecuador,1624
112,HuracánArgentina,Huracán,Argentina,1623
113,WolfsburgGermany,Wolfsburg,Germany,1622
114,Deportivo AlavesSpain,Deportivo Alaves,Spain,1621
