name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Bramlett, Joseph","Castillo, Ricky",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,+106,+2138
"Champ, Cameron","Young, Carson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+124,+2161
"Grillo, Emiliano","Thorbjornsen, Michael",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+128,-108,+2234
"Hoey, Rico","Whaley, Vince",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-138,+115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,+115,+2188
"Hossler, Beau","Fishburn, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,+116,+2213
"Hossler, Beau","Fishburn, Patrick",void,72-hole match,-120,-110,null,-118,-104,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-107,+107,null
"List, Luke","Kanaya, Takumi",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-100,+2137
"Kim, Chan","Ayora, Angel",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+109,+2079
"Ventura, Kris","Koivun, Jackson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+152,-127,+2190
"Ventura, Kris","Koivun, Jackson",void,72-hole match,+116,-146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-144,null,null,null,null,null,null,null,+141,-141,null
