player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Thorbjornsen, Michael",150,0.459,0.000,23,0.039,0.017,0.190,0.140,-0.040,0.000,0.000,0.000,0.000,0.804,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Roy, Kevin",150,0.539,0.000,35,-0.012,-0.016,0.100,0.017,-0.040,0.000,0.000,0.000,0.000,0.589,2.757,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Grillo, Emiliano",150,0.560,0.000,32,-0.001,-0.022,0.105,-0.018,-0.040,0.000,0.000,0.000,0.000,0.585,2.786,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Hoey, Rico",150,0.217,0.000,29,0.012,0.029,0.040,0.321,-0.040,0.000,0.000,0.000,0.000,0.579,2.828,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Koivun, Jackson",150,0.305,0.000,20,0.055,0.028,0.210,-0.041,-0.040,0.000,0.000,0.000,0.000,0.517,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Whaley, Vince",150,0.443,0.000,30,0.010,-0.016,0.048,0.052,-0.040,0.000,0.000,0.000,0.000,0.497,2.745,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Hubbard, Mark",150,0.481,0.000,36,-0.015,-0.044,0.093,-0.038,-0.040,0.000,0.000,0.000,0.000,0.437,2.769,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Hossler, Beau",150,0.178,0.000,30,0.010,-0.020,0.096,0.015,-0.040,0.000,0.000,0.000,0.000,0.239,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Fishburn, Patrick",150,0.118,0.000,32,-0.001,0.022,0.032,0.026,-0.040,0.000,0.000,0.000,0.000,0.157,2.766,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Champ, Cameron",150,-0.187,0.000,30,0.011,0.003,0.162,0.110,-0.040,0.000,0.000,0.000,0.000,0.060,2.774,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Ventura, Kris",150,-0.018,0.000,30,0.010,0.018,0.082,-0.009,-0.040,0.000,0.000,0.000,0.000,0.043,2.808,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Kanaya, Takumi",150,-0.032,0.000,27,0.024,0.035,0.017,0.022,-0.040,0.000,0.000,0.000,0.000,0.026,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Power, Seamus",150,0.115,0.000,38,-0.025,-0.011,0.011,-0.028,-0.040,0.000,0.000,0.000,0.000,0.022,2.793,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Fisk, Steven",150,-0.132,0.000,28,0.019,0.035,-0.020,0.149,-0.040,0.000,0.000,0.000,0.000,0.012,2.753,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Ryder, Sam",150,0.105,0.000,35,-0.013,-0.048,0.013,-0.017,-0.040,0.000,0.000,0.000,0.000,0.000,2.799,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Cummins, Quade",150,0.045,0.000,29,0.014,0.017,0.026,-0.079,-0.040,0.000,0.000,0.000,0.000,-0.017,2.751,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Phillips, Chandler",150,0.037,0.000,28,0.018,0.020,0.020,-0.122,-0.040,0.000,0.000,0.000,0.000,-0.067,2.776,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Ayora, Angel",150,-0.226,-0.090,20,0.052,0.050,0.033,0.146,-0.040,0.000,0.000,0.000,0.000,-0.075,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Kim, Chan",150,-0.058,0.000,35,-0.012,0.000,-0.015,0.044,-0.040,0.000,0.000,0.000,0.000,-0.081,2.807,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Svensson, Adam",150,-0.266,0.000,31,0.005,-0.034,0.073,0.174,-0.040,0.000,0.000,0.000,0.000,-0.088,2.766,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Springer, Hayden",150,-0.187,0.000,28,0.018,0.053,0.031,0.022,-0.040,0.000,0.000,0.000,0.000,-0.103,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Young, Carson",150,-0.077,0.000,30,0.008,0.005,0.053,-0.054,-0.040,0.000,0.000,0.000,0.000,-0.105,2.788,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Castillo, Ricky",150,-0.200,0.000,24,0.036,-0.024,-0.032,0.152,-0.040,0.000,0.000,0.000,0.000,-0.108,2.803,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"List, Luke",150,-0.350,0.000,40,-0.034,0.032,0.079,0.173,-0.040,0.000,0.000,0.000,0.000,-0.141,2.736,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Bramlett, Joseph",150,-0.216,0.000,37,-0.020,-0.054,0.020,0.156,-0.040,0.000,0.000,0.000,0.000,-0.154,2.724,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Kim, S.H.",150,-0.043,0.000,26,0.026,-0.002,-0.104,-0.003,-0.040,0.000,0.000,0.000,0.000,-0.167,2.829,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Paul, Jeremy",150,-0.247,0.000,31,0.006,0.038,0.058,-0.000,-0.040,0.000,0.000,0.000,0.000,-0.185,2.763,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
"Sigg, Greyson",150,-0.275,0.000,30,0.010,0.026,-0.004,0.097,-0.040,0.000,0.000,0.000,0.000,-0.187,2.738,"ISCO Championship","Hurstbourne Country Club (Championship Course)"
