player_name,dg_id,dg_pred,my_pred,import_advice
michael thorbjornsen,26649,0.804,null,1) import file must include at least one of player_name or dg_id columns
kevin roy,18424,0.589,null,2) import file must include my_pred column
emiliano grillo,12808,0.585,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
rico hoey,23504,0.579,null,
jackson koivun,32319,0.517,null,
vince whaley,25908,0.497,null,
mark hubbard,16333,0.437,null,
beau hossler,15470,0.239,null,
patrick fishburn,25094,0.157,null,
cameron champ,23542,0.06,null,
kris ventura,15651,0.043,null,
takumi kanaya,19729,0.026,null,
seamus power,10104,0.022,null,
steven fisk,26657,0.012,null,
sam ryder,16715,0,null,
quade cummins,27996,-0.017,null,
chandler phillips,27164,-0.067,null,
angel ayora,30445,-0.075,null,
chan kim,15004,-0.081,null,
adam svensson,13997,-0.088,null,
hayden springer,21995,-0.103,null,
carson young,23656,-0.105,null,
ricky castillo,27819,-0.108,null,
luke list,7960,-0.141,null,
joseph bramlett,14698,-0.154,null,
s.h. kim,21688,-0.167,null,
jeremy paul,22087,-0.185,null,
greyson sigg,23482,-0.187,null,
william mouw,29770,-0.217,null,
thomas rosenmueller,22736,-0.236,null,
mac meissner,28159,-0.276,null,
ben kohles,16395,-0.3,null,
kazuma kobori,24369,-0.308,null,
dylan wu,25002,-0.319,null,
adam hadwin,13965,-0.344,null,
will gordon,26660,-0.346,null,
lanto griffin,15330,-0.351,null,
chad ramey,19840,-0.352,null,
jackson suber,29279,-0.368,null,
wenyi ding,26193,-0.375,null,
justin lower,17723,-0.398,null,
brice garnett,11451,-0.406,null,
adam schenk,19477,-0.448,null,
nick hardy,19865,-0.464,null,
marcus armitage,17813,-0.473,null,
taylor montgomery,25442,-0.517,null,
noah goodwin,24837,-0.529,null,
trevor cone,21880,-0.54,null,
brandon robinson-thompson,24497,-0.548,null,
zac blair,17639,-0.548,null,
martin laird,9586,-0.557,null,
jacob skov olesen,25611,-0.563,null,
david lipsky,15980,-0.569,null,
fabrizio zanotti,9842,-0.572,null,
john pak,27820,-0.589,null,
harry higgs,14140,-0.596,null,
davis bryant,32550,-0.602,null,
ben martin,14007,-0.61,null,
ben silverman,17381,-0.612,null,
david skinns,10873,-0.618,null,
ivan cantero gutierrez,19635,-0.646,null,
andrea pavan,12177,-0.671,null,
miles russell,32064,-0.717,null,
kiradech aphibarnrat,12321,-0.734,null,
patton kizzire,13470,-0.735,null,
s.y. noh,11117,-0.739,null,
andreas halvorsen,17747,-0.761,null,
tyler duncan,18187,-0.766,null,
jens dantorp,14018,-0.783,null,
maximilian kieffer,12317,-0.808,null,
scott jamieson,11397,-0.815,null,
paul peterson,16341,-0.824,null,
tim widing,21875,-0.828,null,
ricardo gouveia,18722,-0.836,null,
hayden buckley,25363,-0.854,null,
scott piercy,7899,-0.869,null,
matt nesmith,16433,-0.874,null,
tom vaillant,28157,-0.906,null,
jason scrivener,12734,-0.913,null,
casey jarvis,26947,-0.947,null,
taylor dickson,27420,-0.97,null,
manuel elvira,26008,-0.988,null,
kevin velo,27762,-1.01,null,
josh teater,8085,-1.012,null,
matthew riedel,30892,-1.014,null,
callum shinkwin,18244,-1.018,null,
marcus kinhult,18514,-1.02,null,
rafa cabrera bello,7457,-1.041,null,
jack senior,15115,-1.045,null,
