name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Hossler, Beau","Phillips, Chandler",void,r1 match-up,null,null,null,null,null,null,-130,+100,null,null,null,null,-125,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-116,+116,null
"Svensson, Adam","Ayora, Angel",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Ventura, Kris","Fisk, Steven",void,r1 match-up,null,null,null,null,null,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Hoey, Rico","Champ, Cameron",void,r1 match-up,null,null,null,null,null,null,-125,+100,null,null,null,null,-140,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-126,+126,null
"Power, Seamus","Cummins, Quade",void,r1 match-up,null,null,null,null,null,null,-120,-105,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Whaley, Vince","Koivun, Jackson",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Paul, Jeremy","Castillo, Ricky",void,r1 match-up,null,null,null,null,null,null,+100,-125,null,null,null,null,-105,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Kim, S.H.","Young, Carson",void,r1 match-up,null,null,null,null,null,null,-115,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Roy, Kevin","Thorbjornsen, Michael",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Bramlett, Joseph","Kim, Chan",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Hubbard, Mark","Ryder, Sam",void,r1 match-up,null,null,null,null,null,null,-130,+105,null,null,null,null,-140,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-122,+122,null
"Grillo, Emiliano","Fishburn, Patrick",void,r1 match-up,null,null,null,null,null,null,-140,+110,null,null,null,null,-140,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-123,+123,null
