player_name,dg_id,proj,my_proj,import_advice
jordan smith,18586,80,null,1) import file must include at least one of player_name or dg_id columns
ewen ferguson,21646,78.2,null,2) import file must include my_proj column
jayden schaper,26991,74.3,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
francesco laporta,14987,75.1,null,
marco penge,22465,71.8,null,
martin couvra,27811,70,null,
eugenio chacarra,26745,73,null,
kristoffer reitan,21407,71.7,null,
keita nakajima,21074,74.7,null,
angel ayora,30445,70.2,null,
john parry,13764,71.2,null,
alex fitzpatrick,25362,67.2,null,
jorge campillo,14016,66.2,null,
andy sullivan,15326,67,null,
nicolai von dellingshausen,22231,67.3,null,
frederic lacroix,23733,67.2,null,
brandon stone,15229,65.9,null,
oliver lindell,20085,67.2,null,
wenyi ding,26193,66.2,null,
shaun norris,7677,65.3,null,
daniel hillier,21362,64.4,null,
sean crocker,23610,66.8,null,
richard mansell,24185,64.9,null,
adrien saddier,14792,65.6,null,
john catlin,18524,65.1,null,
jacob skov olesen,25611,64,null,
edoardo molinari,7033,65.5,null,
romain langasque,16652,61.9,null,
brandon robinson-thompson,24497,61.9,null,
fabrizio zanotti,9842,65.7,null,
marcel schneider,12522,65.4,null,
marcel siem,6950,64.1,null,
sebastian soderberg,18517,61.7,null,
marcus armitage,17813,63.2,null,
todd clements,22608,62.2,null,
dan bradbury,29971,60.3,null,
guido migliozzi,17357,59.9,null,
yuto katsuragawa,20448,62.8,null,
ignacio elvira mijares,12988,59.9,null,
andrea pavan,12177,59.2,null,
kiradech aphibarnrat,12321,59.2,null,
alejandro del rey,22259,58.1,null,
richie ramsay,11396,61,null,
darius van driel,13374,59.8,null,
yannik paul,19898,58.9,null,
grant forrest,16475,57.5,null,
calum hill,25131,57,null,
kazuma kobori,24369,61.4,null,
jason scrivener,12734,60.3,null,
jeff winther,15680,60,null,
bernd wiesberger,9531,59.4,null,
david ravetto,23416,59.2,null,
ugo coussaud,20727,58.6,null,
adrian otaegui,14975,60.3,null,
ricardo gouveia,18722,59.1,null,
niklas lemke,10418,58.5,null,
joe dean,16497,56.1,null,
gavin green,12530,55.4,null,
wilco nienaber,25889,55.3,null,
maximilian kieffer,12317,59.1,null,
tom vaillant,28157,58.3,null,
jack senior,15115,57.1,null,
manuel elvira,26008,56.6,null,
callum shinkwin,18244,56.3,null,
ivan cantero gutierrez,19635,56.1,null,
elvis smylie,24200,54.6,null,
andrew wilson,25588,57.7,null,
troy merritt,13367,57.1,null,
scott jamieson,11397,56.2,null,
pablo larrazabal,9133,55,null,
joakim lagergren,14780,52.9,null,
david micheluzzi,19224,52.6,null,
renato paratore,16549,50.5,null,
conor purcell,25963,57.5,null,
aaron cockerill,15596,56.8,null,
jens dantorp,14018,56.2,null,
angel hidalgo,24127,56.2,null,
andreas halvorsen,17747,54.8,null,
brandon wu,25213,53.8,null,
robin williams,24093,53.8,null,
gregorio de leo,26506,52.8,null,
ben schmidt,27258,56.6,null,
benjamin hebert,12213,56.5,null,
stefano mazzoli,20844,53.3,null,
freddy schott,27588,52.8,null,
hamish brown,22168,51.5,null,
kevin chappell,13305,50,null,
lucas bjerregaard,11619,48.9,null,
filippo celli,23549,47.7,null,
davis bryant,32550,54,null,
marcus kinhult,18514,53.6,null,
darren fichardt,5754,53.3,null,
simon forsstrom,19806,52.2,null,
shubhankar sharma,17081,51.7,null,
nicolas colsaerts,6893,51,null,
tapio pulkkanen,13139,50.6,null,
rafa cabrera bello,7457,49.2,null,
zander lombard,16897,45.8,null,
hiroshi iwata,9099,52.8,null,
jordan gumberg,23892,52.2,null,
clement sordet,17718,49.6,null,
albert boneta,29948,49.3,null,
ryggs johnston,32449,47.9,null,
richard sterne,7049,47.7,null,
wil besseling,9413,47,null,
alfredo garcia-heredia,7887,45.7,null,
flavio michetti,25656,36.9,null,
joel girrbach,15592,50.4,null,
thomas aiken,7679,49.7,null,
alexander levy,14973,47.3,null,
jannik de bruyn,23112,47,null,
joel moscatel,27815,46.1,null,
mikael lindberg,20084,45,null,
matthew baldwin,13344,44.7,null,
jeong weon ko,26213,44.4,null,
pierre pineau,20900,43.8,null,
tadeáš tetak,27808,47.9,null,
ryan van velzen,27960,47.6,null,
jacopo vecchi fossa,17362,47.4,null,
veer ahlawat,22897,47.3,null,
deon germishuys,25888,46.9,null,
lorenzo scalise,20846,44.9,null,
dale whitnell,13821,44.5,null,
ross fisher,9396,42,null,
julien brun,16363,40.7,null,
danny list,24170,39.7,null,
corey shaun,24599,44.5,null,
dan erickson,29520,44.5,null,
zihao jin,31187,44.2,null,
rikard karlberg,9398,42,null,
sam hutsby,11104,41.9,null,
daniel gale,19212,41.4,null,
justin harding,10886,39.8,null,
benjamin follet-smith,15211,39.7,null,
louis albertse,24341,38.8,null,
brett coletta,18177,36.5,null,
alexander george frances,25183,40.8,null,
bjorn akesson,11530,39.5,null,
matthias schwab,15016,39.5,null,
ross mcgowan,11981,39.2,null,
michele ortolani,20845,38.9,null,
aron zemmer,15952,38.2,null,
alexander knappe,12318,37.6,null,
michael hirmer,20713,34.7,null,
luca memeo,29444,33.8,null,
lucas fallotico,27784,30,null,
jean bekirian,25626,37.3,null,
bastien amat,28592,36.9,null,
andrea romano,22789,34.5,null,
neil schietekat,11980,34.4,null,
gonzalo fdez-castano,8262,32.8,null,
mafredi manica,23990,32.7,null,
enrico di nitto,17652,32.3,null,
martin trainer,15634,27.1,null,
luca cianchetti,20843,26.9,null,
erik barnes,14799,21.1,null,
