player_name,dg_id,dg_pred,my_pred,import_advice
jordan smith,18586,0.479,null,1) import file must include at least one of player_name or dg_id columns
ewen ferguson,21646,0.391,null,2) import file must include my_pred column
francesco laporta,14987,0.203,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
jayden schaper,26991,0.185,null,
keita nakajima,21074,0.127,null,
eugenio chacarra,26745,0.096,null,
kristoffer reitan,21407,0.018,null,
john parry,13764,0.018,null,
marco penge,22465,-0.007,null,
angel ayora,30445,-0.065,null,
martin couvra,27811,-0.072,null,
oliver lindell,20085,-0.253,null,
nicolai von dellingshausen,22231,-0.257,null,
andy sullivan,15326,-0.258,null,
frederic lacroix,23733,-0.273,null,
brandon stone,15229,-0.276,null,
alex fitzpatrick,25362,-0.281,null,
wenyi ding,26193,-0.292,null,
adrien saddier,14792,-0.316,null,
sean crocker,23610,-0.328,null,
jorge campillo,14016,-0.334,null,
edoardo molinari,7033,-0.351,null,
fabrizio zanotti,9842,-0.36,null,
shaun norris,7677,-0.372,null,
marcel schneider,12522,-0.372,null,
john catlin,18524,-0.4,null,
daniel hillier,21362,-0.403,null,
richard mansell,24185,-0.416,null,
jacob skov olesen,25611,-0.461,null,
marcel siem,6950,-0.483,null,
marcus armitage,17813,-0.503,null,
romain langasque,16652,-0.541,null,
yuto katsuragawa,20448,-0.565,null,
richie ramsay,11396,-0.565,null,
todd clements,22608,-0.568,null,
brandon robinson-thompson,24497,-0.587,null,
sebastian soderberg,18517,-0.601,null,
adrian otaegui,14975,-0.637,null,
kazuma kobori,24369,-0.645,null,
ignacio elvira mijares,12988,-0.652,null,
jason scrivener,12734,-0.656,null,
darius van driel,13374,-0.676,null,
bernd wiesberger,9531,-0.679,null,
dan bradbury,29971,-0.686,null,
guido migliozzi,17357,-0.712,null,
jeff winther,15680,-0.714,null,
andrea pavan,12177,-0.715,null,
yannik paul,19898,-0.74,null,
david ravetto,23416,-0.747,null,
maximilian kieffer,12317,-0.753,null,
ricardo gouveia,18722,-0.765,null,
kiradech aphibarnrat,12321,-0.773,null,
niklas lemke,10418,-0.783,null,
ugo coussaud,20727,-0.796,null,
tom vaillant,28157,-0.825,null,
alejandro del rey,22259,-0.826,null,
andrew wilson,25588,-0.832,null,
conor purcell,25963,-0.849,null,
jack senior,15115,-0.856,null,
grant forrest,16475,-0.856,null,
aaron cockerill,15596,-0.866,null,
calum hill,25131,-0.878,null,
manuel elvira,26008,-0.921,null,
troy merritt,13367,-0.924,null,
jens dantorp,14018,-0.928,null,
callum shinkwin,18244,-0.931,null,
ben schmidt,27258,-0.932,null,
benjamin hebert,12213,-0.939,null,
ivan cantero gutierrez,19635,-0.952,null,
angel hidalgo,24127,-0.952,null,
scott jamieson,11397,-0.954,null,
joe dean,16497,-0.963,null,
gavin green,12530,-0.976,null,
wilco nienaber,25889,-1.036,null,
pablo larrazabal,9133,-1.042,null,
brandon wu,25213,-1.045,null,
andreas halvorsen,17747,-1.061,null,
elvis smylie,24200,-1.095,null,
davis bryant,32550,-1.121,null,
marcus kinhult,18514,-1.128,null,
robin williams,24093,-1.139,null,
stefano mazzoli,20844,-1.161,null,
gregorio de leo,26506,-1.177,null,
freddy schott,27588,-1.186,null,
hiroshi iwata,9099,-1.207,null,
darren fichardt,5754,-1.207,null,
joakim lagergren,14780,-1.211,null,
david micheluzzi,19224,-1.219,null,
jordan gumberg,23892,-1.226,null,
simon forsstrom,19806,-1.228,null,
hamish brown,22168,-1.287,null,
shubhankar sharma,17081,-1.305,null,
nicolas colsaerts,6893,-1.352,null,
tapio pulkkanen,13139,-1.356,null,
clement sordet,17718,-1.377,null,
kevin chappell,13305,-1.382,null,
joel girrbach,15592,-1.382,null,
thomas aiken,7679,-1.385,null,
renato paratore,16549,-1.389,null,
rafa cabrera bello,7457,-1.434,null,
albert boneta,29948,-1.443,null,
lucas bjerregaard,11619,-1.468,null,
richard sterne,7049,-1.546,null,
tadeáš tetak,27808,-1.549,null,
ryggs johnston,32449,-1.569,null,
filippo celli,23549,-1.578,null,
jacopo vecchi fossa,17362,-1.596,null,
alexander levy,14973,-1.596,null,
veer ahlawat,22897,-1.61,null,
ryan van velzen,27960,-1.62,null,
deon germishuys,25888,-1.632,null,
jannik de bruyn,23112,-1.636,null,
wil besseling,9413,-1.638,null,
alfredo garcia-heredia,7887,-1.705,null,
joel moscatel,27815,-1.714,null,
zander lombard,16897,-1.768,null,
lorenzo scalise,20846,-1.821,null,
matthew baldwin,13344,-1.825,null,
zihao jin,31187,-1.826,null,
jeong weon ko,26213,-1.826,null,
dale whitnell,13821,-1.839,null,
corey shaun,24599,-1.849,null,
dan erickson,29520,-1.861,null,
mikael lindberg,20084,-1.861,null,
pierre pineau,20900,-1.897,null,
ross fisher,9396,-2.039,null,
rikard karlberg,9398,-2.061,null,
sam hutsby,11104,-2.066,null,
julien brun,16363,-2.108,null,
daniel gale,19212,-2.13,null,
alexander george frances,25183,-2.186,null,
bjorn akesson,11530,-2.258,null,
benjamin follet-smith,15211,-2.26,null,
danny list,24170,-2.262,null,
justin harding,10886,-2.283,null,
matthias schwab,15016,-2.319,null,
michele ortolani,20845,-2.339,null,
louis albertse,24341,-2.366,null,
aron zemmer,15952,-2.396,null,
ross mcgowan,11981,-2.413,null,
jean bekirian,25626,-2.516,null,
alexander knappe,12318,-2.523,null,
bastien amat,28592,-2.526,null,
flavio michetti,25656,-2.553,null,
brett coletta,18177,-2.647,null,
michael hirmer,20713,-2.807,null,
andrea romano,22789,-2.83,null,
neil schietekat,11980,-2.869,null,
luca memeo,29444,-2.896,null,
mafredi manica,23990,-3.03,null,
enrico di nitto,17652,-3.055,null,
gonzalo fdez-castano,8262,-3.094,null,
lucas fallotico,27784,-3.43,null,
luca cianchetti,20843,-3.878,null,
martin trainer,15634,-3.885,null,
erik barnes,14799,-5.163,null,
