name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"McCarthy, Denny","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+115,-138,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+184,-152,+2161
"McCarthy, Denny","Griffin, Ben",void,72-hole match,+139,-175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-155,null,+137,-165,null,null,null,null,null,null,null,+171,-171,null
"Mitchell, Keith","Stevens, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+130,-108,+2099
"Mitchell, Keith","Stevens, Sam",void,72-hole match,+114,-144,null,+105,-128,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-130,null,null,null,null,null,null,null,null,null,null,+120,-120,null
"Kim, Si Woo","Im, Sungjae",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,+134,+2108
"Kim, Si Woo","Im, Sungjae",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-123,+123,null
"Day, Jason","Poston, J.T.",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-134,+110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,+115,+2076
"Day, Jason","Poston, J.T.",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Glover, Lucas","Kirk, Chris",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,+114,+2086
"Glover, Lucas","Kirk, Chris",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,-104,+104,null
