player_name,dg_id,proj,my_proj,import_advice
jason day,9771,76.9,null,1) import file must include at least one of player_name or dg_id columns
ben griffin,24968,86.6,null,2) import file must include my_proj column
j.t. poston,21554,75.3,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
denny mccarthy,19870,72.7,null,
si woo kim,14609,76.7,null,
davis thompson,27364,77.1,null,
jake knapp,19396,69.8,null,
chris gotterup,27774,73.6,null,
sungjae im,17488,70.4,null,
michael thorbjornsen,26649,73.2,null,
lucas glover,7399,72.4,null,
chris kirk,12423,72.2,null,
kevin yu,17881,72.9,null,
luke clanton,32330,68.1,null,
bud cauley,14502,71.4,null,
ryan gerard,29767,76.2,null,
pierceson coody,28309,71.5,null,
sam stevens,25569,71.3,null,
michael kim,17543,72.4,null,
thorbjorn olesen,13412,68.5,null,
rickie fowler,12965,66.9,null,
alex smalley,18474,71.5,null,
aldrich potgieter,27900,61.6,null,
keith mitchell,17365,67.5,null,
nico echavarria,22833,65.9,null,
mark hubbard,16333,69.8,null,
kurt kitayama,21891,67.6,null,
andrew putnam,14704,65.7,null,
christiaan bezuidenhout,18103,65.5,null,
stephan jaeger,16394,63.5,null,
emiliano grillo,12808,68.2,null,
jacob bridgeman,29433,66.5,null,
victor perez,20730,65.4,null,
taylor moore,21944,64.7,null,
ryo hisatsune,22760,67.5,null,
kevin roy,18424,67.5,null,
vince whaley,25908,64.8,null,
jesper svensson,26850,64,null,
lee hodges,25157,69.7,null,
rico hoey,23504,67.9,null,
tom kim,24766,63.3,null,
thriston lawrence,18105,61.7,null,
sami valimaki,23816,61,null,
matt mccarty,28635,66.3,null,
doug ghim,24550,65.9,null,
patrick rodgers,16283,63.7,null,
seamus power,10104,62.6,null,
eric cole,21756,60.5,null,
cameron champ,23542,58.7,null,
max mcgreevy,23505,66.1,null,
henrik norlander,11657,63.7,null,
sam ryder,16715,61.2,null,
isaiah salinda,27183,60.7,null,
ricky castillo,27819,59.9,null,
beau hossler,15470,58.9,null,
austin eckroat,26653,62.6,null,
joe highsmith,28469,60.8,null,
chan kim,15004,60.5,null,
patrick fishburn,25094,60.2,null,
matt kuchar,6169,60,null,
chandler phillips,27164,60,null,
max homa,17538,57.1,null,
jackson suber,29279,52.7,null,
steven fisk,26657,61.3,null,
quade cummins,27996,59.8,null,
zach johnson,6986,58.9,null,
chad ramey,19840,58.4,null,
trey mullinax,18761,57.5,null,
hayden springer,21995,56.7,null,
garrick higgo,24342,56.5,null,
joseph bramlett,14698,56.1,null,
jackson koivun,32319,61.8,null,
kris ventura,15651,57.9,null,
luke list,7960,57.3,null,
brice garnett,11451,56.9,null,
adam hadwin,13965,56.5,null,
alejandro tosti,17032,56.3,null,
karl vilips,24304,54.2,null,
adam schenk,19477,53.1,null,
takumi kanaya,19729,61.6,null,
adam svensson,13997,59.4,null,
joel dahmen,14509,58.7,null,
greyson sigg,23482,57.5,null,
carson young,23656,56.7,null,
william mouw,29770,55.9,null,
nick hardy,19865,54.3,null,
trace crowe,27780,52.7,null,
will gordon,26660,55.6,null,
lanto griffin,15330,55.2,null,
mac meissner,28159,54.9,null,
ben silverman,17381,54.5,null,
jeremy paul,22087,53.7,null,
rikuya hoshino,19190,53.7,null,
ben james,29827,52.1,null,
dylan wu,25002,50.2,null,
ben kohles,16395,56.9,null,
thomas rosenmueller,22736,56.7,null,
harry higgs,14140,55.1,null,
noah goodwin,24837,54.6,null,
justin lower,17723,52.8,null,
ben martin,14007,52.2,null,
david skinns,10873,52.1,null,
martin laird,9586,51.9,null,
danny willett,12920,50.3,null,
nate lashley,10943,52.9,null,
john pak,27820,52.5,null,
michael la sasso,33755,52.1,null,
brian campbell,18628,51.2,null,
brendan valdes,31188,51,null,
patton kizzire,13470,50.3,null,
trevor cone,21880,49.9,null,
zac blair,17639,49.1,null,
matt nesmith,16433,48.2,null,
brandt snedeker,8820,52,null,
hayden buckley,25363,51.8,null,
david ford,31343,50.7,null,
kevin velo,27762,49.6,null,
chesson hadley,14967,48.4,null,
taylor montgomery,25442,47,null,
tim widing,21875,45.7,null,
dylan frittelli,11955,43.9,null,
gordon sargent,30814,31.4,null,
josh radcliff,24496,25.4,null,
paul peterson,16341,47.7,null,
paul waring,12426,46.1,null,
matthew riedel,30892,44.3,null,
philip knowles,24562,43.7,null,
peter malnati,14926,43.5,null,
aaron wise,22051,43.1,null,
zack fischer,17273,43.1,null,
nicholas lindheim,16713,41.9,null,
cristobal del solar,17422,40.9,null,
nick dunlap,28270,40.6,null,
david lipsky,15980,46.9,null,
rafael campos,12909,44.6,null,
camilo villegas,9171,43.5,null,
preston summerhays,26746,42.7,null,
harrison endycott,19208,42.5,null,
mason andersen,23540,41.6,null,
will chandler,31212,40.7,null,
braden thornberry,23502,40.7,null,
frankie capan iii,21412,39.5,null,
james hahn,11374,39.4,null,
austin cook,18579,36.2,null,
taylor dickson,27420,45.6,null,
kaito onishi,25263,45,null,
anders albertson,21235,42.4,null,
bronson burgoon,11082,40.8,null,
kevin kisner,11328,40,null,
petr hruby,26710,37.1,null,
ryan palmer,7820,34.7,null,
brandon matthews,22981,29.4,null,
kyle stanley,12069,27.4,null,
carson herron,32819,26.6,null,
jay giannetto,31311,24.5,null,
