player_name,dg_id,my_pred,import_advice
ben griffin,24968,null,1) import file must include at least one of player_name or dg_id columns
davis thompson,27364,null,2) import file must include my_pred column
jason day,9771,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
si woo kim,14609,null,
ryan gerard,29767,null,
j.t. poston,21554,null,
kevin yu,17881,null,
michael thorbjornsen,26649,null,
chris gotterup,27774,null,
lucas glover,7399,null,
denny mccarthy,19870,null,
michael kim,17543,null,
chris kirk,12423,null,
sam stevens,25569,null,
pierceson coody,28309,null,
bud cauley,14502,null,
alex smalley,18474,null,
sungjae im,17488,null,
mark hubbard,16333,null,
lee hodges,25157,null,
thorbjorn olesen,13412,null,
jake knapp,19396,null,
luke clanton,32330,null,
emiliano grillo,12808,null,
keith mitchell,17365,null,
kevin roy,18424,null,
rico hoey,23504,null,
ryo hisatsune,22760,null,
kurt kitayama,21891,null,
doug ghim,24550,null,
rickie fowler,12965,null,
max mcgreevy,23505,null,
matt mccarty,28635,null,
jacob bridgeman,29433,null,
victor perez,20730,null,
andrew putnam,14704,null,
christiaan bezuidenhout,18103,null,
nico echavarria,22833,null,
taylor moore,21944,null,
vince whaley,25908,null,
patrick rodgers,16283,null,
stephan jaeger,16394,null,
jesper svensson,26850,null,
henrik norlander,11657,null,
tom kim,24766,null,
austin eckroat,26653,null,
seamus power,10104,null,
jackson koivun,32319,null,
takumi kanaya,19729,null,
steven fisk,26657,null,
thriston lawrence,18105,null,
sam ryder,16715,null,
aldrich potgieter,27900,null,
sami valimaki,23816,null,
chan kim,15004,null,
patrick fishburn,25094,null,
eric cole,21756,null,
isaiah salinda,27183,null,
matt kuchar,6169,null,
chandler phillips,27164,null,
joe highsmith,28469,null,
quade cummins,27996,null,
adam svensson,13997,null,
ricky castillo,27819,null,
zach johnson,6986,null,
cameron champ,23542,null,
beau hossler,15470,null,
joel dahmen,14509,null,
chad ramey,19840,null,
greyson sigg,23482,null,
kris ventura,15651,null,
luke list,7960,null,
max homa,17538,null,
joseph bramlett,14698,null,
carson young,23656,null,
brice garnett,11451,null,
thomas rosenmueller,22736,null,
ben kohles,16395,null,
trey mullinax,18761,null,
hayden springer,21995,null,
alejandro tosti,17032,null,
adam hadwin,13965,null,
william mouw,29770,null,
garrick higgo,24342,null,
lanto griffin,15330,null,
mac meissner,28159,null,
will gordon,26660,null,
nick hardy,19865,null,
noah goodwin,24837,null,
ben silverman,17381,null,
harry higgs,14140,null,
karl vilips,24304,null,
jeremy paul,22087,null,
nate lashley,10943,null,
rikuya hoshino,19190,null,
justin lower,17723,null,
adam schenk,19477,null,
ben martin,14007,null,
jackson suber,29279,null,
trace crowe,27780,null,
john pak,27820,null,
martin laird,9586,null,
ben james,29827,null,
hayden buckley,25363,null,
brian campbell,18628,null,
brandt snedeker,8820,null,
david skinns,10873,null,
michael la sasso,33755,null,
brendan valdes,31188,null,
dylan wu,25002,null,
scott piercy,7899,null,
danny willett,12920,null,
david ford,31343,null,
trevor cone,21880,null,
zac blair,17639,null,
patton kizzire,13470,null,
kevin velo,27762,null,
chesson hadley,14967,null,
matt nesmith,16433,null,
paul peterson,16341,null,
david lipsky,15980,null,
taylor montgomery,25442,null,
tim widing,21875,null,
paul waring,12426,null,
kaito onishi,25263,null,
taylor dickson,27420,null,
rafael campos,12909,null,
dylan frittelli,11955,null,
matthew riedel,30892,null,
aaron wise,22051,null,
camilo villegas,9171,null,
peter malnati,14926,null,
philip knowles,24562,null,
anders albertson,21235,null,
preston summerhays,26746,null,
harrison endycott,19208,null,
zack fischer,17273,null,
nicholas lindheim,16713,null,
braden thornberry,23502,null,
mason andersen,23540,null,
cristobal del solar,17422,null,
bronson burgoon,11082,null,
will chandler,31212,null,
nick dunlap,28270,null,
kevin kisner,11328,null,
james hahn,11374,null,
frankie capan iii,21412,null,
petr hruby,26710,null,
austin cook,18579,null,
ryan palmer,7820,null,
gordon sargent,30814,null,
brandon matthews,22981,null,
carson herron,32819,null,
kyle stanley,12069,null,
josh radcliff,24496,null,
jay giannetto,31311,null,
