name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Perez, Victor","Bridgeman, Jacob",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Hisatsune, Ryo","Champ, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,-133,+133,null
"Kirk, Chris","McCarthy, Denny",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Mitchell, Keith","Roy, Kevin",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Fowler, Rickie","Stevens, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+118,-118,null
"Kim, Si Woo","Gerard, Ryan",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-106,+106,null
"Grillo, Emiliano","Lawrence, Thriston",void,r1 match-up,null,null,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,-127,+127,null
"Jaeger, Stephan","McCarty, Matt",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Im, Sungjae","Knapp, Jake",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Kim, Michael","Clanton, Luke",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-114,+114,null
"Yu, Kevin","Poston, J.T.",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Gotterup, Chris","Coody, Pierceson",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Glover, Lucas","Cauley, Bud",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Olesen, Thorbjorn","Hodges, Lee",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Smalley, Alex","Echavarria, Nico",void,r1 match-up,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Day, Jason","Griffin, Ben",void,r1 match-up,null,null,null,+112,-136,null,null,null,null,+110,-130,null,null,null,null,null,null,null,null,null,null,+110,-130,null,+113,-135,null,null,null,null,null,null,null,+128,-128,null
"Thorbjornsen, Michael","Thompson, Davis",void,r1 match-up,null,null,null,-102,-119,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+110,-110,null
"Hisatsune, Ryo","Bridgeman, Jacob",void,r1 match-up,null,null,null,-113,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-104,+104,null
"Kim, Si Woo","McCarthy, Denny",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,-111,+111,null
"Ghim, Doug","Whaley, Vince",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-105,+105,null
"Mitchell, Keith","Stevens, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+114,-114,null
"Kirk, Chris","Im, Sungjae",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-102,+102,null
"Grillo, Emiliano","Jaeger, Stephan",void,r1 match-up,null,null,null,-123,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-112,+112,null
"Kim, Michael","Poston, J.T.",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,+100,-122,null,+108,-108,null
"Power, Seamus","Eckroat, Austin",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+101,-101,null
"Yu, Kevin","Knapp, Jake",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-111,+111,null
