name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Li, Haotong","Neergaard-Petersen, Rasmus",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+138,-117,+2281
"Sullivan, Andy","Migliozzi, Guido",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,+118,+2149
"Coussaud, Ugo","Ding, Wenyi",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+137,-115,+2207
"Hillier, Daniel","Mansell, Richard",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,-105,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,+107,+2288
"Hillier, Daniel","Mansell, Richard",void,72-hole match,null,null,null,-107,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Nakajima, Keita","Reitan, Kristoffer",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-134,+110,+1600,null,null,null,-118,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-116,+136,+2378
"Luiten, Joost","Canter, Laurie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,+137,+2423
"Ferguson, Ewen","Chacarra, Eugenio",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,-105,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,+118,+2242
"Ferguson, Ewen","Chacarra, Eugenio",void,72-hole match,null,null,null,-114,-106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-109,+109,null
"Schneider, Marcel","Schaper, Jayden",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,+104,+2336
