player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
rasmus neergaard-petersen,23841,den,0.822,2.927,-364,113,217,402,1587
joost luiten,10158,ned,0.501,2.8523,-291,155,311,592,2619
keita nakajima,21074,jpn,0.394,2.927,-264,167,334,631,2655
haotong li,15310,chn,0.333,2.9863,-253,175,345,645,2598
ewen ferguson,21646,sco,0.209,2.8672,-227,210,429,846,3887
francesco laporta,14987,ita,0.202,2.8971,-228,210,439,858,4108
brandon stone,15229,rsa,0.152,2.9282,-216,222,455,887,4035
jayden schaper,26991,rsa,0.146,2.9003,-216,223,454,899,4368
kristoffer reitan,21407,nor,0.127,2.927,-217,223,462,922,4195
laurie canter,14795,eng,0.125,2.8741,-224,218,450,879,4125
eugenio chacarra,26745,esp,0.049,2.927,-214,230,473,928,4161
sam bairstow,28615,eng,0.037,2.927,-204,239,499,985,4731
wenyi ding,26193,chn,-0.018,2.927,-193,258,530,1066,5210
marcel schneider,12522,ger,-0.036,2.9135,-196,260,542,1077,5136
andrea pavan,12177,ita,-0.087,2.8833,-175,295,628,1291,6726
richard mansell,24185,eng,-0.195,2.9134,-170,314,662,1370,6852
julien guerrier,10201,fra,-0.205,2.9201,-170,317,676,1379,7253
john parry,13764,eng,-0.212,2.8516,-169,335,741,1562,8763
sebastian soderberg,18517,swe,-0.233,2.9184,-164,329,695,1418,7094
daniel hillier,21362,nzl,-0.247,2.927,-172,315,674,1403,6836
angel ayora,30445,esp,-0.249,2.927,-178,307,663,1364,6959
andy sullivan,15326,eng,-0.274,2.9171,-162,340,727,1510,7816
johannes veerman,20522,usa,-0.276,2.9124,-170,321,702,1434,7505
alex fitzpatrick,25362,eng,-0.319,2.927,-151,369,798,1638,8571
fabrizio zanotti,9842,par,-0.358,2.8828,-145,383,850,1788,9704
guido migliozzi,17357,ita,-0.37,2.9165,-148,384,834,1746,8950
sean crocker,23610,usa,-0.405,2.9349,-141,394,856,1782,9469
oliver lindell,20085,fin,-0.405,2.927,-138,413,909,1956,11178
john catlin,18524,usa,-0.436,2.8898,-141,418,941,2008,11573
adrian otaegui,14975,uae,-0.439,2.8558,-140,425,947,2068,11350
marcus armitage,17813,eng,-0.439,2.9048,-139,415,911,1945,10653
jacob skov olesen,25611,den,-0.46,2.927,-139,408,895,1848,9967
ugo coussaud,20727,fra,-0.476,2.927,-137,428,941,1969,10889
jorge campillo,14016,esp,-0.482,2.8973,-142,432,968,2069,11350
brandon robinson-thompson,24497,eng,-0.493,2.927,-133,438,976,2091,11115
todd clements,22608,eng,-0.503,2.927,-132,439,972,2103,11307
jason scrivener,12734,aus,-0.514,2.8698,-133,454,1024,2250,13630
kazuma kobori,24369,nzl,-0.524,2.927,-130,446,992,2114,11221
thriston lawrence,18105,rsa,-0.528,2.9371,-141,431,940,1983,10950
nicolai von dellingshausen,22231,ger,-0.529,2.8838,-140,443,972,2115,11852
scott jamieson,11397,sco,-0.544,2.8996,-131,466,1056,2318,13536
bernd wiesberger,9531,aut,-0.559,2.8455,-128,488,1105,2467,15364
jeff winther,15680,den,-0.562,2.9402,-127,464,1033,2157,11550
nathan kimsey,18027,eng,-0.565,2.927,-127,458,1003,2150,11483
marcus kinhult,18514,swe,-0.571,2.9208,-130,464,1036,2235,11900
marcel siem,6950,ger,-0.583,2.9158,-134,450,1022,2160,12558
tom vaillant,28157,fra,-0.583,2.927,-126,485,1084,2327,12220
yuto katsuragawa,20448,jpn,-0.587,2.927,-122,483,1068,2247,12400
alejandro del rey,22259,esp,-0.598,2.927,-125,485,1080,2288,13116
aaron cockerill,15596,can,-0.62,2.845,-128,501,1175,2616,14975
casey jarvis,26947,rsa,-0.642,2.927,-120,518,1199,2676,14499
daniel brown,20766,eng,-0.654,2.927,-125,494,1110,2443,13985
troy merritt,13367,usa,-0.657,2.9103,-121,506,1146,2423,14534
joe dean,16497,eng,-0.678,2.927,-118,531,1193,2587,15815
niklas lemke,10418,swe,-0.679,2.887,-125,527,1178,2606,15943
maximilian kieffer,12317,ger,-0.685,2.9292,-116,538,1198,2661,15689
yannik paul,19898,ger,-0.687,2.8781,-118,545,1253,2807,16029
calum hill,25131,sco,-0.689,2.9152,-118,541,1241,2704,15815
matthew southgate,15191,eng,-0.693,2.8906,-116,565,1310,2892,18709
darius van driel,13374,ned,-0.693,2.8615,-122,543,1276,2859,18027
callum shinkwin,18244,eng,-0.739,2.9081,-111,565,1275,2815,15444
ben schmidt,27258,eng,-0.788,2.927,-117,575,1332,2911,17651
david ravetto,23416,fra,-0.797,2.927,-103,625,1422,3204,20170
francesco molinari,7655,ita,-0.816,2.8966,-111,591,1344,2958,16613
grant forrest,16475,sco,-0.827,2.918,-106,642,1479,3408,20519
pablo larrazabal,9133,esp,-0.848,2.9198,-103,640,1507,3421,18419
brandon wu,25213,usa,-0.848,2.8714,101,685,1634,3601,23337
ignacio elvira mijares,12988,esp,-0.848,2.87,-100,703,1704,4058,26567
robin williams,24093,rsa,-0.867,2.927,-102,682,1594,3561,19768
dylan frittelli,11955,rsa,-0.88,2.9051,-102,674,1586,3575,22801
conor purcell,25963,irl,-0.885,2.927,-109,634,1454,3199,21329
richie ramsay,11396,sco,-0.887,2.8386,-100,716,1715,3937,31314
andreas halvorsen,17747,nor,-0.911,2.927,-101,685,1594,3588,23246
wilco nienaber,25889,rsa,-0.913,2.9295,-101,697,1644,3721,23900
dan bradbury,29971,eng,-0.913,2.927,103,717,1734,4010,24591
