player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"rasmus neergaard-petersen",23841,den,0.822,2.927,0.789,0.474,0.316,0.202,0.06
"joost luiten",10158,ned,0.501,2.8523,0.745,0.392,0.242,0.141,0.036
"keita nakajima",21074,jpn,0.394,2.927,0.73,0.375,0.232,0.139,0.036
"haotong li",15310,chn,0.333,2.9863,0.717,0.363,0.225,0.135,0.037
"ewen ferguson",21646,sco,0.209,2.8672,0.696,0.325,0.189,0.107,0.026
"francesco laporta",14987,ita,0.202,2.8971,0.692,0.324,0.188,0.107,0.026
"laurie canter",14795,eng,0.125,2.8741,0.688,0.311,0.18,0.101,0.025
"kristoffer reitan",21407,nor,0.127,2.927,0.683,0.31,0.18,0.103,0.024
"brandon stone",15229,rsa,0.152,2.9282,0.683,0.31,0.181,0.102,0.023
"jayden schaper",26991,rsa,0.146,2.9003,0.682,0.308,0.179,0.099,0.023
"eugenio chacarra",26745,esp,0.049,2.927,0.686,0.302,0.173,0.096,0.023
"sam bairstow",28615,eng,0.037,2.927,0.67,0.291,0.165,0.09,0.021
"wenyi ding",26193,chn,-0.018,2.927,0.657,0.279,0.156,0.084,0.018
"marcel schneider",12522,ger,-0.036,2.9135,0.658,0.279,0.155,0.086,0.018
"andrea pavan",12177,ita,-0.087,2.8833,0.638,0.255,0.139,0.073,0.015
"richard mansell",24185,eng,-0.195,2.9134,0.631,0.242,0.13,0.068,0.014
"angel ayora",30445,esp,-0.249,2.927,0.638,0.241,0.127,0.066,0.014
"daniel hillier",21362,nzl,-0.247,2.927,0.632,0.239,0.127,0.067,0.014
"julien guerrier",10201,fra,-0.205,2.9201,0.628,0.239,0.128,0.066,0.014
"johannes veerman",20522,usa,-0.276,2.9124,0.633,0.237,0.127,0.066,0.014
"sebastian soderberg",18517,swe,-0.233,2.9184,0.619,0.234,0.124,0.065,0.014
"john parry",13764,eng,-0.212,2.8516,0.626,0.23,0.12,0.061,0.012
"andy sullivan",15326,eng,-0.274,2.9171,0.615,0.224,0.119,0.061,0.012
"alex fitzpatrick",25362,eng,-0.319,2.927,0.601,0.214,0.111,0.057,0.011
"guido migliozzi",17357,ita,-0.37,2.9165,0.597,0.209,0.108,0.055,0.011
"fabrizio zanotti",9842,par,-0.358,2.8828,0.595,0.208,0.106,0.052,0.01
"sean crocker",23610,usa,-0.405,2.9349,0.589,0.205,0.106,0.054,0.01
"marcus armitage",17813,eng,-0.439,2.9048,0.584,0.198,0.101,0.05,0.009
"jacob skov olesen",25611,den,-0.46,2.927,0.578,0.195,0.101,0.051,0.011
"john catlin",18524,usa,-0.436,2.8898,0.586,0.194,0.098,0.048,0.009
"oliver lindell",20085,fin,-0.405,2.927,0.576,0.193,0.099,0.05,0.009
"thriston lawrence",18105,rsa,-0.528,2.9371,0.584,0.191,0.097,0.049,0.01
"ugo coussaud",20727,fra,-0.476,2.927,0.574,0.19,0.096,0.048,0.009
"adrian otaegui",14975,uae,-0.439,2.8558,0.588,0.189,0.092,0.044,0.008
"jorge campillo",14016,esp,-0.482,2.8973,0.585,0.189,0.095,0.047,0.009
"brandon robinson-thompson",24497,eng,-0.493,2.927,0.577,0.188,0.095,0.047,0.009
"todd clements",22608,eng,-0.503,2.927,0.57,0.185,0.094,0.046,0.009
"nicolai von dellingshausen",22231,ger,-0.529,2.8838,0.584,0.184,0.092,0.045,0.008
