name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Luiten, Joost","Neergaard-Petersen, Rasmus",void,r1 match-up,-107,-123,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Schaper, Jayden","Bairstow, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Sullivan, Andy","Robinson-Thompson, Brandon",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Reitan, Kristoffer","Ferguson, Ewen",void,r1 match-up,-120,-110,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Stone, Brandon","Mansell, Richard",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,-110,-110,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-106,+106,null
"Parry, John","Laporta, Francesco",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Migliozzi, Guido","Soderberg, Sebastian",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Guerrier, Julien","Ding, Wenyi",void,r1 match-up,null,null,null,-103,-118,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Otaegui, Adrian","Olesen, Jacob Skov",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Crocker, Sean","Fitzpatrick, Alex",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,+101,-101,null
"Campillo, Jorge","Ayora, Angel",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,-114,null
"Lindell, Oliver","Veerman, Johannes",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Canter, Laurie","Lawrence, Thriston",void,r1 match-up,null,null,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-128,+128,null
"Pavan, Andrea","Hillier, Daniel",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Schneider, Marcel","Chacarra, Eugenio",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Li, Haotong","Nakajima, Keita",void,r1 match-up,-112,-118,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Neergaard-Petersen, Rasmus","Bairstow, Sam",void,r1 match-up,null,null,null,-137,+113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-155,+125,null,null,null,null,null,null,null,-140,+140,null
"Parry, John","Mansell, Richard",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,+102,-102,null
"Luiten, Joost","Reitan, Kristoffer",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+110,null,null,null,null,null,null,null,-122,+122,null
"Migliozzi, Guido","Robinson-Thompson, Brandon",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,-104,+104,null
"Ferguson, Ewen","Ding, Wenyi",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+105,null,null,null,null,null,null,null,-117,+117,null
"Soderberg, Sebastian","Olesen, Jacob Skov",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,-111,+111,null
"Katsuragawa, Yuto","Hill, Calum",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,-102,+102,null
"Veerman, Johannes","Ayora, Angel",void,r1 match-up,-115,-115,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,-109,-122,null,+103,-103,null
"Siem, Marcel","Lawrence, Thriston",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,+104,-104,null
"Canter, Laurie","Hillier, Daniel",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,-115,+115,null
"Li, Haotong","Chacarra, Eugenio",void,r1 match-up,null,null,null,-119,-102,null,-130,+100,null,null,null,null,-125,+100,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,-112,+112,null
