name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Pavan, Andrea","Catlin, John",void,r2 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Lagergren, Joakim","Syme, Connor",void,r2 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Ravetto, David","Hidalgo, Angel",void,r2 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,+112,null
"Neergaard-Petersen, Rasmus","Bairstow, Sam",void,r2 match-up,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,null,null,null,null,null,null,-155,+125,null,null,null,null,null,null,null,-140,+140,null
"Sullivan, Andy","Ding, Wenyi",void,r2 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Laporta, Francesco","Reitan, Kristoffer",void,r2 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,+112,null
"Mansell, Richard","Schaper, Jayden",void,r2 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,-114,null
"Migliozzi, Guido","Soderberg, Sebastian",void,r2 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Parry, John","Stone, Brandon",void,r2 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Winther, Jeff","Katsuragawa, Yuto",void,r2 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Scrivener, Jason","Armitage, Marcus",void,r2 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Ramsay, Richie","Gouveia, Ricardo",void,r2 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Zanotti, Fabrizio","Catlin, John",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,-101,+101,null
"Parry, John","Mansell, Richard",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,+109,-109,null
"Luiten, Joost","Reitan, Kristoffer",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+110,null,null,null,null,null,null,null,-116,+116,null
"Migliozzi, Guido","Robinson-Thompson, Brandon",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,-114,+114,null
"Ferguson, Ewen","Ding, Wenyi",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,-109,+109,null
"Soderberg, Sebastian","Olesen, Jacob Skov",void,r2 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,-102,+102,null
