player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Rahm, Jon",150,1.978,0.073,30,0.008,-0.047,-0.004,0.260,-0.030,-0.193,0.027,0.000,-0.166,2.072,2.866,"LIV Andalucia","Real Club Valderrama"
"DeChambeau, Bryson",150,1.914,-0.040,31,0.004,-0.008,0.047,0.312,0.134,-0.357,-0.009,0.000,-0.366,1.997,2.902,"LIV Andalucia","Real Club Valderrama"
"Hatton, Tyrrell",150,1.481,-0.021,33,-0.005,-0.015,-0.001,-0.036,0.036,-0.038,0.019,0.000,-0.019,1.420,2.866,"LIV Andalucia","Real Club Valderrama"
"Niemann, Joaquin",150,1.471,-0.001,26,0.026,-0.015,-0.024,0.120,0.075,-0.228,-0.021,0.000,-0.249,1.403,2.893,"LIV Andalucia","Real Club Valderrama"
"Reed, Patrick",150,0.950,-0.027,34,-0.010,-0.018,0.086,-0.016,0.120,0.052,0.019,0.000,0.070,1.155,2.851,"LIV Andalucia","Real Club Valderrama"
"Munoz, Sebastian",150,0.659,0.005,32,0.000,-0.001,0.058,0.088,0.101,0.040,0.075,0.000,0.115,1.026,2.864,"LIV Andalucia","Real Club Valderrama"
"Ortiz, Carlos",150,0.800,0.002,34,-0.007,-0.019,0.027,0.083,0.063,-0.067,0.008,0.000,-0.059,0.891,2.912,"LIV Andalucia","Real Club Valderrama"
"Puig, David",150,0.692,0.108,23,0.039,-0.017,0.070,0.063,0.098,-0.211,-0.061,0.000,-0.272,0.782,2.927,"LIV Andalucia","Real Club Valderrama"
"Oosthuizen, Louis",150,0.465,0.012,42,-0.044,-0.006,-0.027,-0.035,0.072,0.121,0.072,0.000,0.193,0.630,2.885,"LIV Andalucia","Real Club Valderrama"
"Casey, Paul",150,0.467,-0.004,47,-0.067,-0.002,0.012,0.065,0.055,0.009,0.063,0.000,0.072,0.599,2.860,"LIV Andalucia","Real Club Valderrama"
"Garcia, Sergio",150,0.222,0.057,45,-0.057,-0.032,-0.160,0.065,0.422,-0.014,0.054,0.000,0.040,0.556,2.894,"LIV Andalucia","Real Club Valderrama"
"Smith, Cameron",150,0.589,-0.012,31,0.003,0.008,0.047,-0.176,0.076,0.000,-0.084,0.000,-0.084,0.453,2.898,"LIV Andalucia","Real Club Valderrama"
"Ancer, Abraham",150,0.274,0.002,34,-0.008,0.001,-0.066,0.012,0.037,0.107,0.090,0.000,0.197,0.451,2.870,"LIV Andalucia","Real Club Valderrama"
"Tringale, Cameron",150,0.472,-0.040,37,-0.023,0.000,0.013,-0.150,0.060,0.047,0.020,0.000,0.067,0.400,2.852,"LIV Andalucia","Real Club Valderrama"
"Gooch, Talor",150,0.223,-0.040,33,-0.004,0.014,-0.001,-0.003,0.066,0.076,0.056,0.000,0.132,0.387,2.890,"LIV Andalucia","Real Club Valderrama"
"McKibbin, Tom",150,0.322,-0.023,22,0.044,-0.016,-0.032,0.217,-0.060,-0.104,0.027,0.000,-0.076,0.376,2.842,"LIV Andalucia","Real Club Valderrama"
"Lahiri, Anirban",150,0.184,-0.010,38,-0.024,0.001,0.056,-0.012,0.068,0.069,0.036,0.000,0.105,0.369,2.890,"LIV Andalucia","Real Club Valderrama"
"Koepka, Brooks",150,0.511,-0.040,35,-0.011,-0.067,-0.175,0.154,0.071,-0.086,-0.020,0.000,-0.106,0.337,2.921,"LIV Andalucia","Real Club Valderrama"
"Herbert, Lucas",150,0.434,-0.012,29,0.013,0.004,-0.050,0.079,-0.016,-0.087,-0.032,0.000,-0.119,0.332,2.950,"LIV Andalucia","Real Club Valderrama"
"Burmester, Dean",150,0.420,0.004,36,-0.015,-0.017,-0.043,0.106,0.121,-0.234,-0.077,0.000,-0.312,0.265,2.866,"LIV Andalucia","Real Club Valderrama"
"Schwartzel, Charl",150,0.251,-0.027,40,-0.036,-0.036,0.125,-0.113,0.039,0.048,-0.014,0.000,0.034,0.237,2.889,"LIV Andalucia","Real Club Valderrama"
