player_name,dg_id,proj,my_proj,import_advice
bryson dechambeau,19841,63.9,null,1) import file must include at least one of player_name or dg_id columns
jon rahm,19195,64.5,null,2) import file must include my_proj column
joaquin niemann,18079,57.7,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
tyrrell hatton,14796,57.6,null,
patrick reed,14838,54.7,null,
david puig,28984,51.5,null,
sergio garcia,5689,49.3,null,
carlos ortiz,14735,52.4,null,
sebastian munoz,20770,53.4,null,
cameron smith,15856,48.5,null,
louis oosthuizen,7672,49.9,null,
brooks koepka,16243,47.6,null,
paul casey,7108,49.5,null,
abraham ancer,18238,48,null,
anirban lahiri,12669,47.5,null,
talor gooch,18580,47.9,null,
lucas herbert,17064,47.9,null,
dean burmester,14424,46.1,null,
tom mckibbin,22322,46.8,null,
cameron tringale,14013,47.2,null,
marc leishman,7649,45.7,null,
thomas pieters,13944,45.5,null,
dustin johnson,12422,45,null,
harold varner iii,16602,45.5,null,
charles howell iii,6892,44.7,null,
charl schwartzel,7398,46.2,null,
bubba watson,7334,43.7,null,
jinichiro kozuma,14209,45,null,
richard bland,6516,45.1,null,
peter uihlein,11357,38.8,null,
brendan steele,11019,42.2,null,
jason kokrak,12337,40.2,null,
ben campbell,14373,42.3,null,
caleb surratt,30463,38.4,null,
phil mickelson,1547,39.5,null,
lee westwood,4052,37.1,null,
martin kaymer,8117,41.8,null,
graeme mcdowell,7548,41.1,null,
sam horsfield,19866,41,null,
adrian meronk,14196,39.8,null,
kevin na,7452,40.8,null,
luis masaveu,30428,33.7,null,
branden grace,11952,42.2,null,
henrik stenson,5994,40.3,null,
ian poulter,1435,35.4,null,
danny lee,11826,33.9,null,
chieh-po lee,16563,36.2,null,
matt jones,8605,35.4,null,
andy ogletree,27597,35,null,
jose luis ballester,28473,35,null,
yubin jang,28276,34.5,null,
mito pereira,19455,32.2,null,
frederik kjettrup,24660,29.4,null,
anthony kim,11641,28.9,null,
