name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Pieters, Thomas","Burmester, Dean",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,+107,+1706
"Rahm, Jon","DeChambeau, Bryson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,+109,+1701
"Rahm, Jon","DeChambeau, Bryson",void,72-hole match,-120,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,-110,-120,null,+103,-103,null
"Koepka, Brooks","Gooch, Talor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,+135,+1707
"Koepka, Brooks","Gooch, Talor",void,72-hole match,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-122,+122,null
"Lahiri, Anirban","Ancer, Abraham",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,+105,+1695
"Mickelson, Phil","Meronk, Adrian",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,+122,+1717
"Herbert, Lucas","Munoz, Sebastian",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+114,+1655
"Herbert, Lucas","Munoz, Sebastian",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,-102,+102,null
"Hatton, Tyrrell","Niemann, Joaquin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+134,-107,+1659
"Hatton, Tyrrell","Niemann, Joaquin",void,72-hole match,-105,-125,null,null,null,null,-125,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,+105,-137,null,+121,-121,null
"Ortiz, Carlos","Reed, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,+136,+1683
"Ortiz, Carlos","Reed, Patrick",void,72-hole match,-155,+124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,+108,null,null,null,null,-137,+105,null,-123,+123,null
"Schwartzel, Charl","Varner III, Harold",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,+119,+1742
"Leishman, Marc","Smith, Cameron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+123,+102,+1644
"Leishman, Marc","Smith, Cameron",void,72-hole match,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Johnson, Dustin","Tringale, Cameron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+121,+103,+1694
"Casey, Paul","Watson, Bubba",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+113,+1707
"Smith, Cameron","Koepka, Brooks",void,72-hole match,+102,-132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,+100,-129,null,+112,-112,null
"Herbert, Lucas","Gooch, Talor",void,72-hole match,-127,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+115,null,null,null,null,null,null,null,-134,+134,null
"Burmester, Dean","Puig, David",void,72-hole match,-107,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+109,-109,null
"Garcia, Sergio","Munoz, Sebastian",void,72-hole match,+110,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-144,null,null,null,null,null,null,null,+144,-144,null
"Johnson, Dustin","Pieters, Thomas",void,72-hole match,-101,-129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+122,-122,null
"Casey, Paul","Leishman, Marc",void,72-hole match,-109,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+108,-108,null
"Watson, Bubba","Oosthuizen, Louis",void,72-hole match,-109,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-105,+105,null
"Lahiri, Anirban","Tringale, Cameron",void,72-hole match,+104,-134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+107,-107,null
"Ancer, Abraham","McKibbin, Tom",void,72-hole match,+107,-137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+113,-113,null
"Kokrak, Jason","Varner III, Harold",void,72-hole match,+110,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-129,null,null,null,null,null,null,null,+132,-132,null
"Mickelson, Phil","Schwartzel, Charl",void,72-hole match,+107,-137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-144,null,null,null,null,null,null,null,+148,-148,null
"Uihlein, Peter","Surratt, Caleb",void,72-hole match,-125,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-111,+111,null
"Howell III, Charles","Meronk, Adrian",void,72-hole match,-173,+137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,-138,+138,null
"Bland, Richard","Steele, Brendan",void,72-hole match,+107,-137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+108,-108,null
"Na, Kevin","Wolff, Matthew",void,72-hole match,-113,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-110,+110,null
"McDowell, Graeme","Grace, Branden",void,72-hole match,-130,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+107,-107,null
"Kozuma, Jinichiro","Campbell, Ben",void,72-hole match,-127,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-144,+120,null,null,null,null,null,null,null,-142,+142,null
"Kaymer, Martin","Horsfield, Sam",void,72-hole match,+113,-143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,+152,-152,null
"Poulter, Ian","Westwood, Lee",void,72-hole match,-105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-108,+108,null
"Stenson, Henrik","Jones, Matt",void,72-hole match,-147,+117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-114,+114,null
"Pereira, Mito","Ogletree, Andy",void,72-hole match,-107,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+113,-113,null
"Garcia, Sergio","Puig, David",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-137,null,+124,-124,null
"Burmester, Dean","Gooch, Talor",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,-104,+104,null
"Leishman, Marc","Pieters, Thomas",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,-114,null,+100,-100,null
"Ortiz, Carlos","Munoz, Sebastian",void,72-hole match,null,null,null,null,null,null,-130,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+135,null
"Casey, Paul","Burmester, Dean",void,72-hole match,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,-114,null
"Bland, Richard","Ancer, Abraham",void,72-hole match,null,null,null,null,null,null,+105,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+136,-136,null
"Oosthuizen, Louis","Tringale, Cameron",void,72-hole match,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Reed, Patrick","Herbert, Lucas",void,72-hole match,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,+108,null
