player_name,dg_id,dg_pred,my_pred,import_advice
bryson dechambeau,19841,2.317,null,1) import file must include at least one of player_name or dg_id columns
jon rahm,19195,2.258,null,2) import file must include my_pred column
joaquin niemann,18079,1.693,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
tyrrell hatton,14796,1.411,null,
carlos ortiz,14735,1.208,null,
patrick reed,14838,0.889,null,
sebastian munoz,20770,0.765,null,
lucas herbert,17064,0.765,null,
brooks koepka,16243,0.614,null,
david puig,28984,0.517,null,
cameron smith,15856,0.468,null,
dean burmester,14424,0.381,null,
talor gooch,18580,0.329,null,
marc leishman,7649,0.295,null,
thomas pieters,13944,0.291,null,
tom mckibbin,22322,0.287,null,
sergio garcia,5689,0.181,null,
paul casey,7108,0.178,null,
bubba watson,7334,0.147,null,
cameron tringale,14013,0.135,null,
abraham ancer,18238,0.121,null,
charl schwartzel,7398,0.086,null,
louis oosthuizen,7672,0.084,null,
anirban lahiri,12669,0.011,null,
dustin johnson,12422,-0.012,null,
harold varner iii,16602,-0.018,null,
charles howell iii,6892,-0.153,null,
brendan steele,11019,-0.223,null,
jinichiro kozuma,14209,-0.325,null,
richard bland,6516,-0.336,null,
peter uihlein,11357,-0.363,null,
jason kokrak,12337,-0.424,null,
phil mickelson,1547,-0.497,null,
branden grace,11952,-0.502,null,
caleb surratt,30463,-0.507,null,
sam horsfield,19866,-0.579,null,
kevin na,7452,-0.589,null,
graeme mcdowell,7548,-0.612,null,
adrian meronk,14196,-0.665,null,
matthew wolff,25919,-0.725,null,
ben campbell,14373,-0.832,null,
henrik stenson,5994,-0.946,null,
jose luis ballester,28473,-0.975,null,
matt jones,8605,-1.143,null,
ian poulter,1435,-1.209,null,
martin kaymer,8117,-1.223,null,
yubin jang,28276,-1.284,null,
lee westwood,4052,-1.319,null,
chieh-po lee,16563,-1.347,null,
andy ogletree,27597,-1.466,null,
mito pereira,19455,-1.66,null,
danny lee,11826,-1.865,null,
frederik kjettrup,24660,-2.366,null,
anthony kim,11641,-2.773,null,
