name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Hatton, Tyrrell","Rahm, Jon",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-160,null,null,null,null,null,null,null,+145,-145,null
"Niemann, Joaquin","DeChambeau, Bryson",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-147,null,null,null,null,null,null,null,+130,-130,null
"Ortiz, Carlos","Koepka, Brooks",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-129,+129,null
"Reed, Patrick","Smith, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+113,null,null,null,null,null,null,null,-121,+121,null
"Herbert, Lucas","Puig, David",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,+108,null,null,null,null,null,null,null,-114,+114,null
"Burmester, Dean","Gooch, Talor",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-101,+101,null
"Pieters, Thomas","Munoz, Sebastian",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+122,-122,null
"Garcia, Sergio","Johnson, Dustin",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-108,+108,null
"Watson, Bubba","Leishman, Marc",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+107,-107,null
"Casey, Paul","Oosthuizen, Louis",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-103,+103,null
"Tringale, Cameron","McKibbin, Tom",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+107,-107,null
"Lahiri, Anirban","Ancer, Abraham",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+106,-106,null
"Schwartzel, Charl","Varner III, Harold",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-105,+105,null
"Mickelson, Phil","Kokrak, Jason",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+102,-102,null
"Howell III, Charles","Steele, Brendan",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-104,+104,null
