player_name,final_prediction,Strokes
"DeChambeau, Bryson",2.471,68.329
"Rahm, Jon",2.207,68.593
"Niemann, Joaquin",1.744,69.056
"Hatton, Tyrrell",1.288,69.512
"Herbert, Lucas",1.079,69.721
"Reed, Patrick",0.844,69.956
"Ortiz, Carlos",0.802,69.998
"Munoz, Sebastian",0.758,70.042
"Smith, Cameron",0.485,70.315
"Burmester, Dean",0.465,70.335
"McKibbin, Tom",0.464,70.336
"Garcia, Sergio",0.424,70.376
"Koepka, Brooks",0.402,70.398
"Tringale, Cameron",0.286,70.514
"Gooch, Talor",0.2,70.6
"Pieters, Thomas",0.175,70.625
"Schwartzel, Charl",0.146,70.654
"Oosthuizen, Louis",0.118,70.682
"Casey, Paul",0.102,70.698
"Ancer, Abraham",0.096,70.704
"Bland, Richard",0.069,70.731
"Leishman, Marc",0.06,70.74
"Howell III, Charles",-0.075,70.875
"Johnson, Dustin",-0.085,70.885
"Watson, Bubba",-0.104,70.904
"Varner III, Harold",-0.154,70.954
"Uihlein, Peter",-0.245,71.045
"Lahiri, Anirban",-0.268,71.068
"Kozuma, Jinichiro",-0.388,71.188
"Steele, Brendan",-0.39,71.19
"Surratt, Caleb",-0.396,71.196
"Kokrak, Jason",-0.426,71.226
"Horsfield, Sam",-0.493,71.293
"Ballester Barrio, Jose Luis",-0.539,71.339
"Na, Kevin",-0.581,71.381
"Grace, Branden",-0.592,71.392
"Wolff, Matthew",-0.602,71.402
"Meronk, Adrian",-0.655,71.455
"Jones, Matt",-0.789,71.589
"Stenson, Henrik",-0.842,71.642
"Mickelson, Phil",-0.892,71.692
"Lee, Chieh-Po",-0.956,71.756
"McDowell, Graeme",-0.967,71.767
"Campbell, Ben",-0.977,71.777
"Masaveu, Luis",-0.986,71.786
"Poulter, Ian",-1.042,71.842
"Ogletree, Andy",-1.222,72.022
"Jang, Yubin",-1.282,72.082
"Pereira, Mito",-1.412,72.212
"Kaymer, Martin",-1.425,72.225
"Westwood, Lee",-1.507,72.307
"Lee, Danny",-1.823,72.623
"Kjettrup, Frederik",-2.151,72.951
"Kim, Anthony",-2.884,73.684
