name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Garcia, Sergio","Burmester, Dean",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,+109,+1713
"Rahm, Jon","DeChambeau, Bryson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+132,-105,+1689
"Rahm, Jon","DeChambeau, Bryson",void,72-hole match,+102,-132,null,+106,-129,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-127,null,null,null,null,+100,-134,null,+119,-119,null
"Howell III, Charles","Surratt, Caleb",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-109,+136,+1738
"Casey, Paul","Johnson, Dustin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+125,+1754
"Casey, Paul","Johnson, Dustin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,-114,null,-113,+113,null
"Tringale, Cameron","Koepka, Brooks",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+121,+103,+1709
"Hatton, Tyrrell","Niemann, Joaquin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+137,-150,+1200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+148,-118,+1702
"Hatton, Tyrrell","Niemann, Joaquin",void,72-hole match,+116,-146,null,+120,-147,null,+120,-150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-144,null,null,null,null,+115,-150,null,+134,-134,null
"Pieters, Thomas","McKibbin, Tom",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+135,-107,+1668
"Ortiz, Carlos","Reed, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,+109,+1717
"Bland, Richard","Schwartzel, Charl",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,+107,+1688
"Smith, Cameron","Herbert, Lucas",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+160,-128,+1753
"Smith, Cameron","Herbert, Lucas",void,72-hole match,+102,-132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+146,-146,null
"Watson, Bubba","Varner III, Harold",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,+114,+1750
"Ortiz, Carlos","Munoz, Sebastian",void,72-hole match,-128,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-103,+103,null
"Burmester, Dean","Koepka, Brooks",void,72-hole match,-115,-115,null,-114,-106,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-105,+105,null
"Garcia, Sergio","Gooch, Talor",void,72-hole match,-144,+114,null,-125,+103,null,-105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-116,+116,null
"Pieters, Thomas","Tringale, Cameron",void,72-hole match,+109,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-127,null,null,null,null,null,null,null,+107,-107,null
"Bland, Richard","McKibbin, Tom",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-147,null,null,null,null,null,null,null,+131,-131,null
"Leishman, Marc","Johnson, Dustin",void,72-hole match,-133,+103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+109,null,null,null,null,null,null,null,-109,+109,null
"Casey, Paul","Oosthuizen, Louis",void,72-hole match,-109,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+101,-101,null
"Schwartzel, Charl","Ancer, Abraham",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,-104,+104,null
"Howell III, Charles","Watson, Bubba",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-128,+107,null,null,null,null,null,null,null,-101,+101,null
"Lahiri, Anirban","Surratt, Caleb",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,-108,+108,null
"Uihlein, Peter","Varner III, Harold",void,72-hole match,-112,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+107,-107,null
"Kokrak, Jason","Meronk, Adrian",void,72-hole match,-156,+124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-145,+121,null,null,null,null,null,null,null,-117,+117,null
"Mickelson, Phil","Wolff, Matthew",void,72-hole match,+106,-136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+119,-119,null
"Kozuma, Jinichiro","Masaveu, Luis",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,-146,+146,null
"McDowell, Graeme","Horsfield, Sam",void,72-hole match,+103,-133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,null,null,null,+136,-136,null
"Steele, Brendan","Grace, Branden",void,72-hole match,-144,+114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,-113,+113,null
"Jones, Matt","Lee, Chieh-Po",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-112,+112,null
"Poulter, Ian","Stenson, Henrik",void,72-hole match,+107,-137,null,+104,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-127,null,null,null,null,null,null,null,+114,-114,null
"Lee, Danny","Ogletree, Andy",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+137,-165,null,null,null,null,null,null,null,+147,-147,null
"Westwood, Lee","Kaymer, Martin",void,72-hole match,-115,-115,null,-112,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+105,-105,null
"Niemann, Joaquin","Rahm, Jon",void,72-hole match,null,null,null,+117,-143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+135,-135,null
"Hatton, Tyrrell","DeChambeau, Bryson",void,72-hole match,null,null,null,+172,-218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+218,-218,null
"Steele, Brendan","Wolff, Matthew",void,72-hole match,null,null,null,-124,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,+114,null
"Johnson, Dustin","Ancer, Abraham",void,72-hole match,null,null,null,-102,-119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Mickelson, Phil","Kokrak, Jason",void,72-hole match,null,null,null,+123,-151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-133,null
"Reed, Patrick","Smith, Cameron",void,72-hole match,null,null,null,-135,+111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-127,+127,null
"Bland, Richard","Watson, Bubba",void,72-hole match,null,null,null,-119,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,+112,null
"Schwartzel, Charl","Pieters, Thomas",void,72-hole match,null,null,null,+101,-122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Lahiri, Anirban","Meronk, Adrian",void,72-hole match,null,null,null,-132,+109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,+129,null
"Oosthuizen, Louis","Tringale, Cameron",void,72-hole match,null,null,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Munoz, Sebastian","McKibbin, Tom",void,72-hole match,null,null,null,-128,+106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+120,null
"Na, Kevin","Jones, Matt",void,72-hole match,null,null,null,-139,+114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"McDowell, Graeme","Ogletree, Andy",void,72-hole match,null,null,null,-130,+107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-116,+116,null
"Ortiz, Carlos","Herbert, Lucas",void,72-hole match,null,null,null,+108,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,-129,null,+120,-120,null
"Howell III, Charles","Varner III, Harold",void,72-hole match,null,null,null,-112,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Grace, Branden","Horsfield, Sam",void,72-hole match,null,null,null,-108,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Casey, Paul","Leishman, Marc",void,72-hole match,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Uihlein, Peter","Surratt, Caleb",void,72-hole match,null,null,null,-118,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Smith, Cameron","Koepka, Brooks",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,-103,null,-106,+106,null
"Garcia, Sergio","McKibbin, Tom",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,-114,null,+104,-104,null
"Burmester, Dean","Munoz, Sebastian",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-137,null,+121,-121,null
"Casey, Paul","McKibbin, Tom",void,72-hole match,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+127,-127,null
"Leishman, Marc","Ancer, Abraham",void,72-hole match,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Ortiz, Carlos","Smith, Cameron",void,72-hole match,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-123,+123,null
"Reed, Patrick","Munoz, Sebastian",void,72-hole match,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-106,+106,null
