player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"bryson dechambeau",19841,usa,2.687,2.9026,1,0.885,0.726,0.55,0.218
"jon rahm",19195,esp,2.208,2.8678,1,0.831,0.631,0.44,0.14
"joaquin niemann",18079,chi,1.785,2.8888,1,0.768,0.544,0.348,0.093
"lucas herbert",17064,aus,1.086,2.9499,1,0.637,0.392,0.223,0.047
"tyrrell hatton",14796,eng,1.029,2.8703,1,0.628,0.375,0.205,0.04
"patrick reed",14838,usa,0.894,2.85,1,0.599,0.342,0.178,0.033
"sebastian munoz",20770,col,0.799,2.8771,1,0.578,0.327,0.172,0.032
"carlos ortiz",14735,mex,0.797,2.9105,1,0.577,0.331,0.177,0.033
"sergio garcia",5689,esp,0.525,2.8812,1,0.519,0.272,0.134,0.021
"tom mckibbin",22322,nir,0.502,2.8471,1,0.515,0.265,0.125,0.02
"dean burmester",14424,rsa,0.435,2.8717,1,0.494,0.252,0.121,0.019
"cameron smith",15856,aus,0.429,2.9066,1,0.499,0.257,0.123,0.019
"brooks koepka",16243,usa,0.388,2.9275,1,0.487,0.25,0.121,0.02
"cameron tringale",14013,usa,0.33,2.852,1,0.477,0.239,0.111,0.016
"louis oosthuizen",7672,rsa,0.199,2.8819,1,0.445,0.216,0.097,0.014
"marc leishman",7649,aus,0.158,2.8645,1,0.436,0.209,0.094,0.014
"talor gooch",18580,usa,0.137,2.8859,1,0.435,0.207,0.094,0.013
"abraham ancer",18238,mex,0.132,2.8738,1,0.435,0.205,0.091,0.013
"paul casey",7108,eng,0.109,2.8567,1,0.425,0.201,0.088,0.012
"thomas pieters",13944,bel,0.089,2.8867,1,0.425,0.197,0.088,0.013
"charles howell iii",6892,usa,0.038,2.9001,1,0.418,0.196,0.089,0.013
"charl schwartzel",7398,rsa,0.034,2.8983,1,0.411,0.191,0.085,0.012
"jason kokrak",12337,usa,-0.041,2.9069,1,0.396,0.18,0.079,0.011
"richard bland",6516,eng,-0.048,2.8561,1,0.395,0.177,0.073,0.009
"jinichiro kozuma",14209,jpn,-0.112,2.927,1,0.375,0.167,0.071,0.009
"brendan steele",11019,usa,-0.131,2.8995,1,0.378,0.168,0.073,0.01
"dustin johnson",12422,usa,-0.134,2.9361,1,0.378,0.171,0.073,0.01
"harold varner iii",16602,usa,-0.162,2.8981,1,0.369,0.164,0.07,0.009
"bubba watson",7334,usa,-0.206,2.9153,1,0.363,0.159,0.068,0.008
"peter uihlein",11357,usa,-0.247,2.9083,1,0.353,0.151,0.064,0.007
"kevin na",7452,usa,-0.266,2.8987,1,0.347,0.149,0.061,0.008
"anirban lahiri",12669,ind,-0.301,2.8876,1,0.338,0.141,0.057,0.007
"caleb surratt",30463,usa,-0.305,2.927,1,0.343,0.146,0.061,0.007
"sam horsfield",19866,eng,-0.452,2.9085,1,0.315,0.127,0.051,0.006
"jose luis ballester barrio",28473,esp,-0.539,2.927,1,0.295,0.119,0.047,0.005
"matthew wolff",25919,usa,-0.561,2.9924,1,0.295,0.121,0.049,0.006
"henrik stenson",5994,swe,-0.654,2.853,1,0.272,0.101,0.037,0.004
"branden grace",11952,rsa,-0.789,2.906,1,0.245,0.09,0.031,0.003
"graeme mcdowell",7548,nir,-0.929,2.8846,1,0.222,0.079,0.028,0.003
"adrian meronk",14196,pol,-0.945,2.9319,1,0.22,0.077,0.027,0.003
"matt jones",8605,aus,-0.947,2.8707,1,0.219,0.076,0.025,0.002
"chieh-po lee",16563,tpe,-0.956,2.927,1,0.218,0.076,0.026,0.003
"ben campbell",14373,nzl,-0.977,2.927,1,0.218,0.076,0.028,0.003
"andy ogletree",27597,usa,-1.087,2.927,1,0.201,0.067,0.023,0.002
"phil mickelson",1547,usa,-1.152,2.9236,1,0.189,0.062,0.021,0.002
"ian poulter",1435,eng,-1.23,2.8493,1,0.173,0.053,0.016,0.001
"luis masaveu",30428,esp,-1.262,2.927,1,0.173,0.054,0.018,0.002
"yubin jang",28276,kor,-1.282,2.927,1,0.168,0.052,0.017,0.002
"mito pereira",19455,chi,-1.412,2.9291,1,0.152,0.046,0.014,0.001
"martin kaymer",8117,ger,-1.449,2.919,1,0.148,0.044,0.014,0.001
"lee westwood",4052,eng,-1.483,2.8725,1,0.14,0.041,0.012,0.001
"frederik kjettrup",24660,den,-2.151,2.927,1,0.074,0.018,0.005,0
"danny lee",11826,nzl,-2.267,2.9551,1,0.068,0.015,0.004,0
"anthony kim",11641,usa,-2.884,2.9828,1,0.037,0.008,0.002,0
