name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Lowry, Shane","Aberg, Ludvig",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+147,+2412
"Lowry, Shane","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-137,+137,null
"Kim, Si Woo","Berger, Daniel",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,+101,+2268
"Kim, Si Woo","Berger, Daniel",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Fitzpatrick, Matt","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+107,+2333
"Fitzpatrick, Matt","Burns, Sam",void,72-hole match,null,null,null,-102,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Fleetwood, Tommy","Cantlay, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+131,+2240
"Fleetwood, Tommy","Cantlay, Patrick",void,72-hole match,null,null,null,-133,+108,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-110,-120,null,null,null,null,-120,-110,null,null,null,null,-121,+121,null
"Conners, Corey","Hovland, Viktor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+162,+2503
"Conners, Corey","Hovland, Viktor",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-133,+105,null,null,null,null,-135,+105,null,null,null,null,null,null,null,null,null,null,-152,+152,null
"English, Harris","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,+103,+2290
"English, Harris","Griffin, Ben",void,72-hole match,+106,-136,null,-101,-122,null,null,null,null,null,null,null,-115,-110,null,null,null,null,null,null,null,-115,-115,null,+110,-132,null,null,null,null,null,null,null,+105,-105,null
"Finau, Tony","Spieth, Jordan",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,-100,+2350
"Finau, Tony","Spieth, Jordan",void,72-hole match,+102,-132,null,+103,-127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,+102,-122,null,null,null,null,null,null,null,+109,-109,null
"Bradley, Keegan","Henley, Russell",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,+110,+2354
"Bradley, Keegan","Henley, Russell",void,72-hole match,-120,-110,null,-111,-111,null,null,null,null,null,null,null,-110,-115,null,-118,-105,null,null,null,null,-115,-115,null,-110,-110,null,-120,-110,null,null,null,null,-101,+101,null
"Matsuyama, Hideki","Straka, Sepp",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+109,+2308
"Matsuyama, Hideki","Straka, Sepp",void,72-hole match,null,null,null,-121,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Im, Sungjae","McCarthy, Denny",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+121,-103,+2343
"Im, Sungjae","McCarthy, Denny",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+112,-112,null
"Schauffele, Xander","Morikawa, Collin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-112,+2292
"Schauffele, Xander","Morikawa, Collin",void,72-hole match,null,null,null,-104,-118,null,null,null,null,null,null,null,-105,-120,null,null,null,null,null,null,null,-110,-120,null,null,null,null,+100,-130,null,null,null,null,+123,-123,null
"Thomas, Justin","Scheffler, Scottie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+250,-300,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+358,-297,+2912
"Thomas, Justin","Scheffler, Scottie",void,72-hole match,null,null,null,+263,-377,null,null,null,null,null,null,null,+300,-400,null,null,null,null,null,null,null,+220,-300,null,null,null,null,+250,-325,null,null,null,null,+342,-342,null
"Fleetwood, Tommy","Scheffler, Scottie",void,72-hole match,+306,-422,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+290,-365,null,+260,-340,null,null,null,null,+304,-304,null
"Thomas, Justin","Schauffele, Xander",void,72-hole match,+103,-133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,-104,+104,null
"Cantlay, Patrick","Morikawa, Collin",void,72-hole match,+110,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+122,-122,null
"Hovland, Viktor","Aberg, Ludvig",void,72-hole match,-131,+101,null,-118,-105,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-129,+108,null,null,null,null,null,null,null,-110,+110,null
"Matsuyama, Hideki","Conners, Corey",void,72-hole match,-116,-114,null,-108,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+126,-126,null
"Lowry, Shane","Berger, Daniel",void,72-hole match,-110,-120,null,-105,-117,null,null,null,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+108,-108,null
"Kim, Si Woo","Straka, Sepp",void,72-hole match,-132,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-122,+102,null,null,null,null,null,null,null,-106,+106,null
"Fitzpatrick, Matt","McCarthy, Denny",void,72-hole match,+105,-135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+129,-129,null
"Im, Sungjae","Burns, Sam",void,72-hole match,-133,+103,null,-120,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-132,+110,null,null,null,null,null,null,null,-113,+113,null
"Rai, Aaron","MacIntyre, Robert",void,72-hole match,-145,+115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,-123,+123,null
"Spaun, J.J.","Poston, J.T.",void,72-hole match,-120,-110,null,-112,-110,null,null,null,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-109,+109,null
"Lee, Min Woo","McNealy, Maverick",void,72-hole match,+107,-137,null,+118,-147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+130,-130,null
"Noren, Alex","Homa, Max",void,72-hole match,-176,+140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-165,+137,null,null,null,null,null,null,null,-168,+168,null
"Pendrith, Taylor","Thompson, Davis",void,72-hole match,-116,-114,null,-108,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+106,-106,null
