name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Noren, Alex","English, Harris",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Finau, Tony","Spaun, J.J.",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+112,-112,null
"Rose, Justin","Fowler, Rickie",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,+113,-135,null,null,null,null,null,null,null,+115,-115,null
"Berger, Daniel","McCarthy, Denny",void,r1 match-up,null,null,null,-132,+107,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-118,+118,null
"Bezuidenhout, Christiaan","Bhatia, Akshay",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Young, Cameron","Eckroat, Austin",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+120,-120,null
"McNealy, Maverick","Poston, J.T.",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+121,-121,null
"Cauley, Bud","Griffin, Ben",void,r1 match-up,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+119,-119,null
"Matsuyama, Hideki","Lowry, Shane",void,r1 match-up,null,null,null,null,null,null,-115,-110,null,-110,-110,null,-115,-110,null,null,null,null,null,null,null,-110,-110,null,-105,-115,null,null,null,null,null,null,null,+104,-104,null
"Spieth, Jordan","Aberg, Ludvig",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-112,+112,null
