player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"jon rahm",19195,esp,2.319,2.8714,,-533,-186,+117,+534
"bryson dechambeau",19841,usa,2.239,2.9055,,-480,-172,+125,+553
"joaquin niemann",18079,chi,1.683,2.8826,,-293,-105,+209,+1057
"tyrrell hatton",14796,eng,1.433,2.868,,-239,+118,+267,+1491
"carlos ortiz",14735,mex,1.326,2.9074,,-214,+130,+288,+1597
"sebastian munoz",20770,col,0.844,2.8614,,-141,+200,+472,+2862
"lucas herbert",17064,aus,0.833,2.9532,,-138,+198,+453,+2753
"patrick reed",14838,usa,0.757,2.8484,,-131,+222,+532,+3476
"brooks koepka",16243,usa,0.722,2.9214,,-128,+219,+511,+3305
"david puig",28984,esp,0.53,2.927,,-107,+266,+644,+4238
"cameron smith",15856,aus,0.37,2.9012,,+106,+307,+751,+5507
"marc leishman",7649,aus,0.342,2.8726,,+111,+320,+796,+5534
"tom mckibbin",22322,nir,0.337,2.8458,,+112,+340,+876,+6934
"dean burmester",14424,rsa,0.329,2.8685,,+113,+331,+822,+5720
"thomas pieters",13944,bel,0.329,2.887,,+111,+324,+807,+5737
"talor gooch",18580,usa,0.298,2.8853,,+116,+342,+844,+5979
"cameron tringale",14013,usa,0.232,2.852,,+123,+366,+923,+6672
"charl schwartzel",7398,rsa,0.148,2.8886,,+131,+389,+990,+7642
"paul casey",7108,eng,0.143,2.8577,,+133,+399,+1022,+7505
"bubba watson",7334,usa,0.117,2.9188,,+135,+393,+1004,+7001
"sergio garcia",5689,esp,0.105,2.8883,,+138,+409,+1022,+7932
"louis oosthuizen",7672,rsa,0.101,2.8873,,+138,+407,+1041,+7900
"harold varner iii",16602,usa,0.055,2.8992,,+142,+425,+1099,+7534
"abraham ancer",18238,mex,0.053,2.8625,,+144,+433,+1112,+8621
"charles howell iii",6892,usa,0.043,2.8992,,+144,+419,+1055,+7764
"dustin johnson",12422,usa,-0.053,2.9337,,+156,+467,+1178,+8387
"anirban lahiri",12669,ind,-0.07,2.8883,,+161,+491,+1301,+10245
"brendan steele",11019,usa,-0.114,2.9015,,+165,+495,+1295,+10538
"jinichiro kozuma",14209,jpn,-0.236,2.927,,+188,+569,+1511,+13116
"peter uihlein",11357,usa,-0.316,2.906,,+200,+629,+1727,+14288
"sam horsfield",19866,eng,-0.402,2.9064,,+219,+682,+1861,+16384
"jason kokrak",12337,usa,-0.489,2.9073,,+228,+719,+1992,+16160
"graeme mcdowell",7548,nir,-0.524,2.8859,,+241,+775,+2183,+19444
"kevin na",7452,usa,-0.548,2.8923,,+247,+801,+2218,+19702
"caleb surratt",30463,usa,-0.555,2.927,,+245,+768,+2134,+19317
"richard bland",6516,eng,-0.568,2.8642,,+255,+824,+2365,+22288
"phil mickelson",1547,usa,-0.568,2.9272,,+246,+774,+2109,+18249
"branden grace",11952,rsa,-0.591,2.904,,+257,+837,+2367,+22122
"henrik stenson",5994,swe,-0.686,2.8607,,+287,+966,+2847,+27423
"matthew wolff",25919,usa,-0.767,2.9924,,+287,+910,+2489,+20590
"ben campbell",14373,nzl,-0.923,2.927,,+344,+1165,+3477,+34383
"jose luis ballester",28473,esp,-0.975,2.927,,+359,+1192,+3501,+36485
"adrian meronk",14196,pol,-1.046,2.9281,,+396,+1370,+4249,+45013
"lee westwood",4052,eng,-1.187,2.8755,,+458,+1671,+5258,+73974
"yubin jang",28276,kor,-1.284,2.927,,+505,+1831,+6139,+88135
"ian poulter",1435,eng,-1.341,2.8543,,+559,+2075,+6949,+85614
"chieh-po lee",16563,tpe,-1.347,2.927,,+540,+2038,+6566,+71329
"martin kaymer",8117,ger,-1.402,2.9272,,+562,+2070,+6799,+73071
"matt jones",8605,aus,-1.403,2.872,,+570,+2179,+7546,+139435
"andy ogletree",27597,usa,-1.418,2.927,,+569,+2101,+6954,+85614
"mito pereira",19455,chi,-1.709,2.9273,,+770,+3124,+11237,+146241
"danny lee",11826,nzl,-1.865,2.9518,,+917,+3647,+13258,+124900
"frederik kjettrup",24660,den,-2.366,2.927,,+1659,+7758,+31093,Inf
"anthony kim",11641,usa,-2.774,2.9828,,+2411,+12557,+57106,Inf
